,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2023-07-18,sh.688627,66.1000,85.9300,66.0000,76.6000,46.7700,16403761,1225759937.7300,3,82.174700,1,63.780200
1,2023-07-19,sh.688627,72.0000,87.6000,70.8000,83.4800,76.6000,12789201,1000967634.6700,3,64.067500,1,8.981700
2,2023-07-20,sh.688627,81.1000,84.9000,76.8000,79.5000,83.4800,8200738,658697145.8400,3,41.081600,1,-4.767600
3,2023-07-21,sh.688627,78.8800,83.8000,75.7600,78.0000,79.5000,7481938,595448290.5600,3,37.480800,1,-1.886800
4,2023-07-24,sh.688627,77.0000,86.7700,77.0000,83.2000,78.0000,7372754,606743660.2100,3,36.933800,1,6.666700
5,2023-07-25,sh.688627,85.6000,86.6000,76.3200,83.1800,83.2000,6608520,532911006.4200,3,33.105400,1,-0.024000
6,2023-07-26,sh.688627,85.9500,89.8800,84.4600,84.8800,83.1800,4373048,378868856.9800,3,21.906800,1,2.043800
7,2023-07-27,sh.688627,82.5000,86.9200,81.9800,82.8600,84.8800,3162405,266240899.1900,3,15.842100,1,-2.379800
8,2023-07-28,sh.688627,83.4100,84.3400,76.9000,79.0500,82.8600,4267376,339275925.0800,3,21.377400,1,-4.598100
9,2023-07-31,sh.688627,76.8800,83.3500,75.5000,82.1000,79.0500,2920327,232832158.0400,3,14.629400,1,3.858300
10,2023-08-01,sh.688627,81.5300,94.6800,78.5800,90.3000,82.1000,3299030,285493985.7500,3,16.526500,1,9.987800
11,2023-08-02,sh.688627,87.9000,108.0000,87.1300,101.9000,90.3000,4005454,392577668.4900,3,20.065300,1,12.846100
12,2023-08-03,sh.688627,101.3000,106.0000,96.0100,99.3900,101.9000,4136606,411380482.1300,3,20.722300,1,-2.463200
13,2023-08-04,sh.688627,98.0200,98.8100,94.6800,96.2000,99.3900,3209556,309195520.8200,3,16.078300,1,-3.209600
14,2023-08-07,sh.688627,97.2000,98.3700,91.2000,94.7500,96.2000,2469963,233802352.9800,3,12.373300,1,-1.507300
15,2023-08-08,sh.688627,93.7900,94.9900,89.0000,89.6100,94.7500,2784638,255560930.9400,3,13.949600,1,-5.424800
16,2023-08-09,sh.688627,89.0000,89.9000,82.8800,85.0000,89.6100,3751567,321063880.3100,3,18.793500,1,-5.144500
17,2023-08-10,sh.688627,83.9800,90.6000,83.9800,89.0700,85.0000,3144623,276647770.5700,3,15.753000,1,4.788200
18,2023-08-11,sh.688627,87.9400,90.4500,85.0800,86.2900,89.0700,1999083,174903495.7700,3,10.014400,1,-3.121100
19,2023-08-14,sh.688627,86.0000,86.7000,83.3700,85.0000,86.2900,1349597,115052510.5800,3,6.760800,1,-1.495000
20,2023-08-15,sh.688627,87.1000,88.8300,82.0600,83.0000,85.0000,1508797,129028321.8800,3,7.558300,1,-2.352900
21,2023-08-16,sh.688627,82.4000,84.0000,79.8700,80.3300,83.0000,1679823,136802527.6000,3,8.415100,1,-3.216900
22,2023-08-17,sh.688627,80.0000,83.6900,79.9600,81.9000,80.3300,1767279,144897201.4200,3,8.853200,1,1.954400
23,2023-08-18,sh.688627,84.3000,88.3500,84.3000,84.9100,81.9000,2327128,201147718.1500,3,11.657700,1,3.675200
24,2023-08-21,sh.688627,84.1700,86.2900,82.0000,83.0400,84.9100,1363413,113843199.3900,3,6.830000,1,-2.202300
25,2023-08-22,sh.688627,83.0400,85.3000,80.0200,85.1000,83.0400,1423821,118375012.9100,3,7.132600,1,2.480700
26,2023-08-23,sh.688627,83.3600,83.3600,78.0000,78.7400,85.1000,1547241,123871872.9600,3,7.750900,1,-7.473600
27,2023-08-24,sh.688627,79.5000,85.3300,76.7000,83.2000,78.7400,1575816,128978505.5900,3,7.894100,1,5.664200
28,2023-08-25,sh.688627,81.2100,83.7000,75.0400,77.3300,83.2000,1432538,113021952.5400,3,7.176300,1,-7.055300
29,2023-08-28,sh.688627,81.9000,82.9000,74.2700,75.9900,77.3300,1809067,141098579.2800,3,9.062500,1,-1.732800
30,2023-08-29,sh.688627,74.6300,81.9800,73.9900,81.6000,75.9900,2779118,218494234.5500,3,13.922000,1,7.382600
31,2023-08-30,sh.688627,81.8000,87.9000,81.8000,83.0100,81.6000,3124947,264110425.3300,3,15.654400,1,1.727900
32,2023-08-31,sh.688627,82.0000,88.2700,80.2500,87.5000,83.0100,2872816,245954802.4900,3,14.391400,1,5.409000
33,2023-09-01,sh.688627,88.0000,96.3200,87.5300,88.6800,87.5000,3784585,347056209.0100,3,18.958900,1,1.348600
34,2023-09-04,sh.688627,89.1500,90.9000,85.3500,89.9000,88.6800,2376721,208870972.0700,3,11.906200,1,1.375700
35,2023-09-05,sh.688627,89.0000,92.2800,88.2300,90.2000,89.9000,1917973,172580983.7500,3,9.608100,1,0.333700
36,2023-09-06,sh.688627,88.2200,92.7000,88.2200,91.8600,90.2000,1407720,128062487.6700,3,7.052000,1,1.840400
37,2023-09-07,sh.688627,90.3500,90.8000,86.0000,88.2000,91.8600,1277946,113189836.5100,3,6.401900,1,-3.984300
38,2023-09-08,sh.688627,89.4700,94.6200,87.0000,92.1000,88.2000,1863502,170978252.7400,3,9.335200,1,4.421800
39,2023-09-11,sh.688627,91.4600,91.5000,88.1800,90.9600,92.1000,1296666,116159019.7500,3,6.495600,1,-1.237800
40,2023-09-12,sh.688627,89.5800,92.0000,86.6100,87.2000,90.9600,1105412,98621487.4500,3,5.537600,1,-4.133700
41,2023-09-13,sh.688627,87.1100,89.8000,86.0000,88.6000,87.2000,938879,82836601.7400,3,4.703300,1,1.605500
42,2023-09-14,sh.688627,87.7400,87.7400,84.8700,86.1000,88.6000,886472,76477428.7300,3,4.440800,1,-2.821700
43,2023-09-15,sh.688627,86.3000,87.3000,83.0800,85.4500,86.1000,642256,54419486.7800,3,3.217400,1,-0.754900
44,2023-09-18,sh.688627,84.2800,86.1200,82.6000,82.9500,85.4500,567622,47622343.8800,3,2.843500,1,-2.925700
45,2023-09-19,sh.688627,82.4000,83.5700,80.4200,81.0800,82.9500,639756,52405473.3000,3,3.204900,1,-2.254400
46,2023-09-20,sh.688627,80.0300,82.9000,79.8800,80.2600,81.0800,344633,27919589.0500,3,1.726400,1,-1.011300
47,2023-09-21,sh.688627,79.6100,81.2300,79.0000,80.0600,80.2600,305296,24467513.2500,3,1.529400,1,-0.249200
48,2023-09-22,sh.688627,79.9100,82.2100,79.2600,82.1000,80.0600,542116,43900145.8500,3,2.715700,1,2.548100
49,2023-09-25,sh.688627,82.1300,83.6600,80.1800,82.3300,82.1000,665546,54766161.2700,3,3.334100,1,0.280100
50,2023-09-26,sh.688627,81.3500,83.2800,80.7300,81.4700,82.3300,393898,32208762.0500,3,1.973200,1,-1.044600
51,2023-09-27,sh.688627,80.8800,84.6800,79.7800,82.5000,81.4700,551298,45404614.1800,3,2.761700,1,1.264300
52,2023-09-28,sh.688627,83.9000,92.0000,82.5300,90.2800,82.5000,1416002,124266740.5800,3,7.093500,1,9.430300
53,2023-10-09,sh.688627,89.0000,91.3600,87.8000,89.8000,90.2800,526875,46952530.0500,3,2.639400,1,-0.531700
54,2023-10-10,sh.688627,89.9000,91.6700,87.3000,87.7400,89.8000,738060,65500610.8200,3,3.697300,1,-2.294000
55,2023-10-11,sh.688627,88.0000,90.2000,85.9300,88.3500,87.7400,565530,49776649.5700,3,2.833000,1,0.695200
56,2023-10-12,sh.688627,88.5000,95.8700,86.3800,95.8000,88.3500,1398054,127502270.1500,3,7.003600,1,8.432400
57,2023-10-13,sh.688627,93.0000,96.6100,93.0000,94.5000,95.8000,743401,70300438.6300,3,3.724100,1,-1.357000
58,2023-10-16,sh.688627,93.7900,93.7900,90.4200,91.0800,94.5000,651264,59864775.4300,3,3.262500,1,-3.619000
59,2023-10-17,sh.688627,91.8800,91.9400,89.0000,91.5000,91.0800,503688,45587129.1400,3,2.523200,1,0.461100
