,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.688662,38.5500,39.7400,38.2500,39.5900,39.0600,369482,14475027.5800,3,1.718900,1,1.356900
1,2022-02-22,sh.688662,39.0000,39.2200,38.0600,38.0800,39.5900,492469,18938669.4000,3,2.291100,1,-3.814100
2,2022-02-23,sh.688662,38.6500,40.6000,38.1000,39.7200,38.0800,559714,22155997.1700,3,2.603900,1,4.306700
3,2022-02-24,sh.688662,39.6000,40.1700,37.6200,38.5500,39.7200,648189,25038722.6300,3,3.015500,1,-2.945600
4,2022-02-25,sh.688662,38.8800,39.4700,37.8800,38.0600,38.5500,419022,16099644.3700,3,1.949400,1,-1.271100
5,2022-02-28,sh.688662,38.0600,38.2900,37.0000,37.7600,38.0600,409364,15449212.0000,3,1.904400,1,-0.788200
6,2022-03-01,sh.688662,37.7800,39.4000,37.5500,38.9800,37.7600,781214,30113756.0000,3,3.634300,1,3.230900
7,2022-03-02,sh.688662,39.0700,39.0700,37.8900,38.3100,38.9800,448878,17260626.0000,3,2.088300,1,-1.718800
8,2022-03-03,sh.688662,38.4600,38.4600,37.0600,37.2600,38.3100,504690,19005019.0000,3,2.347900,1,-2.740800
9,2022-03-04,sh.688662,37.2600,37.8000,36.7000,37.0300,37.2600,235451,8754513.0000,3,1.095400,1,-0.617300
10,2022-03-07,sh.688662,36.7500,37.6600,36.3400,36.5600,37.0300,282475,10406035.0000,3,1.314100,1,-1.269200
11,2022-03-08,sh.688662,36.8600,37.5500,34.6000,35.3000,36.5600,443796,15980211.0000,3,2.064600,1,-3.446400
12,2022-03-09,sh.688662,36.6800,36.6800,33.0300,34.3500,35.3000,486184,16641658.0000,3,2.261800,1,-2.691200
13,2022-03-10,sh.688662,34.8700,36.0000,33.6800,33.9000,34.3500,331816,11504518.0000,3,1.543700,1,-1.310000
14,2022-03-11,sh.688662,33.9200,33.9200,32.4000,33.5700,33.9000,667835,21998128.0000,3,3.106900,1,-0.973500
15,2022-03-14,sh.688662,32.9000,32.9200,32.0100,32.1000,33.5700,419063,13608706.0000,3,1.949600,1,-4.378900
16,2022-03-15,sh.688662,32.1000,32.1200,30.0500,30.0800,32.1000,590609,18360694.0000,3,2.747600,1,-6.292800
17,2022-03-16,sh.688662,31.4000,31.7400,29.6200,31.4100,30.0800,470533,14441780.0000,3,2.189000,1,4.421500
18,2022-03-17,sh.688662,31.9800,33.3000,31.5200,33.0600,31.4100,598647,19479753.0000,3,2.785000,1,5.253100
19,2022-03-18,sh.688662,32.7700,33.5800,32.2400,33.5000,33.0600,311279,10295634.3500,3,1.448100,1,1.330900
20,2022-03-21,sh.688662,33.5800,35.4500,32.9400,35.2700,33.5000,661506,23053697.6600,3,3.077400,1,5.283600
21,2022-03-22,sh.688662,35.0000,35.3100,34.5800,34.7900,35.2700,191924,6680434.7100,3,0.892900,1,-1.360900
22,2022-03-23,sh.688662,35.4000,35.5000,34.3200,35.0000,34.7900,314533,10964922.4100,3,1.463300,1,0.603600
23,2022-03-24,sh.688662,35.0000,35.0000,33.3900,33.7300,35.0000,299501,10142813.4800,3,1.393300,1,-3.628600
24,2022-03-25,sh.688662,34.0000,34.4000,32.7400,33.6000,33.7300,257854,8683609.5800,3,1.199600,1,-0.385400
25,2022-03-28,sh.688662,33.6000,33.6200,32.0000,32.0600,33.6000,526128,17068602.3200,3,2.476600,1,-4.583300
26,2022-03-29,sh.688662,32.5500,32.6500,30.9300,31.0600,32.0600,319002,10078034.5700,3,1.501600,1,-3.119200
27,2022-03-30,sh.688662,31.2900,32.7000,31.0000,31.6600,31.0600,258932,8157825.9500,3,1.218800,1,1.931700
28,2022-03-31,sh.688662,32.8500,32.8500,30.8300,30.9200,31.6600,219908,6885554.4500,3,1.035100,1,-2.337300
29,2022-04-01,sh.688662,30.9200,31.4400,30.7000,31.0200,30.9200,266413,8262917.8800,3,0.496400,1,0.323400
30,2022-04-06,sh.688662,31.8800,32.6800,30.8600,32.2400,31.0200,431972,13844335.5800,3,0.804900,1,3.932900
31,2022-04-07,sh.688662,32.7200,32.9600,31.1300,31.1700,32.2400,470595,15035746.7600,3,0.876900,1,-3.318900
32,2022-04-08,sh.688662,31.0000,31.1400,29.9000,30.9900,31.1700,250946,7675220.7600,3,0.467600,1,-0.577500
33,2022-04-11,sh.688662,30.5100,30.6500,28.8000,29.4700,30.9900,507473,15041300.4900,3,0.945600,1,-4.904800
34,2022-04-12,sh.688662,29.2600,29.9700,29.0300,29.8000,29.4700,196441,5805975.4000,3,0.366000,1,1.119800
35,2022-04-13,sh.688662,30.2400,30.5000,28.7000,29.0100,29.8000,201118,5852399.0900,3,0.374800,1,-2.651000
36,2022-04-14,sh.688662,29.2500,29.4700,28.5600,28.8900,29.0100,258160,7449245.8800,3,0.481100,1,-0.413700
37,2022-04-15,sh.688662,27.9900,28.7600,27.8100,28.0500,28.8900,335625,9468259.5200,3,0.625400,1,-2.907600
38,2022-04-18,sh.688662,28.0500,29.1300,27.4800,28.8600,28.0500,275405,7882793.4900,3,0.513200,1,2.887700
39,2022-04-19,sh.688662,28.8600,29.7800,28.4000,29.5900,28.8600,345112,10025374.0300,3,0.643100,1,2.529500
40,2022-04-20,sh.688662,29.5900,29.5900,28.5000,28.6900,29.5900,277225,8026524.4200,3,0.516600,1,-3.041600
41,2022-04-21,sh.688662,27.9900,28.9900,27.9400,28.0700,28.6900,160179,4540267.2000,3,0.298500,1,-2.161000
42,2022-04-22,sh.688662,28.7600,28.7600,27.5200,27.9300,28.0700,232017,6446172.2500,3,0.432300,1,-0.498800
43,2022-04-25,sh.688662,26.9800,27.4300,23.8800,24.0000,27.9300,668836,17139098.3400,3,1.246300,1,-14.070900
44,2022-04-26,sh.688662,23.9600,24.6800,21.5300,21.5900,24.0000,618687,14015830.1800,3,1.152900,1,-10.041700
45,2022-04-27,sh.688662,21.3500,23.0800,20.5000,22.8700,21.5900,529089,11609743.3300,3,0.985900,1,5.928700
46,2022-04-28,sh.688662,22.3100,23.4800,22.3100,22.5000,22.8700,361461,8261097.9300,3,0.673500,1,-1.617800
47,2022-04-29,sh.688662,23.5700,24.3800,22.5500,23.8200,22.5000,544762,12894193.4900,3,1.015100,1,5.866700
48,2022-05-05,sh.688662,23.4500,25.2800,23.1000,24.2900,23.8200,1399493,33717672.0600,3,2.607800,1,1.973100
49,2022-05-06,sh.688662,22.9300,24.8000,22.9300,24.3300,24.2900,431453,10517294.6000,3,0.804000,1,0.164700
50,2022-05-09,sh.688662,24.6600,25.3600,24.2000,24.3200,24.3300,383925,9476395.6300,3,0.715400,1,-0.041100
51,2022-05-10,sh.688662,24.7700,25.5000,23.5000,25.4100,24.3200,591611,14785336.6200,3,1.102400,1,4.481900
52,2022-05-11,sh.688662,25.5000,26.3200,24.8800,25.5500,25.4100,873936,22655426.6200,3,1.628500,1,0.551000
53,2022-05-12,sh.688662,25.6500,25.9500,25.3000,25.7000,25.5500,459513,11758592.9500,3,0.856300,1,0.587100
54,2022-05-13,sh.688662,25.7400,25.8400,25.0500,25.4500,25.7000,647787,16539819.0600,3,1.207100,1,-0.972800
55,2022-05-16,sh.688662,26.0000,26.9600,25.4900,26.5100,25.4500,679898,18026071.9400,3,1.266900,1,4.165000
56,2022-05-17,sh.688662,26.8000,26.8000,25.8900,26.7400,26.5100,383761,10116767.7200,3,0.715100,1,0.867600
57,2022-05-18,sh.688662,27.1800,27.9000,27.0100,27.6200,26.7400,349853,9619053.4100,3,0.656200,1,3.290900
58,2022-05-19,sh.688662,26.6900,27.3800,26.4000,27.2100,27.2200,321522,8692950.9900,3,0.603100,1,-0.036700
59,2022-05-20,sh.688662,27.3500,28.9800,27.3500,28.1500,27.2100,574115,16115610.4300,3,1.076900,1,3.454600
60,2022-05-23,sh.688662,28.6800,30.4800,28.1600,30.2900,28.1500,1202048,35570436.6600,3,2.254700,1,7.602100
61,2022-05-24,sh.688662,30.6000,30.6000,27.5800,27.9000,30.2900,848108,24332357.1300,3,1.590800,1,-7.890400
62,2022-05-25,sh.688662,27.6200,28.3100,27.3600,27.8000,27.9000,430892,11892673.5400,3,0.808200,1,-0.358400
63,2022-05-26,sh.688662,28.7800,28.7800,27.2000,28.5400,27.8000,392134,11001128.9800,3,0.735500,1,2.661900
64,2022-05-27,sh.688662,28.2100,29.3800,28.2100,28.5300,28.5400,420425,12131783.3100,3,0.788600,1,-0.035000
65,2022-05-30,sh.688662,29.5000,29.5000,27.9000,29.1000,28.5300,318674,9104072.1500,3,0.597800,1,1.997900
66,2022-05-31,sh.688662,28.7000,29.9700,28.7000,29.9300,29.1000,338995,9972245.7200,3,0.635900,1,2.852200
67,2022-06-01,sh.688662,30.4500,31.8400,29.4800,30.7000,29.9300,1004096,31242148.8100,3,1.883400,1,2.572700
68,2022-06-02,sh.688662,30.0200,33.3000,30.0200,32.1900,30.7000,1641796,52217827.9600,3,3.079600,1,4.853400
69,2022-06-06,sh.688662,35.5000,35.5000,32.2300,33.6800,32.1900,3494545,118161811.0000,3,6.554900,1,4.628800
70,2022-06-07,sh.688662,32.7900,33.9600,32.1200,32.8000,33.6800,1733175,56941151.3800,3,3.251000,1,-2.612800
71,2022-06-08,sh.688662,32.2400,32.2900,30.0400,30.8000,32.8000,1490787,46316512.3100,3,2.796300,1,-6.097600
72,2022-06-09,sh.688662,30.8000,31.0600,29.6600,29.8600,30.8000,765483,22967076.1300,3,1.435800,1,-3.051900
73,2022-06-10,sh.688662,30.4900,30.5800,29.4000,30.1500,29.8600,394754,11962492.9600,3,0.740500,1,0.971200
74,2022-06-13,sh.688662,29.7000,30.8700,29.6000,30.1200,30.1500,585299,17739106.5300,3,1.097900,1,-0.099500
75,2022-06-14,sh.688662,30.1500,31.4000,29.5500,31.2000,30.1200,964519,29364519.2300,3,1.809200,1,3.585700
76,2022-06-15,sh.688662,31.2800,32.7600,30.6600,31.3900,31.2000,786870,25157995.0000,3,1.476000,1,0.609000
77,2022-06-16,sh.688662,30.7300,32.0000,30.6100,31.4000,31.3900,601747,18920541.3200,3,1.128700,1,0.031900
78,2022-06-17,sh.688662,29.6200,32.5000,29.6200,32.4600,31.4000,864670,27389768.4800,3,1.621900,1,3.375800
79,2022-06-20,sh.688662,32.4600,34.1800,31.6800,32.9500,32.4600,927906,30635740.2100,3,1.740500,1,1.509600
80,2022-06-21,sh.688662,32.9500,33.1400,32.0300,32.4900,32.9500,528663,17206548.2100,3,0.991600,1,-1.396100
81,2022-06-22,sh.688662,32.4500,33.8000,31.8200,32.3400,32.4900,350373,11329294.4400,3,0.657200,1,-0.461700
82,2022-06-23,sh.688662,32.3400,35.7000,31.6800,35.1000,32.3400,2497053,85781057.5300,3,4.683800,1,8.534300
83,2022-06-24,sh.688662,36.1500,37.5000,35.1000,36.4400,35.1000,1664443,60736731.6500,3,3.122100,1,3.817700
84,2022-06-27,sh.688662,35.5100,39.2700,35.5100,39.2500,36.4400,2679160,101527224.1300,3,5.025400,1,7.711300
85,2022-06-28,sh.688662,38.5000,40.4000,38.0900,39.5500,39.2500,1635184,64028228.9600,3,3.067200,1,0.764300
86,2022-06-29,sh.688662,38.7500,39.3300,35.7900,37.6700,39.5500,2118885,80201796.8100,3,3.974500,1,-4.753500
