,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.688981,50.6900,51.0600,50.5700,50.9300,50.8400,7610992,387311310.7600,3,0.406800,1,0.177000
1,2022-02-22,sh.688981,50.6800,50.7600,50.3100,50.3800,50.9300,9583035,483516544.6400,3,0.512200,1,-1.079900
2,2022-02-23,sh.688981,50.3300,51.9600,50.2800,51.6400,50.3800,20087640,1032397202.6500,3,1.073600,1,2.501000
3,2022-02-24,sh.688981,51.5100,51.7300,50.2000,50.7300,51.6400,20470737,1042002551.0400,3,1.094100,1,-1.762200
4,2022-02-25,sh.688981,51.2000,51.4500,50.5800,50.7300,50.7300,12463754,636488812.6900,3,0.666100,1,0.000000
5,2022-02-28,sh.688981,50.6000,51.0000,50.3800,50.7300,50.7300,8088679,409906272.0000,3,0.432300,1,0.000000
6,2022-03-01,sh.688981,50.8200,50.9200,50.6000,50.8700,50.7300,7295511,370211280.0000,3,0.389900,1,0.276000
7,2022-03-02,sh.688981,50.6900,50.8500,50.5100,50.5800,50.8700,6817963,345394768.0000,3,0.364400,1,-0.570100
8,2022-03-03,sh.688981,50.8500,51.4700,50.7100,51.0600,50.5800,13889190,710050464.0000,3,0.742300,1,0.949000
9,2022-03-04,sh.688981,50.8000,51.4600,50.5800,50.8800,51.0600,12120290,618361648.0000,3,0.647800,1,-0.352500
10,2022-03-07,sh.688981,50.6800,50.6800,49.5000,49.6000,50.8800,15476822,772036176.0000,3,0.827200,1,-2.515700
11,2022-03-08,sh.688981,49.6100,50.1800,49.0100,49.2800,49.6000,15043705,745755136.0000,3,0.804000,1,-0.645200
12,2022-03-09,sh.688981,50.5000,50.9900,48.9400,50.3000,49.2800,28756457,1446713008.0000,3,1.536900,1,2.069800
13,2022-03-10,sh.688981,50.7800,50.9800,50.2000,50.2300,50.3000,18378413,929565856.0000,3,0.982300,1,-0.139200
14,2022-03-11,sh.688981,49.6600,49.9800,48.9500,49.7400,50.2300,20912817,1032144912.0000,3,1.117700,1,-0.975500
15,2022-03-14,sh.688981,49.2800,49.3400,48.5700,48.5900,49.7400,15623125,766223936.0000,3,0.835000,1,-2.312000
16,2022-03-15,sh.688981,48.0000,48.1800,45.2000,45.2900,48.5900,29063389,1350571744.0000,3,1.553300,1,-6.791500
17,2022-03-16,sh.688981,45.8300,46.5900,44.1300,46.2800,45.2900,22374263,1022260704.0000,3,1.195800,1,2.185900
18,2022-03-17,sh.688981,46.9700,47.3000,46.4900,46.4900,46.2800,17984266,842851856.0000,3,0.961200,1,0.453800
19,2022-03-18,sh.688981,46.2600,46.9000,46.1100,46.8000,46.4900,10648774,496123340.1000,3,0.569100,1,0.666800
20,2022-03-21,sh.688981,46.7900,47.8000,46.7800,46.9900,46.8000,14248682,671952615.6000,3,0.761500,1,0.406000
21,2022-03-22,sh.688981,46.7500,47.2200,46.5600,46.8000,46.9900,8235177,385798934.0200,3,0.440100,1,-0.404300
22,2022-03-23,sh.688981,46.8200,48.2100,46.6100,47.5900,46.8000,16595251,788812586.2500,3,0.887000,1,1.688000
23,2022-03-24,sh.688981,46.8500,47.2500,46.6000,46.6100,47.5900,11056281,517381159.0800,3,0.590900,1,-2.059300
24,2022-03-25,sh.688981,46.8000,47.0700,46.1700,46.7600,46.6100,9388567,437401008.7900,3,0.501800,1,0.321800
25,2022-03-28,sh.688981,46.1700,46.5900,45.8800,46.4500,46.7600,7895007,365102893.4000,3,0.422000,1,-0.663000
