,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000027,7.2600,7.3600,7.2600,7.3000,7.3100,11292632,82464474.3500,3,0.237400,1,-0.136800
1,2022-02-22,sz.000027,7.2600,7.2700,7.1300,7.1800,7.3000,14172974,101760507.7600,3,0.297900,1,-1.643800
2,2022-02-23,sz.000027,7.1800,7.2500,7.1500,7.1900,7.1800,12195448,87710870.1900,3,0.256300,1,0.139300
3,2022-02-24,sz.000027,7.1900,7.4200,7.0400,7.0900,7.1900,34062019,246026321.0700,3,0.716000,1,-1.390800
4,2022-02-25,sz.000027,7.1300,7.2600,7.0400,7.1900,7.0900,22960902,164442613.8800,3,0.482600,1,1.410400
5,2022-02-28,sz.000027,7.2200,7.3300,7.1600,7.2300,7.1900,17841877,128901921.0000,3,0.375000,1,0.556300
6,2022-03-01,sz.000027,7.2700,7.3200,7.1700,7.2100,7.2300,14984472,108371842.0000,3,0.315000,1,-0.276600
7,2022-03-02,sz.000027,7.1800,7.2400,7.1600,7.2300,7.2100,10691490,76963859.0000,3,0.224700,1,0.277400
8,2022-03-03,sz.000027,7.2500,7.3500,7.2300,7.3300,7.2300,28311689,207227255.0000,3,0.595100,1,1.383100
9,2022-03-04,sz.000027,7.3500,7.3500,7.1500,7.1900,7.3300,20724839,149253667.0000,3,0.435600,1,-1.910000
10,2022-03-07,sz.000027,7.1700,7.2600,7.0500,7.0900,7.1900,17635831,126143747.0000,3,0.370700,1,-1.390800
11,2022-03-08,sz.000027,7.0600,7.0900,6.7400,6.7500,7.0900,27592450,189906565.0000,3,0.580000,1,-4.795500
12,2022-03-09,sz.000027,6.8100,6.9400,6.3700,6.6000,6.7500,28058760,186382958.0000,3,0.589800,1,-2.222200
13,2022-03-10,sz.000027,6.7500,6.9700,6.6000,6.8600,6.6000,28173045,192341492.0000,3,0.592200,1,3.939400
14,2022-03-11,sz.000027,6.7700,6.8100,6.6300,6.8100,6.8600,19857069,133371192.0000,3,0.417400,1,-0.728900
15,2022-03-14,sz.000027,6.8200,6.8400,6.5800,6.5800,6.8100,17012760,113937099.0000,3,0.357600,1,-3.377400
16,2022-03-15,sz.000027,6.5700,6.5700,6.0600,6.1300,6.5800,30355970,190806446.0000,3,0.638100,1,-6.838900
17,2022-03-16,sz.000027,6.2100,6.3800,5.9900,6.3400,6.1300,26845629,166607879.0000,3,0.564300,1,3.425800
18,2022-03-17,sz.000027,6.4800,6.4900,6.3500,6.3800,6.3400,21600685,138574068.0000,3,0.454000,1,0.630900
19,2022-03-18,sz.000027,6.3800,6.8600,6.3300,6.6900,6.3800,44628406,297543156.6800,3,0.938100,1,4.858900
20,2022-03-21,sz.000027,6.6300,6.7100,6.5300,6.6200,6.6900,32436519,214387561.6400,3,0.681800,1,-1.046300
21,2022-03-22,sz.000027,6.5900,6.6900,6.5400,6.6100,6.6200,15507787,102251036.8800,3,0.326000,1,-0.151100
22,2022-03-23,sz.000027,6.7000,6.7400,6.6200,6.6300,6.6100,18092051,120892598.2400,3,0.380300,1,0.302600
23,2022-03-24,sz.000027,6.6200,6.6500,6.5400,6.5400,6.6300,13225920,87060016.3500,3,0.278000,1,-1.357500
24,2022-03-25,sz.000027,6.5200,6.5700,6.4300,6.4500,6.5400,13208975,85753526.5400,3,0.277700,1,-1.376100
25,2022-03-28,sz.000027,6.4100,6.5600,6.3200,6.4800,6.4500,17397575,112240119.9500,3,0.365700,1,0.465100
