,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000045,8.5800,8.7000,8.5600,8.6800,8.6100,2233584,19295036.2400,3,0.488700,1,0.813000
1,2022-02-22,sz.000045,8.6500,8.6800,8.5100,8.5500,8.6800,2500000,21443822.0000,3,0.547000,1,-1.497700
2,2022-02-23,sz.000045,8.6000,8.7000,8.5500,8.6400,8.5500,3004321,25926999.2400,3,0.657400,1,1.052600
3,2022-02-24,sz.000045,8.5700,8.6700,8.2600,8.3500,8.6400,4199468,35472224.8400,3,0.918900,1,-3.356500
4,2022-02-25,sz.000045,8.4000,8.6300,8.4000,8.4600,8.3500,2606500,22140883.0000,3,0.570300,1,1.317400
5,2022-02-28,sz.000045,8.4500,8.4500,8.2800,8.3700,8.4600,1699360,14186733.0000,3,0.371800,1,-1.063800
6,2022-03-01,sz.000045,8.4400,8.5600,8.3700,8.4700,8.3700,2648300,22388287.0000,3,0.579500,1,1.194700
7,2022-03-02,sz.000045,8.4200,8.5400,8.3500,8.4900,8.4700,2447534,20730106.0000,3,0.535500,1,0.236100
8,2022-03-03,sz.000045,8.7700,8.8000,8.3600,8.4900,8.4900,3103202,26451247.0000,3,0.679000,1,0.000000
9,2022-03-04,sz.000045,8.4200,8.4600,8.2500,8.3000,8.4900,2958102,24669006.0000,3,0.647300,1,-2.237900
10,2022-03-07,sz.000045,8.2500,8.3700,8.1800,8.2500,8.3000,2042479,16867137.0000,3,0.446900,1,-0.602400
11,2022-03-08,sz.000045,8.2000,8.2400,8.0300,8.1200,8.2500,2682687,21826638.0000,3,0.587000,1,-1.575800
12,2022-03-09,sz.000045,8.1200,8.1900,7.6800,7.9600,8.1200,3216500,25519148.0000,3,0.703800,1,-1.970400
13,2022-03-10,sz.000045,8.1600,8.2400,8.0100,8.1400,7.9600,4151454,33603702.0000,3,0.908400,1,2.261300
14,2022-03-11,sz.000045,8.0800,8.1100,7.8600,8.0800,8.1400,2423132,19333717.0000,3,0.530200,1,-0.737100
15,2022-03-14,sz.000045,7.9800,8.2300,7.9700,8.1200,8.0800,2874154,23215991.0000,3,0.628900,1,0.495000
16,2022-03-15,sz.000045,8.0700,8.0800,7.6700,7.6800,8.1200,2745202,21675828.0000,3,0.600700,1,-5.418700
17,2022-03-16,sz.000045,7.7600,7.9500,7.5600,7.9000,7.6800,3609848,28021750.0000,3,0.789900,1,2.864600
18,2022-03-17,sz.000045,7.9700,8.0400,7.8700,7.9700,7.9000,4430362,35194682.0000,3,0.969400,1,0.886100
19,2022-03-18,sz.000045,7.9100,8.0400,7.8600,8.0000,7.9700,3149364,25140064.4800,3,0.689100,1,0.376400
20,2022-03-21,sz.000045,8.0000,8.0500,7.8500,7.9700,8.0000,2390407,19029075.6300,3,0.523000,1,-0.375000
21,2022-03-22,sz.000045,8.0200,8.0300,7.9000,7.9600,7.9700,2060502,16402135.8000,3,0.450900,1,-0.125500
22,2022-03-23,sz.000045,7.9700,8.0100,7.8400,7.8700,7.9600,2469900,19547630.0000,3,0.540400,1,-1.130700
23,2022-03-24,sz.000045,7.9000,7.9000,7.7700,7.8100,7.8700,1528162,11934884.9800,3,0.334400,1,-0.762400
24,2022-03-25,sz.000045,7.8200,7.9500,7.7800,7.8100,7.8100,1820300,14327313.0000,3,0.398300,1,0.000000
25,2022-03-28,sz.000045,7.8600,7.8600,7.6600,7.8200,7.8100,2130800,16472855.0000,3,0.466200,1,0.128000
26,2022-03-29,sz.000045,7.8200,7.8300,7.6500,7.6500,7.8200,1898700,14642125.0000,3,0.415500,1,-2.173900
27,2022-03-30,sz.000045,7.6900,7.8200,7.6400,7.7700,7.6500,2172700,16757275.0000,3,0.475400,1,1.568600
28,2022-03-31,sz.000045,7.7300,7.8800,7.7000,7.8100,7.7700,2682401,20958977.8000,3,0.586900,1,0.514800
29,2022-04-01,sz.000045,7.7900,7.8400,7.6900,7.8200,7.8100,2073010,16088142.0000,3,0.453600,1,0.128000
30,2022-04-06,sz.000045,7.8100,8.0200,7.7300,7.9900,7.8200,5208811,41352858.5700,3,1.139700,1,2.173900
31,2022-04-07,sz.000045,7.9800,7.9900,7.8600,7.8600,7.9900,3230600,25592946.0000,3,0.706900,1,-1.627000
32,2022-04-08,sz.000045,7.8800,7.9900,7.7000,7.7800,7.8600,2236501,17419787.7900,3,0.489400,1,-1.017800
33,2022-04-11,sz.000045,7.8200,7.8800,7.5900,7.6000,7.7800,2809400,21744338.0000,3,0.614700,1,-2.313600
34,2022-04-12,sz.000045,7.6000,7.6300,7.3700,7.6100,7.6000,3246900,24402631.0000,3,0.710400,1,0.131600
35,2022-04-13,sz.000045,7.6000,7.6000,7.4400,7.4500,7.6100,1485900,11153643.0000,3,0.325100,1,-2.102500
36,2022-04-14,sz.000045,7.4400,7.7200,7.3300,7.5800,7.4500,5459800,40923042.0000,3,1.194600,1,1.745000
37,2022-04-15,sz.000045,7.5100,7.5200,7.2000,7.2300,7.5800,3126000,22859538.4600,3,0.684000,1,-4.617400
38,2022-04-18,sz.000045,7.2100,7.2100,6.9500,7.1900,7.2300,1663300,11778889.0000,3,0.363900,1,-0.553300
39,2022-04-19,sz.000045,7.1900,7.3000,7.1500,7.2400,7.1900,862500,6235132.0000,3,0.188700,1,0.695400
40,2022-04-20,sz.000045,7.2200,7.3700,7.1800,7.2600,7.2400,1359600,9904326.0000,3,0.297500,1,0.276200
41,2022-04-21,sz.000045,7.2200,7.3000,6.9000,6.9800,7.2600,2309600,16311729.0000,3,0.505400,1,-3.856700
