,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000066,13.5000,13.9900,13.4100,13.9300,13.2400,79713951,1100391280.0600,3,2.711400,1,5.211500
1,2022-02-22,sz.000066,13.7500,13.8700,13.5200,13.6500,13.9300,44347818,606877337.2900,3,1.508400,1,-2.010100
2,2022-02-23,sz.000066,13.7200,13.8900,13.5800,13.8000,13.6500,38811249,534174880.8700,3,1.320100,1,1.098900
3,2022-02-24,sz.000066,13.6300,13.7400,13.0000,13.2000,13.8000,60743300,809929225.8400,3,2.066100,1,-4.347800
4,2022-02-25,sz.000066,13.3500,13.5200,13.2400,13.2800,13.2000,27404778,366011837.8400,3,0.932100,1,0.606100
5,2022-02-28,sz.000066,13.2600,13.3800,13.0000,13.2800,13.2800,23169254,304842416.0000,3,0.788100,1,0.000000
6,2022-03-01,sz.000066,13.2300,13.4400,13.2000,13.3400,13.2800,24325045,323844096.0000,3,0.827400,1,0.451800
7,2022-03-02,sz.000066,13.2300,13.6200,13.1200,13.5000,13.3400,35441281,476942016.0000,3,1.205500,1,1.199400
8,2022-03-03,sz.000066,13.4500,13.5000,13.1500,13.3100,13.5000,29725159,395056560.0000,3,1.011100,1,-1.407400
9,2022-03-04,sz.000066,13.1900,13.3700,13.1100,13.2500,13.3100,20353139,269506736.0000,3,0.692300,1,-0.450800
10,2022-03-07,sz.000066,13.3100,13.3400,12.8900,12.9900,13.2500,27128265,353903312.0000,3,0.922700,1,-1.962300
11,2022-03-08,sz.000066,12.9900,13.0800,12.4300,12.5100,12.9900,36381852,462438896.0000,3,1.237500,1,-3.695200
12,2022-03-09,sz.000066,12.5400,12.6700,11.5100,12.1300,12.5100,42904199,519632880.0000,3,1.459300,1,-3.037600
13,2022-03-10,sz.000066,12.3800,12.4500,12.1100,12.1500,12.1300,26304611,322738432.0000,3,0.894700,1,0.164900
14,2022-03-11,sz.000066,11.9100,12.3200,11.7500,12.3000,12.1500,26760516,321370352.0000,3,0.910200,1,1.234600
15,2022-03-14,sz.000066,12.1100,12.4500,12.0300,12.1400,12.3000,19221389,235444771.0000,3,0.653800,1,-1.300800
16,2022-03-15,sz.000066,12.0400,12.1800,11.4500,11.4700,12.1400,28197152,333842256.0000,3,0.959100,1,-5.518900
17,2022-03-16,sz.000066,11.6000,11.8800,11.2300,11.7800,11.4700,30945440,358381408.0000,3,1.052600,1,2.702700
18,2022-03-17,sz.000066,11.9000,12.0700,11.8200,11.8700,11.7800,28737275,343421792.0000,3,0.977500,1,0.764000
19,2022-03-18,sz.000066,11.8100,12.0000,11.7600,11.9900,11.8700,19448434,231334475.1700,3,0.661500,1,1.011000
20,2022-03-21,sz.000066,11.9800,12.1500,11.8500,11.9900,11.9900,19728253,236748339.6200,3,0.671000,1,0.000000
21,2022-03-22,sz.000066,11.9900,12.0300,11.8700,11.8900,11.9900,15348257,182926655.8700,3,0.522100,1,-0.834000
22,2022-03-23,sz.000066,11.9000,12.0300,11.8800,11.9700,11.8900,16214871,193599420.5000,3,0.551500,1,0.672800
23,2022-03-24,sz.000066,11.8800,11.8900,11.6600,11.7600,11.9700,18622039,218798609.4900,3,0.633400,1,-1.754400
24,2022-03-25,sz.000066,11.8000,11.8600,11.5700,11.5700,11.7600,15968133,186685174.3100,3,0.543100,1,-1.615600
25,2022-03-28,sz.000066,11.5700,11.7900,11.3500,11.6600,11.5700,20135830,233441391.9000,3,0.684900,1,0.777900
26,2022-03-29,sz.000066,11.6600,11.7400,11.3300,11.3700,11.6600,20316611,232930027.2900,3,0.691000,1,-2.487100
27,2022-03-30,sz.000066,11.5700,11.5700,11.3800,11.5400,11.3700,16713922,192175358.9200,3,0.568500,1,1.495200
28,2022-03-31,sz.000066,11.5100,11.5700,11.4100,11.5100,11.5400,14320558,164537946.0300,3,0.487100,1,-0.260000
29,2022-04-01,sz.000066,11.4700,11.5200,11.3300,11.5100,11.5100,14058198,160711491.3400,3,0.478200,1,0.000000
30,2022-04-06,sz.000066,11.5100,11.5500,11.4200,11.4900,11.5100,14014493,160932971.9300,3,0.476700,1,-0.173800
31,2022-04-07,sz.000066,11.6300,12.2700,11.6000,11.8100,11.4900,50732645,606796383.1200,3,1.725600,1,2.785000
32,2022-04-08,sz.000066,11.7900,11.8400,11.4200,11.5200,11.8100,24626836,284431634.4400,3,0.837700,1,-2.455500
33,2022-04-11,sz.000066,11.5000,11.5000,10.9300,11.0000,11.5200,30088545,334510178.7800,3,1.023400,1,-4.513900
34,2022-04-12,sz.000066,11.0000,11.1700,10.6000,11.1200,11.0000,28283802,307536727.5700,3,0.962000,1,1.090900
35,2022-04-13,sz.000066,11.0200,11.0200,10.7200,10.7400,11.1200,16984437,184693294.8500,3,0.577700,1,-3.417300
36,2022-04-14,sz.000066,10.7900,11.0000,10.7400,10.8800,10.7400,17518839,190222752.4600,3,0.595900,1,1.303500
37,2022-04-15,sz.000066,10.7800,10.8000,10.4500,10.4900,10.8800,27743839,293549605.8700,3,0.943700,1,-3.584600
38,2022-04-18,sz.000066,10.4000,10.5500,10.2000,10.4400,10.4900,17474763,180990403.4700,3,0.594400,1,-0.476600
39,2022-04-19,sz.000066,10.4200,10.6600,10.4000,10.4500,10.4400,14554823,152874355.6900,3,0.495100,1,0.095800
40,2022-04-20,sz.000066,10.5500,10.7700,10.3800,10.4200,10.4500,19468151,206092430.3800,3,0.662200,1,-0.287100
41,2022-04-21,sz.000066,10.3900,10.4500,9.9900,10.0200,10.4200,21047463,214885645.9000,3,0.715900,1,-3.838800
42,2022-04-22,sz.000066,9.9900,10.0300,9.6200,9.6500,10.0200,33467129,326954258.4700,3,1.138300,1,-3.692600
43,2022-04-25,sz.000066,9.4100,9.4100,8.6900,8.6900,9.6500,54170573,485823728.5000,3,1.842500,1,-9.948200
44,2022-04-26,sz.000066,8.6000,8.6500,7.9400,8.0100,8.6900,58193629,479872086.3100,3,1.979400,1,-7.825100
45,2022-04-27,sz.000066,7.9700,8.7100,7.8000,8.6600,8.0100,49869988,415542042.9500,3,1.696300,1,8.114900
46,2022-04-28,sz.000066,8.6100,8.6400,8.3800,8.5000,8.6600,28091688,238775539.6900,3,0.955500,1,-1.847600
47,2022-04-29,sz.000066,8.6200,9.1100,8.6100,9.0200,8.5000,36994152,328874327.6200,3,1.258300,1,6.117600
48,2022-05-05,sz.000066,8.8500,9.1400,8.7300,8.9700,9.0200,33616729,301619453.4500,3,1.143400,1,-0.554300
49,2022-05-06,sz.000066,8.7600,9.8700,8.6500,9.8700,8.9700,63261184,602306191.1900,3,2.151800,1,10.033400
50,2022-05-09,sz.000066,9.6300,10.3300,9.5800,9.7900,9.8700,88511906,876715809.3300,3,3.010600,1,-0.810500
51,2022-05-10,sz.000066,9.5500,9.8200,9.4600,9.7100,9.7900,53290669,515696697.4000,3,1.812600,1,-0.817200
52,2022-05-11,sz.000066,9.6600,10.0400,9.6300,9.7100,9.7100,61713664,609173540.2600,3,2.099100,1,0.000000
53,2022-05-12,sz.000066,9.6200,10.1200,9.5800,9.8800,9.7100,48348866,478048891.8200,3,1.644500,1,1.750800
54,2022-05-13,sz.000066,9.9500,9.9900,9.7300,9.8200,9.8800,25807392,253077821.6700,3,0.877800,1,-0.607300
55,2022-05-16,sz.000066,9.8200,9.9500,9.6300,9.7100,9.8200,29156379,284941864.1000,3,0.991700,1,-1.120200
56,2022-05-17,sz.000066,9.7200,9.7700,9.5100,9.7400,9.7100,22960558,222086112.6800,3,0.781000,1,0.309000
57,2022-05-18,sz.000066,9.8800,10.0800,9.7300,9.7500,9.7400,33158893,326927179.8100,3,1.127900,1,0.102700
58,2022-05-19,sz.000066,9.5800,9.7100,9.5000,9.6900,9.7500,24388991,234463726.7800,3,0.829600,1,-0.615400
59,2022-05-20,sz.000066,9.6900,9.8300,9.6300,9.7500,9.6900,23230404,225855728.2900,3,0.790200,1,0.619200
60,2022-05-23,sz.000066,9.8100,9.9500,9.6800,9.8400,9.7500,30817010,302910120.1100,3,1.048200,1,0.923100
61,2022-05-24,sz.000066,9.8300,10.0300,9.3800,9.3800,9.8400,39872613,389237726.2100,3,1.356200,1,-4.674800
62,2022-05-25,sz.000066,9.4400,9.9600,9.4300,9.6300,9.3800,34379265,333263985.4300,3,1.169400,1,2.665200
63,2022-05-26,sz.000066,9.5500,9.8500,9.2500,9.7100,9.6300,37701911,362107217.0600,3,1.282400,1,0.830700
64,2022-05-27,sz.000066,9.8600,9.8800,9.6200,9.7300,9.7100,24505802,238439602.4500,3,0.833500,1,0.206000
65,2022-05-30,sz.000066,9.8500,10.2800,9.8000,10.1400,9.7300,70021919,705039257.2600,3,2.381700,1,4.213800
66,2022-05-31,sz.000066,10.0600,10.2000,9.9200,10.1600,10.1400,45964912,462916018.8200,3,1.563400,1,0.197200
67,2022-06-01,sz.000066,10.1600,10.2000,9.9500,10.0400,10.1600,30811660,310190439.7000,3,1.048000,1,-1.181100
68,2022-06-02,sz.000066,10.0700,10.2700,10.0100,10.2300,10.0400,37354810,380092644.8800,3,1.270600,1,1.892400
69,2022-06-06,sz.000066,10.2300,10.7300,10.1800,10.5300,10.2300,55123408,576666256.1500,3,1.875000,1,2.932600
70,2022-06-07,sz.000066,10.5400,10.9500,10.3900,10.9200,10.5300,65152328,694404742.3100,3,2.216100,1,3.703700
71,2022-06-08,sz.000066,10.8000,11.4600,10.7800,11.0900,10.9200,86966159,971521916.9800,3,2.958000,1,1.556800
72,2022-06-09,sz.000066,11.0000,11.0000,10.6900,10.7100,11.0900,48123633,519599209.4200,3,1.636900,1,-3.426500
73,2022-06-10,sz.000066,10.6400,11.0800,10.6200,10.7100,10.7100,72693968,787650949.7400,3,2.472600,1,0.000000
74,2022-06-13,sz.000066,10.6000,10.9100,10.5200,10.7600,10.7100,50720551,543247815.8800,3,1.725200,1,0.466900
75,2022-06-14,sz.000066,10.6000,10.7200,10.3200,10.7000,10.7600,33859590,356159220.7900,3,1.151700,1,-0.557600
76,2022-06-15,sz.000066,10.7200,10.9300,10.6700,10.7000,10.7000,38884801,419502397.3400,3,1.322600,1,0.000000
77,2022-06-16,sz.000066,10.7000,10.8200,10.5300,10.5500,10.7000,25464154,271673119.1400,3,0.866100,1,-1.401900
78,2022-06-17,sz.000066,10.5300,10.6600,10.3300,10.6600,10.5500,27416703,288874548.0900,3,0.932500,1,1.042700
79,2022-06-20,sz.000066,10.7000,10.8800,10.5500,10.7900,10.6600,34533766,370732947.6700,3,1.174600,1,1.219500
80,2022-06-21,sz.000066,10.7200,10.7600,10.3800,10.4800,10.7900,31413626,331314368.8600,3,1.068500,1,-2.873000
81,2022-06-22,sz.000066,10.4800,10.5000,10.1100,10.1300,10.4800,27302153,280377440.8800,3,0.928600,1,-3.339700
82,2022-06-23,sz.000066,10.2500,10.4200,10.1400,10.4100,10.1300,24383125,250986779.5800,3,0.829400,1,2.764100
83,2022-06-24,sz.000066,10.5000,11.0400,10.4900,10.7200,10.4100,45549811,491452624.5000,3,1.549300,1,2.977900
