,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000333,72.8000,72.8200,72.0000,72.7000,73.0000,10709058,776053567.5300,3,0.156800,1,-0.411000
1,2022-02-22,sz.000333,72.1000,72.1500,69.2500,70.1700,72.7000,36301446,2550080183.9400,3,0.531600,1,-3.480100
2,2022-02-23,sz.000333,70.0500,70.6400,69.7000,70.4800,70.1700,19598560,1377756703.2900,3,0.287000,1,0.441800
3,2022-02-24,sz.000333,69.5200,69.7600,67.4600,68.3000,70.4800,41899669,2867573788.8400,3,0.613600,1,-3.093100
4,2022-02-25,sz.000333,68.7500,68.9500,67.8100,68.1200,68.3000,22417097,1528873766.1600,3,0.328300,1,-0.263500
5,2022-02-28,sz.000333,67.5000,67.6200,65.5000,66.7200,68.1200,48362395,3207726544.0000,3,0.708200,1,-2.055200
6,2022-03-01,sz.000333,66.6100,68.3900,65.6800,68.3300,66.7200,40633496,2724504800.0000,3,0.595000,1,2.413100
7,2022-03-02,sz.000333,67.5000,67.5000,66.2000,66.9200,68.3300,24786934,1658320784.0000,3,0.363000,1,-2.063500
8,2022-03-03,sz.000333,67.2500,67.2500,65.9500,66.6700,66.9200,26230556,1743964880.0000,3,0.384100,1,-0.373600
9,2022-03-04,sz.000333,65.9500,66.3300,65.0900,65.6000,66.6700,30520427,2001514128.0000,3,0.446900,1,-1.604900
10,2022-03-07,sz.000333,64.5800,64.5800,62.0400,62.5100,65.6000,47645242,2998946560.0000,3,0.697700,1,-4.710400
11,2022-03-08,sz.000333,61.9000,63.0000,59.7000,59.7600,62.5100,57768670,3513393056.0000,3,0.846000,1,-4.399300
12,2022-03-09,sz.000333,59.2800,60.0100,56.6100,59.5200,59.7600,56275807,3289964736.0000,3,0.824100,1,-0.401600
13,2022-03-10,sz.000333,61.2100,61.3900,58.1200,58.8700,59.5200,47362869,2809518528.0000,3,0.693600,1,-1.092100
14,2022-03-11,sz.000333,58.3000,59.6700,57.3300,59.3800,58.8700,35638996,2080976816.0000,3,0.521200,1,0.866300
15,2022-03-14,sz.000333,58.0200,59.0900,56.6900,56.6900,59.3800,31918608,1851362816.0000,3,0.466800,1,-4.530100
16,2022-03-15,sz.000333,56.2000,57.2300,54.2800,54.4000,56.6900,49926766,2779415600.0000,3,0.730100,1,-4.039500
17,2022-03-16,sz.000333,56.2000,57.3100,54.2500,56.9900,54.4000,52945781,2962039200.0000,3,0.774300,1,4.761000
18,2022-03-17,sz.000333,59.4400,59.6800,57.6100,58.7000,56.9900,52266437,3071637072.0000,3,0.764400,1,3.000500
19,2022-03-18,sz.000333,58.7000,59.0100,57.6500,58.9000,58.7000,36839305,2148265062.6500,3,0.538800,1,0.340700
20,2022-03-21,sz.000333,59.0300,59.5500,58.0000,58.4500,58.9000,30641715,1798629636.1200,3,0.448100,1,-0.764000
21,2022-03-22,sz.000333,58.1000,58.9400,58.0200,58.5800,58.4500,19403969,1134303592.5900,3,0.283800,1,0.222400
22,2022-03-23,sz.000333,58.7300,58.8600,57.9300,58.0000,58.5800,24373729,1418165962.6000,3,0.356400,1,-0.990100
23,2022-03-24,sz.000333,57.5000,57.8200,57.1100,57.5800,58.0000,23678670,1361843502.7400,3,0.346300,1,-0.724100
24,2022-03-25,sz.000333,57.5900,57.9200,56.0500,56.0900,57.5800,25216369,1430819628.2500,3,0.368800,1,-2.587700
25,2022-03-28,sz.000333,55.8700,56.1600,54.8000,55.8000,56.0900,21585282,1198968556.1100,3,0.315700,1,-0.517000
26,2022-03-29,sz.000333,56.1100,56.2300,54.4600,54.6500,55.8000,25242958,1391082042.4500,3,0.369200,1,-2.060900
27,2022-03-30,sz.000333,54.9900,57.0000,54.9500,57.0000,54.6500,33900253,1899860141.3300,3,0.495800,1,4.300100
28,2022-03-31,sz.000333,56.9000,57.2000,56.2200,57.0000,57.0000,25133597,1428403894.1200,3,0.367600,1,0.000000
29,2022-04-01,sz.000333,56.5000,59.2400,55.8100,58.6000,57.0000,45775170,2655473470.4700,3,0.669400,1,2.807000
30,2022-04-06,sz.000333,58.0500,59.1800,57.9000,58.4100,58.6000,30753172,1798592443.7000,3,0.449700,1,-0.324200
31,2022-04-07,sz.000333,57.6500,59.1200,57.6100,57.7000,58.4100,26942029,1567998977.9800,3,0.394000,1,-1.215500
32,2022-04-08,sz.000333,57.7000,57.9200,56.8400,57.3300,57.7000,22682729,1297780224.0200,3,0.331700,1,-0.641200
33,2022-04-11,sz.000333,57.4500,57.4700,55.2700,55.3600,57.3300,33812428,1894585190.9500,3,0.494500,1,-3.436200
34,2022-04-12,sz.000333,55.7400,57.5000,55.2900,57.4400,55.3600,29717487,1671057316.7500,3,0.434600,1,3.757200
35,2022-04-13,sz.000333,56.9800,57.4500,56.4300,56.5700,57.4400,21198659,1206396766.4100,3,0.310000,1,-1.514600
36,2022-04-14,sz.000333,57.0200,59.0800,57.0200,58.7200,56.5700,42741664,2497101925.1600,3,0.625100,1,3.800600
37,2022-04-15,sz.000333,58.3200,59.3000,58.1600,58.6500,58.7200,21242110,1246877156.8300,3,0.310700,1,-0.119200
38,2022-04-18,sz.000333,58.5000,58.5000,57.5300,57.5700,58.6500,15468205,893259008.2300,3,0.226200,1,-1.841400
39,2022-04-19,sz.000333,57.6500,58.1500,57.0600,57.3000,57.5700,16849454,971057233.5400,3,0.246400,1,-0.469000
40,2022-04-20,sz.000333,57.7500,58.8900,57.0000,57.5600,57.3000,21662822,1255101325.9900,3,0.316800,1,0.453800
41,2022-04-21,sz.000333,57.1000,57.9900,55.6000,56.0300,57.5600,27999954,1586256607.6700,3,0.409500,1,-2.658100
42,2022-04-22,sz.000333,55.6000,57.5200,54.6800,56.9700,56.0300,24469829,1373768018.0700,3,0.357900,1,1.677700
43,2022-04-25,sz.000333,56.5500,57.4900,55.0300,55.0700,56.9700,32560068,1837475014.7100,3,0.475700,1,-3.335100
44,2022-04-26,sz.000333,55.0700,55.4700,51.5100,51.7900,55.0700,63204589,3336916857.5400,3,0.923400,1,-5.956100
45,2022-04-27,sz.000333,50.7300,53.3500,50.5000,53.1000,51.7900,37571041,1983750318.7000,3,0.548900,1,2.529400
46,2022-04-28,sz.000333,53.5000,53.7000,52.0700,53.2800,53.1000,25258916,1335819842.6200,3,0.369000,1,0.339000
47,2022-04-29,sz.000333,54.0000,57.2900,53.2800,57.0900,53.2800,57524101,3198610308.2000,3,0.840500,1,7.150900
48,2022-05-05,sz.000333,58.0500,59.3800,57.8500,58.7000,57.0900,46790722,2748594256.4100,3,0.683600,1,2.820100
49,2022-05-06,sz.000333,57.6000,58.5000,57.3900,58.2000,58.7000,21216998,1232140905.6500,3,0.310000,1,-0.851800
50,2022-05-09,sz.000333,57.2500,57.5200,55.7700,56.3600,58.2000,21529684,1216418056.8300,3,0.314600,1,-3.161500
51,2022-05-10,sz.000333,55.2300,56.8900,55.0000,56.6000,56.3600,30057137,1689113755.7800,3,0.439100,1,0.425800
52,2022-05-11,sz.000333,56.4800,57.5000,56.0000,56.6800,56.6000,35911506,2038556236.5800,3,0.524700,1,0.141300
53,2022-05-12,sz.000333,56.5800,56.5800,55.2800,55.7400,56.6800,22579089,1261668407.4500,3,0.329900,1,-1.658400
54,2022-05-13,sz.000333,56.5200,57.1700,56.2000,57.0100,55.7400,24432011,1386786846.1400,3,0.357000,1,2.278400
55,2022-05-16,sz.000333,57.5200,58.7500,55.5500,56.2000,57.0100,28664501,1624257210.9800,3,0.418800,1,-1.420800
56,2022-05-17,sz.000333,56.0000,57.5000,55.7000,57.3900,56.2000,22831367,1301041283.0200,3,0.333600,1,2.117400
57,2022-05-18,sz.000333,57.5000,57.6700,55.9200,56.6300,57.3900,22269749,1258738706.5500,3,0.325400,1,-1.324300
58,2022-05-19,sz.000333,55.7900,56.1900,55.3300,55.8200,56.6300,20195890,1125169384.4600,3,0.295100,1,-1.430300
59,2022-05-20,sz.000333,55.9000,57.1200,55.3600,56.9000,55.8200,26608469,1502431004.3700,3,0.388800,1,1.934800
60,2022-05-23,sz.000333,56.3500,56.5000,54.0900,54.3100,56.9000,55783104,3054327109.6900,3,0.815000,1,-4.551800
61,2022-05-24,sz.000333,54.0600,54.6900,53.5500,53.7900,54.3100,26346272,1425290685.5700,3,0.384900,1,-0.957500
62,2022-05-25,sz.000333,53.5000,53.8000,53.0000,53.4000,53.7900,22197439,1182899111.1100,3,0.324300,1,-0.725000
63,2022-05-26,sz.000333,53.4000,54.0800,51.8000,53.8200,53.4000,42382765,2242918333.9000,3,0.619200,1,0.786500
64,2022-05-27,sz.000333,54.4300,54.7900,53.0100,53.1200,53.8200,35255705,1897823156.8900,3,0.515100,1,-1.300600
65,2022-05-30,sz.000333,53.1500,53.8000,53.0100,53.4000,53.1200,21638531,1152606788.1700,3,0.316100,1,0.527100
66,2022-05-31,sz.000333,53.4900,54.4800,53.1000,54.4800,53.4000,35509917,1910341885.8200,3,0.518800,1,2.022500
67,2022-06-01,sz.000333,54.3000,54.7700,53.8500,54.2700,54.4800,29205803,1584914302.7200,3,0.426700,1,-0.385500
68,2022-06-02,sz.000333,52.7600,52.7800,52.0800,52.5600,52.6000,27584641,1445923345.9500,3,0.403000,1,-0.076000
69,2022-06-06,sz.000333,52.5800,52.9300,51.5800,52.7900,52.5600,36520890,1916117643.1800,3,0.533600,1,0.437600
70,2022-06-07,sz.000333,52.5000,53.1300,52.1000,53.0000,52.7900,29169548,1540591783.4200,3,0.426200,1,0.397800
71,2022-06-08,sz.000333,53.0100,53.8000,52.5300,52.9900,53.0000,36297664,1921801464.7200,3,0.530300,1,-0.018900
72,2022-06-09,sz.000333,52.8500,53.1500,52.1900,52.3800,52.9900,28683558,1507868963.7800,3,0.419100,1,-1.151200
73,2022-06-10,sz.000333,52.1100,52.3400,51.7500,52.2500,52.3800,30034887,1563195288.9100,3,0.438800,1,-0.248200
74,2022-06-13,sz.000333,51.8000,51.8500,50.6600,51.0600,52.2500,40426293,2064281835.6700,3,0.590600,1,-2.277500
75,2022-06-14,sz.000333,50.3000,51.5600,50.1200,51.4300,51.0600,34842410,1764306397.6800,3,0.509100,1,0.724600
76,2022-06-15,sz.000333,51.1200,55.0000,51.1200,54.4400,51.4300,91507776,4906858801.3300,3,1.337000,1,5.852600
77,2022-06-16,sz.000333,54.4700,54.9300,53.4900,53.8300,54.4400,35938169,1942251730.4400,3,0.525100,1,-1.120500
78,2022-06-17,sz.000333,53.0300,55.4100,52.5200,54.7600,53.8300,53813436,2909185799.3000,3,0.786200,1,1.727700
79,2022-06-20,sz.000333,55.1600,57.5500,55.1600,57.0600,54.7600,76530884,4349794664.6000,3,1.118100,1,4.200100
80,2022-06-21,sz.000333,57.1000,58.3900,56.6500,57.2900,57.0600,53707727,3093973214.4000,3,0.784700,1,0.403100
81,2022-06-22,sz.000333,57.2700,57.2700,56.0000,56.0000,57.2900,29721130,1674082885.3700,3,0.434200,1,-2.251700
82,2022-06-23,sz.000333,55.9600,56.4700,55.3000,55.9900,56.0000,30453200,1698132572.2400,3,0.444900,1,-0.017900
83,2022-06-24,sz.000333,55.9900,58.9500,55.7600,57.8000,55.9900,73201062,4236370540.3000,3,1.069400,1,3.232700
84,2022-06-27,sz.000333,58.3000,60.0800,58.3000,59.1000,57.8000,58158368,3454900578.8300,3,0.849700,1,2.249100
85,2022-06-28,sz.000333,59.6000,59.6000,58.4500,59.1000,59.1000,32252221,1902451600.1000,3,0.471000,1,0.000000
86,2022-06-29,sz.000333,59.4800,60.6400,59.2100,59.2700,59.1000,42072308,2520771106.3400,3,0.614400,1,0.287600
