,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000402,5.8600,5.9800,5.7900,5.9500,5.8700,20867160,122863277.8200,3,0.698400,1,1.362900
1,2022-02-22,sz.000402,5.9300,5.9700,5.8500,5.8800,5.9500,13848335,81858236.8500,3,0.463500,1,-1.176500
2,2022-02-23,sz.000402,5.8800,5.9000,5.8000,5.8100,5.8800,14433112,84103184.8400,3,0.483100,1,-1.190500
3,2022-02-24,sz.000402,5.8000,5.8800,5.6700,5.7200,5.8100,20658204,119008267.2800,3,0.691400,1,-1.549100
4,2022-02-25,sz.000402,5.7300,5.7700,5.6800,5.6900,5.7200,15428731,88269499.9800,3,0.516400,1,-0.524500
5,2022-02-28,sz.000402,5.6900,5.6900,5.6000,5.6300,5.6900,14924677,84061169.0000,3,0.499500,1,-1.054500
6,2022-03-01,sz.000402,5.6300,5.6900,5.6200,5.6700,5.6300,10698649,60513313.0000,3,0.358100,1,0.710500
7,2022-03-02,sz.000402,5.6600,5.7400,5.6500,5.7200,5.6700,10079699,57563754.0000,3,0.337400,1,0.881800
8,2022-03-03,sz.000402,5.7600,5.8600,5.7400,5.8300,5.7200,23564020,136925277.0000,3,0.788700,1,1.923100
9,2022-03-04,sz.000402,5.8200,5.8200,5.7300,5.7700,5.8300,13948165,80351482.0000,3,0.466800,1,-1.029200
10,2022-03-07,sz.000402,5.7400,5.8100,5.6900,5.7100,5.7700,12570491,72199503.0000,3,0.420700,1,-1.039900
11,2022-03-08,sz.000402,5.7400,5.7400,5.5600,5.5800,5.7100,16376550,92106979.0000,3,0.548100,1,-2.276700
12,2022-03-09,sz.000402,5.6000,5.6200,5.2700,5.3900,5.5800,23063631,125756843.0000,3,0.771900,1,-3.405000
13,2022-03-10,sz.000402,5.4600,5.4700,5.3900,5.4100,5.3900,12021326,65246669.0000,3,0.402300,1,0.371100
