,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000409,7.8500,8.5500,7.7100,8.2300,7.8800,61252171,500537204.2100,3,15.100500,1,4.441600
1,2022-02-22,sz.000409,8.1000,8.2700,7.8500,7.9900,8.2300,45115701,362233524.7600,3,11.122300,1,-2.916200
2,2022-02-23,sz.000409,8.0000,8.0100,7.6600,7.9800,7.9900,31806895,250055087.6400,3,7.841300,1,-0.125200
3,2022-02-24,sz.000409,7.8600,8.0900,7.2600,7.4100,7.9800,40811564,312190301.8400,3,10.061200,1,-7.142900
4,2022-02-25,sz.000409,7.5200,7.7500,7.1200,7.1500,7.4100,30626042,226441983.9400,3,7.550200,1,-3.508800
5,2022-02-28,sz.000409,7.0500,7.3000,6.8900,7.2700,7.1500,25331369,180482837.0000,3,6.244900,1,1.678300
6,2022-03-01,sz.000409,7.2900,7.9500,7.1500,7.5600,7.2700,34569545,261631225.0000,3,8.522400,1,3.989000
7,2022-03-02,sz.000409,7.5900,7.6700,7.4000,7.6200,7.5600,21817773,164541826.0000,3,5.378700,1,0.793700
8,2022-03-03,sz.000409,7.7500,7.8700,7.5700,7.6400,7.6200,24801299,190867242.0000,3,6.114200,1,0.262500
9,2022-03-04,sz.000409,7.5700,7.8000,7.5300,7.7200,7.6400,20067182,154102451.0000,3,4.947100,1,1.047100
10,2022-03-07,sz.000409,7.6600,7.6800,7.2000,7.3000,7.7200,19911540,147813407.0000,3,4.908800,1,-5.440400
11,2022-03-08,sz.000409,7.3000,7.4300,6.9700,6.9700,7.3000,17677846,126739092.0000,3,4.358100,1,-4.520500
12,2022-03-09,sz.000409,6.9800,7.1300,6.6300,7.0700,6.9700,18440244,127982819.0000,3,4.546100,1,1.434700
13,2022-03-10,sz.000409,7.2000,7.2400,6.9800,7.0500,7.0700,16569863,117421533.0000,3,4.085000,1,-0.282900
14,2022-03-11,sz.000409,6.9700,7.0900,6.8000,7.0700,7.0500,13135470,91469935.0000,3,3.238300,1,0.283700
15,2022-03-14,sz.000409,6.9600,7.0700,6.5100,6.5100,7.0700,19672028,132425787.0000,3,4.849700,1,-7.920800
16,2022-03-15,sz.000409,6.4100,6.6200,6.1500,6.1700,6.5100,17220327,110397501.0000,3,4.245300,1,-5.222700
17,2022-03-16,sz.000409,6.2900,6.5600,6.1600,6.5100,6.1700,18950643,120515588.0000,3,4.671900,1,5.510500
18,2022-03-17,sz.000409,6.5400,6.6600,6.3900,6.4700,6.5100,15623799,102198682.0000,3,3.851700,1,-0.614400
19,2022-03-18,sz.000409,6.4400,6.6700,6.4200,6.5500,6.4700,10696296,70098505.2400,3,2.637000,1,1.236500
20,2022-03-21,sz.000409,6.5100,6.6000,6.4100,6.4900,6.5500,10956500,71168875.1800,3,2.701100,1,-0.916000
21,2022-03-22,sz.000409,6.5000,6.8500,6.4200,6.6900,6.4900,20235511,135598433.8200,3,4.988600,1,3.081700
22,2022-03-23,sz.000409,6.6300,6.7000,6.5300,6.5900,6.6900,11011282,72488242.7600,3,2.714600,1,-1.494800
23,2022-03-24,sz.000409,6.5200,6.5300,6.3000,6.3400,6.5900,12962373,82681678.6300,3,3.195600,1,-3.793600
24,2022-03-25,sz.000409,6.7900,6.9000,6.4100,6.4600,6.3400,20919314,139764083.7000,3,5.157200,1,1.892700
25,2022-03-28,sz.000409,6.4000,6.5300,6.2000,6.3200,6.4600,11394120,72456202.2600,3,2.809000,1,-2.167200
26,2022-03-29,sz.000409,6.4400,6.4400,6.1400,6.1800,6.3200,10227389,63696605.4400,3,2.521400,1,-2.215200
27,2022-03-30,sz.000409,6.1700,6.2800,6.1500,6.2100,6.1800,7191123,44659049.6000,3,1.772800,1,0.485400
28,2022-03-31,sz.000409,6.2100,6.2300,6.1200,6.1500,6.2100,8104584,49922919.9100,3,1.998000,1,-0.966200
29,2022-04-01,sz.000409,6.1400,6.1600,6.0100,6.1300,6.1500,9129900,55565045.7500,3,2.250800,1,-0.325200
