,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000420,4.5900,4.8400,4.5500,4.7700,4.6100,62429850,295193428.6000,3,2.880600,1,3.470700
1,2022-02-22,sz.000420,4.7400,4.7700,4.6100,4.6900,4.7700,41498059,194645536.5800,3,1.914800,1,-1.677100
2,2022-02-23,sz.000420,4.6900,4.7700,4.6700,4.7000,4.6900,27812198,130941888.2200,3,1.283300,1,0.213200
3,2022-02-24,sz.000420,4.6800,4.8900,4.5900,4.6800,4.7000,65084125,308669759.0800,3,3.003100,1,-0.425500
4,2022-02-25,sz.000420,4.7000,4.7900,4.5300,4.7000,4.6800,62879359,294605099.3000,3,2.901400,1,0.427400
5,2022-02-28,sz.000420,4.6900,4.8700,4.6400,4.8200,4.7000,59812002,286476304.0000,3,2.759900,1,2.553200
6,2022-03-01,sz.000420,4.8200,4.9300,4.7800,4.8400,4.8200,41936477,202877514.0000,3,1.935000,1,0.414900
7,2022-03-02,sz.000420,4.8000,5.1600,4.7800,5.1000,4.8400,84794111,425874592.0000,3,3.912600,1,5.371900
8,2022-03-03,sz.000420,5.1700,5.1900,5.0300,5.0900,5.1000,47789816,243011218.0000,3,2.205100,1,-0.196100
9,2022-03-04,sz.000420,5.1000,5.1000,4.9000,4.9200,5.0900,50872383,253929471.0000,3,2.347400,1,-3.339900
10,2022-03-07,sz.000420,4.8500,4.8600,4.5900,4.6200,4.9200,49890500,235230734.0000,3,2.302100,1,-6.097600
11,2022-03-08,sz.000420,4.6200,4.6900,4.3600,4.4100,4.6200,50564302,227077407.0000,3,2.333100,1,-4.545500
12,2022-03-09,sz.000420,4.4500,4.6300,4.3000,4.5100,4.4100,56897010,255442310.0000,3,2.625400,1,2.267600
13,2022-03-10,sz.000420,4.6000,4.9000,4.6000,4.8200,4.5100,61117840,291683392.0000,3,2.820100,1,6.873600
14,2022-03-11,sz.000420,4.7600,4.8700,4.6000,4.8100,4.8200,51298700,241708131.0000,3,2.367000,1,-0.207500
15,2022-03-14,sz.000420,4.7100,4.7900,4.6000,4.6500,4.8100,60530750,283980256.0000,3,2.793000,1,-3.326400
16,2022-03-15,sz.000420,4.6200,4.6700,4.3700,4.3800,4.6500,62232470,281318080.0000,3,2.871500,1,-5.806500
17,2022-03-16,sz.000420,4.4700,4.4900,4.0900,4.4000,4.3800,73485691,315348976.0000,3,3.390800,1,0.456600
18,2022-03-17,sz.000420,4.4200,4.5900,4.3300,4.3600,4.4000,59841300,266430040.0000,3,2.761200,1,-0.909100
19,2022-03-18,sz.000420,4.3500,4.7900,4.2200,4.7300,4.3600,94935870,437126177.9400,3,4.380500,1,8.486200
20,2022-03-21,sz.000420,4.9000,5.1900,4.7900,5.1000,4.7300,115212578,574275445.5200,3,5.316200,1,7.822400
21,2022-03-22,sz.000420,5.0300,5.1000,4.8700,4.9000,5.1000,58711100,289869622.0000,3,2.709100,1,-3.921600
22,2022-03-23,sz.000420,4.9000,5.0800,4.8400,5.0300,4.9000,57023419,284080094.6500,3,2.631200,1,2.653100
23,2022-03-24,sz.000420,5.0200,5.0900,4.8500,4.9000,5.0300,38858600,192102853.0000,3,1.793000,1,-2.584500
24,2022-03-25,sz.000420,4.9000,4.9300,4.7700,4.7700,4.9000,33419608,161541353.5000,3,1.542100,1,-2.653100
25,2022-03-28,sz.000420,4.7300,4.7300,4.5300,4.5900,4.7700,40300624,185895183.6800,3,1.859600,1,-3.773600
26,2022-03-29,sz.000420,4.7500,4.8800,4.6200,4.6400,4.5900,34376591,161461661.7300,3,1.586200,1,1.089300
27,2022-03-30,sz.000420,4.6900,4.8000,4.6000,4.6600,4.6400,33735690,158113186.0400,3,1.556600,1,0.431000
28,2022-03-31,sz.000420,4.6600,4.6900,4.4800,4.5300,4.6600,36163740,164654108.8000,3,1.668700,1,-2.789700
29,2022-04-01,sz.000420,4.4800,4.5800,4.4300,4.5000,4.5300,23324360,104997380.3100,3,1.076200,1,-0.662300
30,2022-04-06,sz.000420,4.4900,4.5200,4.3600,4.4200,4.5000,33465261,147948457.3600,3,1.544200,1,-1.777800
31,2022-04-07,sz.000420,4.4200,4.4400,4.2800,4.2900,4.4200,27887358,120727914.3200,3,1.286800,1,-2.941200
32,2022-04-08,sz.000420,4.3100,4.3200,4.1900,4.2300,4.2900,30550845,129388424.0900,3,1.409700,1,-1.398600
33,2022-04-11,sz.000420,4.2500,4.3000,4.1000,4.1200,4.2300,26424600,111131815.0000,3,1.219300,1,-2.600500
34,2022-04-12,sz.000420,4.1200,4.2400,4.0800,4.2300,4.1200,28337506,118125908.9600,3,1.307600,1,2.669900
35,2022-04-13,sz.000420,4.3400,4.3900,4.2300,4.2800,4.2300,31501496,135340615.9600,3,1.453500,1,1.182000
36,2022-04-14,sz.000420,4.2800,4.3400,4.1400,4.2000,4.2800,24603430,103290231.5000,3,1.135300,1,-1.869200
37,2022-04-15,sz.000420,4.1700,4.1700,3.9800,4.0600,4.2000,31374500,127326603.0000,3,1.447700,1,-3.333300
38,2022-04-18,sz.000420,4.0600,4.0600,3.8900,3.9900,4.0600,23925000,94398722.0000,3,1.104000,1,-1.724100
39,2022-04-19,sz.000420,4.0500,4.1900,3.9900,4.0100,3.9900,37135500,152114425.0000,3,1.713500,1,0.501300
40,2022-04-20,sz.000420,4.0900,4.1000,3.9200,3.9700,4.0100,22545885,90018032.4000,3,1.040300,1,-0.997500
41,2022-04-21,sz.000420,4.0000,4.0700,3.8100,3.8500,3.9700,32427400,126388957.0000,3,1.496300,1,-3.022700
42,2022-04-22,sz.000420,3.8100,3.8200,3.7100,3.7200,3.8500,22582649,84571909.6800,3,1.042000,1,-3.376600
43,2022-04-25,sz.000420,3.6800,3.6800,3.3500,3.3500,3.7200,41721523,144296383.2700,3,1.925100,1,-9.946200
44,2022-04-26,sz.000420,3.3400,3.3500,3.1000,3.1200,3.3500,43290193,138895430.4900,3,1.997500,1,-6.865700
45,2022-04-27,sz.000420,2.9300,3.4300,2.9300,3.3900,3.1200,50608181,163170499.9300,3,2.335200,1,8.653800
46,2022-04-28,sz.000420,3.4200,3.4700,3.3100,3.3800,3.3900,34226293,116026015.0800,3,1.579300,1,-0.295000
47,2022-04-29,sz.000420,3.4300,3.4500,3.3400,3.3900,3.3800,42876090,145402550.9000,3,1.978400,1,0.295900
48,2022-05-05,sz.000420,3.3900,3.3900,3.3900,3.3900,3.3900,,,3,,0,
49,2022-05-06,sz.000420,3.3900,3.3900,3.3900,3.3900,3.3900,,,3,,0,
50,2022-05-09,sz.000420,3.3900,3.3900,3.3900,3.3900,3.3900,,,3,,0,
51,2022-05-10,sz.000420,3.3900,3.3900,3.3900,3.3900,3.3900,,,3,,0,
