,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000507,6.2400,6.2900,6.2200,6.2600,6.2600,5300505,33120253.0300,3,0.638200,1,0.000000
1,2022-02-22,sz.000507,6.2300,6.2400,6.1500,6.1700,6.2600,8458473,52315008.6700,3,1.018500,1,-1.437700
2,2022-02-23,sz.000507,6.2200,6.2200,6.1600,6.2100,6.1700,5772522,35730101.1800,3,0.695100,1,0.648300
3,2022-02-24,sz.000507,6.1900,6.2400,5.9600,6.0100,6.2100,13858344,84427828.2600,3,1.668600,1,-3.220600
4,2022-02-25,sz.000507,6.0600,6.2000,6.0600,6.1900,6.0100,13352026,82179305.2800,3,1.607700,1,2.995000
5,2022-02-28,sz.000507,6.2600,6.2700,6.1300,6.2000,6.1900,11251537,69603909.0000,3,1.354800,1,0.161600
6,2022-03-01,sz.000507,6.2300,6.2800,6.1700,6.1900,6.2000,9581948,59514023.0000,3,1.153700,1,-0.161300
7,2022-03-02,sz.000507,6.1600,6.3200,6.1600,6.3200,6.1900,15469274,97032330.0000,3,1.862600,1,2.100200
8,2022-03-03,sz.000507,6.3300,6.5400,6.3200,6.5400,6.3200,30873274,200017846.0000,3,3.717400,1,3.481000
9,2022-03-04,sz.000507,6.4900,6.5000,6.3100,6.3200,6.5400,20048678,127509628.0000,3,2.414000,1,-3.363900
10,2022-03-07,sz.000507,6.3100,6.3500,6.1800,6.2000,6.3200,12606066,78834589.0000,3,1.517900,1,-1.898700
11,2022-03-08,sz.000507,6.1800,6.1900,5.9700,6.0000,6.2000,12887395,78021363.0000,3,1.551700,1,-3.225800
12,2022-03-09,sz.000507,6.0100,6.0300,5.5900,5.7600,6.0000,16035353,93384298.0000,3,1.930800,1,-4.000000
13,2022-03-10,sz.000507,5.8800,5.9200,5.7800,5.8000,5.7600,10450563,61070005.0000,3,1.258300,1,0.694400
14,2022-03-11,sz.000507,5.7200,5.9200,5.6200,5.9000,5.8000,10885440,62921950.0000,3,1.310700,1,1.724100
15,2022-03-14,sz.000507,5.8600,5.9300,5.7400,5.7400,5.9000,8812464,51450593.0000,3,1.061100,1,-2.711900
16,2022-03-15,sz.000507,5.7600,5.8100,5.3500,5.3600,5.7400,13992826,77692447.0000,3,1.684800,1,-6.620200
17,2022-03-16,sz.000507,5.4700,5.5100,5.2400,5.4700,5.3600,11127506,60195860.0000,3,1.339800,1,2.052200
18,2022-03-17,sz.000507,5.5800,5.6000,5.4700,5.4900,5.4700,10055967,55547885.0000,3,1.210800,1,0.365600
19,2022-03-18,sz.000507,5.4600,5.6300,5.4400,5.6000,5.4900,8953388,49891085.8600,3,1.078100,1,2.003600
20,2022-03-21,sz.000507,5.6100,5.6500,5.5100,5.5900,5.6000,8376488,46710482.1200,3,1.008600,1,-0.178600
21,2022-03-22,sz.000507,5.6100,5.6300,5.5300,5.6100,5.5900,6668788,37256149.4000,3,0.803000,1,0.357800
22,2022-03-23,sz.000507,5.6300,5.6600,5.5700,5.6500,5.6100,8978955,50506180.6500,3,1.081100,1,0.713000
23,2022-03-24,sz.000507,5.6700,5.7100,5.6200,5.6200,5.6500,9779132,55388676.4800,3,1.177500,1,-0.531000
24,2022-03-25,sz.000507,5.6200,5.6800,5.5800,5.6300,5.6200,8203622,46277594.7100,3,0.987800,1,0.177900
25,2022-03-28,sz.000507,5.5800,5.7100,5.5200,5.6900,5.6300,8547031,48144862.2200,3,1.029100,1,1.065700
26,2022-03-29,sz.000507,5.6700,5.7300,5.6200,5.6600,5.6900,6462570,36628459.1600,3,0.778100,1,-0.527200
27,2022-03-30,sz.000507,5.6700,5.7300,5.6500,5.7200,5.6600,6951213,39581038.0900,3,0.837000,1,1.060100
28,2022-03-31,sz.000507,5.7200,5.8200,5.6900,5.7700,5.7200,7530281,43387594.8000,3,0.906700,1,0.874100
29,2022-04-01,sz.000507,5.7000,6.0300,5.6800,5.9600,5.7700,20630984,122469304.6800,3,2.484100,1,3.292900
30,2022-04-06,sz.000507,5.9000,6.0800,5.8900,6.0700,5.9600,16162587,97484989.2800,3,1.946100,1,1.845600
31,2022-04-07,sz.000507,6.0300,6.0900,5.9100,5.9100,6.0700,12935530,77476125.8400,3,1.557500,1,-2.635900
32,2022-04-08,sz.000507,5.9400,6.0800,5.8600,5.9700,5.9100,9763700,57974922.0000,3,1.175600,1,1.015200
33,2022-04-11,sz.000507,5.9700,6.0400,5.8300,5.8500,5.9700,9500300,56358112.1100,3,1.143900,1,-2.010100
34,2022-04-12,sz.000507,5.8500,6.3300,5.7600,6.2200,5.8500,33035974,202314068.9200,3,3.977800,1,6.324800
35,2022-04-13,sz.000507,6.1800,6.2500,6.0200,6.0700,6.2200,26763100,163592923.0000,3,3.222500,1,-2.411600
36,2022-04-14,sz.000507,6.0700,6.1500,6.0500,6.0800,6.0700,15201600,92598584.0000,3,1.830400,1,0.164700
37,2022-04-15,sz.000507,5.9800,6.0800,5.9300,5.9700,6.0800,12997902,77823402.9600,3,1.565000,1,-1.809200
38,2022-04-18,sz.000507,5.9700,5.9900,5.8100,5.9100,5.9700,9374200,55560920.0000,3,1.128700,1,-1.005000
39,2022-04-19,sz.000507,5.9400,6.0600,5.8900,6.0100,5.9100,9694382,58024042.0400,3,1.167300,1,1.692000
40,2022-04-20,sz.000507,6.0000,6.0600,5.9000,5.9300,6.0100,10413608,62181874.6000,3,1.253900,1,-1.331100
41,2022-04-21,sz.000507,5.8900,5.9300,5.6700,5.6900,5.9300,12721280,73622442.9200,3,1.531700,1,-4.047200
42,2022-04-22,sz.000507,5.6400,5.8300,5.6300,5.7600,5.6900,8056700,46227864.0000,3,0.970100,1,1.230200
43,2022-04-25,sz.000507,5.6800,5.6800,5.2700,5.2800,5.7600,14616080,79584524.4000,3,1.759900,1,-8.333300
44,2022-04-26,sz.000507,5.2800,5.3900,5.0900,5.1500,5.2800,12247510,64241201.8000,3,1.474700,1,-2.462100
45,2022-04-27,sz.000507,5.2000,5.2800,5.0300,5.2700,5.1500,14840400,76432073.9000,3,1.786900,1,2.330100
46,2022-04-28,sz.000507,5.2700,5.4000,5.1500,5.2600,5.2700,13001584,68646156.5900,3,1.565500,1,-0.189800
47,2022-04-29,sz.000507,5.2900,5.4000,5.2600,5.3800,5.2600,10391773,55473759.2800,3,1.251200,1,2.281400
