,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000529,6.3300,6.4300,6.3000,6.3500,6.3700,5182250,32867386.8500,3,0.909400,1,-0.314000
1,2022-02-22,sz.000529,6.3300,6.3500,6.2500,6.2900,6.3500,6824870,42931163.7000,3,1.197600,1,-0.944900
2,2022-02-23,sz.000529,6.2900,6.3400,6.2500,6.2500,6.2900,5517900,34629046.8000,3,0.968200,1,-0.635900
3,2022-02-24,sz.000529,6.2200,6.2900,5.9500,6.0300,6.2500,8469687,51785413.3800,3,1.486200,1,-3.520000
4,2022-02-25,sz.000529,6.0500,6.1700,6.0500,6.1100,6.0300,4909452,30006221.3200,3,0.861500,1,1.326700
5,2022-02-28,sz.000529,6.1600,6.1600,5.9800,6.0100,6.1100,4317625,26048956.0000,3,0.757600,1,-1.636700
6,2022-03-01,sz.000529,6.0800,6.2000,6.0600,6.2000,6.0100,5982603,36768223.0000,3,1.049800,1,3.161400
7,2022-03-02,sz.000529,6.1600,6.2900,6.1300,6.2400,6.2000,5331401,33178699.0000,3,0.935500,1,0.645200
8,2022-03-03,sz.000529,6.2900,6.2900,6.1700,6.2600,6.2400,3944839,24512206.0000,3,0.692200,1,0.320500
9,2022-03-04,sz.000529,6.2100,6.2600,6.1600,6.2000,6.2600,3805675,23611532.0000,3,0.667800,1,-0.958500
10,2022-03-07,sz.000529,6.1700,6.2200,6.0900,6.1200,6.2000,4424350,27168900.0000,3,0.776400,1,-1.290300
11,2022-03-08,sz.000529,6.1500,6.1800,5.9000,5.9000,6.1200,4985520,29908542.0000,3,0.874800,1,-3.594800
12,2022-03-09,sz.000529,5.9500,6.0200,5.6500,5.8700,5.9000,6142730,35953471.0000,3,1.077900,1,-0.508500
13,2022-03-10,sz.000529,5.9700,6.0000,5.8900,5.9100,5.8700,3604300,21404059.0000,3,0.632500,1,0.681400
14,2022-03-11,sz.000529,5.8300,6.0000,5.7500,6.0000,5.9100,5180628,30479063.0000,3,0.909100,1,1.522800
15,2022-03-14,sz.000529,5.9300,5.9900,5.8000,5.8100,6.0000,3566900,21108314.0000,3,0.625900,1,-3.166700
16,2022-03-15,sz.000529,5.8000,5.8200,5.4600,5.4700,5.8100,5591737,31630757.0000,3,0.981200,1,-5.852000
17,2022-03-16,sz.000529,5.5200,5.6500,5.3500,5.6300,5.4700,4438979,24512169.0000,3,0.778900,1,2.925000
18,2022-03-17,sz.000529,5.6700,5.7500,5.6300,5.6500,5.6300,3823360,21805785.0000,3,0.670900,1,0.355200
19,2022-03-18,sz.000529,5.6500,5.9400,5.6200,5.9100,5.6500,6166301,35839786.8400,3,1.082000,1,4.601800
20,2022-03-21,sz.000529,5.9600,5.9700,5.8600,5.9400,5.9100,3622001,21414300.8200,3,0.635600,1,0.507600
21,2022-03-22,sz.000529,5.9400,5.9900,5.8500,5.9800,5.9400,4644890,27526944.8000,3,0.815100,1,0.673400
22,2022-03-23,sz.000529,6.0000,6.0000,5.9300,5.9900,5.9800,3397741,20271645.2800,3,0.596200,1,0.167200
23,2022-03-24,sz.000529,5.9700,5.9800,5.9100,5.9300,5.9900,2945118,17499528.0400,3,0.516800,1,-1.001700
24,2022-03-25,sz.000529,5.9400,6.2100,5.9200,6.1500,5.9300,7530860,46137031.5900,3,1.321500,1,3.709900
25,2022-03-28,sz.000529,6.1300,6.3900,6.0900,6.3100,6.1500,11658709,73017444.4100,3,2.045800,1,2.601600
