,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000548,4.3300,4.3700,4.2800,4.3000,4.3400,7550701,32545873.2900,3,1.512600,1,-0.921700
1,2022-02-22,sz.000548,4.3100,4.3300,4.2000,4.2300,4.3000,7814054,33199327.3400,3,1.565400,1,-1.627900
2,2022-02-23,sz.000548,4.2800,4.3500,4.2200,4.2500,4.2300,6846300,29093151.0000,3,1.371500,1,0.472800
3,2022-02-24,sz.000548,4.2300,4.2600,4.0600,4.1300,4.2500,9813991,40882640.3300,3,1.966000,1,-2.823500
4,2022-02-25,sz.000548,4.1700,4.2600,4.1400,4.2200,4.1300,7880760,33104425.6500,3,1.578700,1,2.179200
5,2022-02-28,sz.000548,4.2400,4.2600,4.1300,4.1800,4.2200,4782355,20052744.0000,3,0.958000,1,-0.947900
6,2022-03-01,sz.000548,4.2600,4.3900,4.2200,4.3400,4.1800,9159146,39650592.0000,3,1.834800,1,3.827800
7,2022-03-02,sz.000548,4.3000,4.3700,4.2700,4.3200,4.3400,5350206,23131756.0000,3,1.071800,1,-0.460800
8,2022-03-03,sz.000548,4.3400,4.4000,4.3300,4.3600,4.3200,6191900,27040028.0000,3,1.240400,1,0.925900
9,2022-03-04,sz.000548,4.3400,4.3800,4.2600,4.2900,4.3600,6071402,26093589.0000,3,1.216300,1,-1.605500
10,2022-03-07,sz.000548,4.2800,4.3500,4.2100,4.2300,4.2900,4811051,20531522.0000,3,0.963800,1,-1.398600
11,2022-03-08,sz.000548,4.2600,4.2600,4.1000,4.1300,4.2300,5383000,22349780.0000,3,1.078300,1,-2.364100
12,2022-03-09,sz.000548,4.1300,4.1700,3.9300,4.1200,4.1300,6856800,27929742.0000,3,1.373600,1,-0.242100
13,2022-03-10,sz.000548,4.1500,4.3200,4.1400,4.3200,4.1200,7628004,32472443.0000,3,1.528100,1,4.854400
14,2022-03-11,sz.000548,4.3000,4.3900,4.2100,4.3800,4.3200,7819001,33623917.0000,3,1.566300,1,1.388900
15,2022-03-14,sz.000548,4.3400,4.4300,4.2500,4.2700,4.3800,7912500,34302855.0000,3,1.585100,1,-2.511400
16,2022-03-15,sz.000548,4.2100,4.2900,4.0000,4.0000,4.2700,9983200,41537959.0000,3,1.999900,1,-6.323200
17,2022-03-16,sz.000548,4.0700,4.4000,4.0400,4.3100,4.0000,37740368,162424588.0000,3,7.560300,1,7.750000
18,2022-03-17,sz.000548,4.2600,4.6600,4.2200,4.4500,4.3100,42149541,186618932.0000,3,8.443600,1,3.248300
19,2022-03-18,sz.000548,4.3300,4.4900,4.3300,4.4400,4.4500,26272110,116328923.7500,3,5.263000,1,-0.224700
20,2022-03-21,sz.000548,4.4800,4.6200,4.4100,4.5400,4.4400,24417096,110321214.6700,3,4.891400,1,2.252300
21,2022-03-22,sz.000548,4.5500,4.6500,4.4900,4.5100,4.5400,18093412,82450776.4200,3,3.624600,1,-0.660800
22,2022-03-23,sz.000548,4.5100,4.5500,4.3600,4.5000,4.5100,14966829,66557843.6600,3,2.998200,1,-0.221700
23,2022-03-24,sz.000548,4.4600,4.7900,4.4300,4.4900,4.5000,21604801,99177520.4300,3,4.328000,1,-0.222200
24,2022-03-25,sz.000548,4.4800,4.6900,4.4800,4.5600,4.4900,16699268,76460125.9600,3,3.345300,1,1.559000
25,2022-03-28,sz.000548,4.5600,4.9000,4.4500,4.7300,4.5600,27267091,128376627.3800,3,5.462300,1,3.728100
26,2022-03-29,sz.000548,4.7400,4.7600,4.5200,4.5700,4.7300,18833200,86689043.0000,3,3.772800,1,-3.382700
27,2022-03-30,sz.000548,4.5600,4.7800,4.4500,4.6300,4.5700,20589276,94972929.6300,3,4.124500,1,1.312900
28,2022-03-31,sz.000548,4.6400,4.7800,4.6400,4.7300,4.6300,22685840,106855538.2800,3,4.544500,1,2.159800
29,2022-04-01,sz.000548,4.6500,4.7600,4.5500,4.7000,4.7300,20162804,93909993.3200,3,4.039100,1,-0.634200
30,2022-04-06,sz.000548,4.7000,5.1700,4.7000,5.1700,4.7000,37129040,185295031.0100,3,7.437900,1,10.000000
31,2022-04-07,sz.000548,5.1800,5.4600,4.8800,4.8800,5.1700,68010887,349753244.2900,3,13.624300,1,-5.609300
32,2022-04-08,sz.000548,4.9700,5.1300,4.6800,4.9400,4.8800,45281634,220571335.0600,3,9.071000,1,1.229500
33,2022-04-11,sz.000548,4.7600,4.8400,4.4500,4.5100,4.9400,36644318,168026428.4800,3,7.340800,1,-8.704500
34,2022-04-12,sz.000548,4.4700,4.6900,4.3600,4.6600,4.5100,23672650,107665334.5600,3,4.742200,1,3.325900
35,2022-04-13,sz.000548,4.6400,4.8000,4.4800,4.4900,4.6600,20730144,95468497.8400,3,4.152800,1,-3.648100
36,2022-04-14,sz.000548,4.4900,4.7000,4.4900,4.5400,4.4900,16818536,77430557.9800,3,3.369200,1,1.113600
37,2022-04-15,sz.000548,4.5000,4.5700,4.3300,4.3600,4.5400,16296528,72567919.4400,3,3.264600,1,-3.964800
38,2022-04-18,sz.000548,4.3500,4.3900,4.2000,4.3300,4.3600,11888800,51275992.0000,3,2.381600,1,-0.688100
39,2022-04-19,sz.000548,4.3500,4.4400,4.3000,4.4200,4.3300,8438957,37053213.9800,3,1.690500,1,2.078500
40,2022-04-20,sz.000548,4.4300,4.5400,4.4100,4.4200,4.4200,9896401,44166096.3900,3,1.982500,1,0.000000
41,2022-04-21,sz.000548,4.3600,4.4400,4.1700,4.2000,4.4200,12444259,53334735.8300,3,2.492900,1,-4.977400
42,2022-04-22,sz.000548,4.1600,4.2500,4.1400,4.1900,4.2000,9308456,38991972.0000,3,1.864700,1,-0.238100
43,2022-04-25,sz.000548,4.1500,4.1700,3.8400,3.8400,4.1900,13418023,53440819.7800,3,2.688000,1,-8.353200
44,2022-04-26,sz.000548,3.8800,3.9100,3.6900,3.7000,3.8400,8679656,32878261.2200,3,1.738800,1,-3.645800
45,2022-04-27,sz.000548,3.6800,4.0700,3.6600,4.0700,3.7000,12050992,47412597.4400,3,2.414100,1,10.000000
46,2022-04-28,sz.000548,4.0400,4.4700,3.8700,4.2400,4.0700,36891192,153559087.9100,3,7.390200,1,4.176900
47,2022-04-29,sz.000548,4.2400,4.6600,4.1500,4.6600,4.2400,38684791,170448086.6500,3,7.749500,1,9.905700
48,2022-05-05,sz.000548,4.7600,5.0300,4.5400,4.6500,4.6600,62162993,296434405.2600,3,12.452800,1,-0.214600
49,2022-05-06,sz.000548,4.3000,4.6400,4.3000,4.6000,4.6500,41471772,187192845.3700,3,8.307800,1,-1.075300
50,2022-05-09,sz.000548,4.7200,4.9800,4.6000,4.8400,4.6000,46660466,222757373.7600,3,9.347300,1,5.217400
51,2022-05-10,sz.000548,4.6200,5.0300,4.6200,4.9200,4.8400,45280527,218928066.4500,3,9.070800,1,1.652900
52,2022-05-11,sz.000548,4.8600,4.9500,4.7100,4.7700,4.9200,35957807,173081485.7500,3,7.203200,1,-3.048800
53,2022-05-12,sz.000548,4.7500,5.2500,4.7300,5.2500,4.7700,24578724,125061750.0000,3,4.923700,1,10.062900
54,2022-05-13,sz.000548,5.7800,5.7800,5.7800,5.7800,5.2500,6145450,35520701.0000,3,1.231100,1,10.095200
55,2022-05-16,sz.000548,6.3600,6.3600,6.3600,6.3600,5.7800,2711750,17246730.0000,3,0.543200,1,10.034600
