,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000581,22.1100,22.3300,22.0200,22.2500,22.1600,9605681,213213523.8700,3,1.175800,1,0.406100
1,2022-02-22,sz.000581,22.1000,22.1000,21.6700,21.7800,22.2500,8910294,194662022.3300,3,1.090700,1,-2.112400
2,2022-02-23,sz.000581,21.7600,21.9300,21.5700,21.6500,21.7800,11139749,241346711.3600,3,1.363600,1,-0.596900
3,2022-02-24,sz.000581,21.5100,21.6300,20.9100,21.0600,21.6500,12793257,271731105.7400,3,1.566000,1,-2.725200
4,2022-02-25,sz.000581,21.1800,21.4700,21.0600,21.1400,21.0600,7925907,168333062.1000,3,0.970200,1,0.379900
5,2022-02-28,sz.000581,21.1400,21.2200,20.5200,20.8600,21.1400,9071252,188116770.0000,3,1.110400,1,-1.324500
6,2022-03-01,sz.000581,20.9100,21.1400,20.7900,20.9500,20.8600,5588580,116866620.0000,3,0.684100,1,0.431400
7,2022-03-02,sz.000581,20.8000,20.8900,20.6600,20.7700,20.9500,5708165,118505245.0000,3,0.698700,1,-0.859200
8,2022-03-03,sz.000581,20.8400,21.1700,20.7300,21.0600,20.7700,7525887,157671086.0000,3,0.921200,1,1.396200
9,2022-03-04,sz.000581,21.0000,21.0000,20.7500,20.8500,21.0600,4781034,99556470.0000,3,0.585200,1,-0.997200
10,2022-03-07,sz.000581,20.8000,20.8000,20.2100,20.3600,20.8500,9147341,186948787.0000,3,1.119700,1,-2.350100
11,2022-03-08,sz.000581,20.3500,20.4100,19.8200,19.8400,20.3600,7241253,145118374.0000,3,0.886400,1,-2.554000
12,2022-03-09,sz.000581,19.9900,20.1200,19.1600,19.5900,19.8400,8908764,174583671.0000,3,1.090500,1,-1.260100
13,2022-03-10,sz.000581,20.0000,20.1500,19.8000,19.8300,19.5900,5108506,101782852.0000,3,0.625300,1,1.225100
14,2022-03-11,sz.000581,19.6100,19.9800,19.3300,19.9500,19.8300,4862611,95343379.0000,3,0.595200,1,0.605100
15,2022-03-14,sz.000581,19.6500,20.0000,19.5100,19.5300,19.9500,5506526,108431396.0000,3,0.674000,1,-2.105300
16,2022-03-15,sz.000581,19.4000,19.6500,18.8200,18.8300,19.5300,7944255,152425052.0000,3,0.972400,1,-3.584200
17,2022-03-16,sz.000581,19.1100,19.3600,18.7100,19.2900,18.8300,7389110,140976125.0000,3,0.904500,1,2.442900
18,2022-03-17,sz.000581,19.4500,19.8800,19.3700,19.6200,19.2900,6990425,137106143.0000,3,0.855700,1,1.710700
19,2022-03-18,sz.000581,19.5600,19.8000,19.3900,19.7800,19.6200,3919017,77061573.1600,3,0.479700,1,0.815500
20,2022-03-21,sz.000581,19.8500,19.8500,19.4400,19.7500,19.7800,5594855,109997342.1000,3,0.684900,1,-0.151700
21,2022-03-22,sz.000581,19.8600,19.8600,19.6000,19.7100,19.7500,2873390,56585633.7500,3,0.351700,1,-0.202500
22,2022-03-23,sz.000581,20.2400,20.4000,19.9300,19.9500,19.7100,7339788,147846530.0900,3,0.898400,1,1.217700
23,2022-03-24,sz.000581,19.8100,20.0500,19.7200,19.8200,19.9500,3655531,72695699.8800,3,0.447500,1,-0.651600
24,2022-03-25,sz.000581,19.7800,19.8600,19.6300,19.7000,19.8200,3226185,63699195.6500,3,0.394900,1,-0.605400
