,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000702,5.2300,5.2700,5.1800,5.2400,5.2100,5537901,28949300.2300,3,2.077000,1,0.575800
1,2022-02-22,sz.000702,5.2700,5.2700,5.1200,5.1600,5.2400,5694125,29451196.0000,3,2.135600,1,-1.526700
2,2022-02-23,sz.000702,5.1900,5.2100,5.0600,5.0900,5.1600,6449000,32911940.0000,3,2.418700,1,-1.356600
3,2022-02-24,sz.000702,5.1100,5.1400,4.9200,5.0100,5.0900,8593211,43397470.5000,3,3.222800,1,-1.571700
4,2022-02-25,sz.000702,5.0100,5.1800,5.0100,5.1200,5.0100,5928800,30306126.9000,3,2.223600,1,2.195600
5,2022-02-28,sz.000702,5.1500,5.2000,5.0600,5.1500,5.1200,6402600,32940955.0000,3,2.401300,1,0.585900
6,2022-03-01,sz.000702,5.1800,5.4700,5.1600,5.4500,5.1500,13155096,70372207.0000,3,4.933800,1,5.825200
7,2022-03-02,sz.000702,5.4100,5.5500,5.3800,5.5000,5.4500,12852596,70389476.0000,3,4.820300,1,0.917400
8,2022-03-03,sz.000702,5.5300,5.5700,5.3900,5.4300,5.5000,6608500,35865997.0000,3,2.478500,1,-1.272700
9,2022-03-04,sz.000702,5.4300,5.4500,5.2700,5.3300,5.4300,5348800,28546046.0000,3,2.006000,1,-1.841600
10,2022-03-07,sz.000702,5.3900,5.4500,5.2700,5.3100,5.3300,5639700,30162628.0000,3,2.115100,1,-0.375200
11,2022-03-08,sz.000702,5.3100,5.3800,5.0800,5.1100,5.3100,7707500,39799615.0000,3,2.890700,1,-3.766500
12,2022-03-09,sz.000702,5.1100,5.2200,4.8200,5.0000,5.1100,8075100,40676383.0000,3,3.028500,1,-2.152600
13,2022-03-10,sz.000702,5.1100,5.2100,5.0400,5.0900,5.0000,6206995,31821363.0000,3,2.327900,1,1.800000
14,2022-03-11,sz.000702,5.0400,5.3300,5.0000,5.3100,5.0900,10466607,54494006.0000,3,3.925500,1,4.322200
15,2022-03-14,sz.000702,5.3000,5.4000,5.1600,5.1700,5.3100,7555984,39752941.0000,3,2.833800,1,-2.636500
16,2022-03-15,sz.000702,5.1200,5.2200,4.9000,4.9000,5.1700,7915700,40245071.0000,3,2.968700,1,-5.222400
17,2022-03-16,sz.000702,5.0000,5.1800,4.8900,5.1000,4.9000,8553340,43173339.0000,3,3.207900,1,4.081600
18,2022-03-17,sz.000702,5.2100,5.2200,5.0200,5.0600,5.1000,10322900,52815846.0000,3,3.871600,1,-0.784300
19,2022-03-18,sz.000702,5.0300,5.3300,4.9700,5.3000,5.0600,9890997,51664676.2500,3,3.709600,1,4.743100
20,2022-03-21,sz.000702,5.3100,5.4500,5.2300,5.4400,5.3000,10213897,54832236.9800,3,3.830700,1,2.641500
21,2022-03-22,sz.000702,5.4200,5.5100,5.3100,5.4700,5.4400,9482200,51507357.0000,3,3.556300,1,0.551500
22,2022-03-23,sz.000702,5.5300,5.5400,5.3400,5.4200,5.4700,5865195,31849625.6000,3,2.199700,1,-0.914100
23,2022-03-24,sz.000702,5.4000,5.4500,5.3300,5.3500,5.4200,5840500,31442853.0000,3,2.190500,1,-1.291500
24,2022-03-25,sz.000702,5.3400,5.5700,5.3300,5.4900,5.3500,11830400,64993297.0000,3,4.436900,1,2.616800
25,2022-03-28,sz.000702,5.5100,5.6500,5.4600,5.5700,5.4900,13349370,73865054.0800,3,5.006600,1,1.457200
26,2022-03-29,sz.000702,5.5100,5.7700,5.4400,5.6600,5.5700,22110000,125043249.1800,3,8.292200,1,1.615800
27,2022-03-30,sz.000702,5.5300,5.6500,5.4900,5.5400,5.6600,14651500,81488943.0000,3,5.495000,1,-2.120100
28,2022-03-31,sz.000702,5.5500,5.7100,5.5100,5.6300,5.5400,12522795,70199380.1000,3,4.696600,1,1.624500
29,2022-04-01,sz.000702,5.6500,6.1500,5.6000,5.6700,5.6300,21260603,121981374.2700,3,7.973700,1,0.710500
30,2022-04-06,sz.000702,5.6500,5.8500,5.6100,5.7500,5.6700,18969905,108945587.9500,3,7.114600,1,1.410900
31,2022-04-07,sz.000702,5.7100,5.7800,5.5000,5.5300,5.7500,11934822,66763507.5700,3,4.476100,1,-3.826100
32,2022-04-08,sz.000702,5.5500,5.6500,5.3400,5.4300,5.5300,9236391,50237949.2100,3,3.464100,1,-1.808300
33,2022-04-11,sz.000702,5.3900,5.5800,5.3400,5.4000,5.4300,9571595,52308946.6000,3,3.589800,1,-0.552500
34,2022-04-12,sz.000702,5.3200,5.8500,5.2500,5.7500,5.4000,21798591,123764517.8700,3,8.175500,1,6.481500
35,2022-04-13,sz.000702,5.7700,5.8500,5.5800,5.7000,5.7500,12296405,69832737.6000,3,4.611700,1,-0.869600
36,2022-04-14,sz.000702,5.6700,5.7000,5.5100,5.6800,5.7000,9749807,54896244.6300,3,3.656600,1,-0.350900
37,2022-04-15,sz.000702,5.6800,5.8200,5.5400,5.6200,5.6800,10263094,58043771.9200,3,3.849100,1,-1.056300
38,2022-04-18,sz.000702,5.5500,5.9000,5.5500,5.8700,5.6200,15850799,91509171.7300,3,5.944800,1,4.448400
39,2022-04-19,sz.000702,5.8700,6.0200,5.7400,5.9000,5.8700,20839502,123204524.8600,3,7.815800,1,0.511100
40,2022-04-20,sz.000702,5.8500,6.0000,5.8100,5.8600,5.9000,13357811,78682655.9700,3,5.009800,1,-0.678000
41,2022-04-21,sz.000702,5.9100,6.0500,5.5500,5.6300,5.8600,13107100,75599499.0000,3,4.915800,1,-3.924900
42,2022-04-22,sz.000702,5.5300,5.6200,5.3400,5.4400,5.6300,10488406,56930190.4000,3,3.933600,1,-3.374800
43,2022-04-25,sz.000702,5.3800,5.3800,4.9000,4.9000,5.4400,11953585,61312598.1800,3,4.483100,1,-9.926500
44,2022-04-26,sz.000702,4.8100,4.9400,4.4100,4.4600,4.9000,13302900,61749189.0000,3,4.989200,1,-8.979600
45,2022-04-27,sz.000702,4.4100,4.4700,4.2300,4.4700,4.4600,12097100,52603393.0000,3,4.537000,1,0.224200
