,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000710,16.7600,17.6100,16.7600,17.5600,16.7000,8864258,153490057.4100,3,2.977500,1,5.149700
1,2022-02-22,sz.000710,17.5600,17.5600,16.9600,17.0400,17.5600,7016180,120642107.5600,3,2.356700,1,-2.961300
2,2022-02-23,sz.000710,17.0800,18.4000,17.0800,17.6900,17.0400,10195848,180932401.4600,3,3.424800,1,3.814600
3,2022-02-24,sz.000710,17.5600,17.7400,16.4600,16.7300,17.6900,10559342,181105952.1800,3,3.546900,1,-5.426800
4,2022-02-25,sz.000710,16.9500,17.5000,16.9000,16.9800,16.7300,5524794,94306398.1500,3,1.855800,1,1.494300
5,2022-02-28,sz.000710,16.8800,17.3000,16.6900,17.1800,16.9800,6112109,104065882.0000,3,2.053100,1,1.177900
6,2022-03-01,sz.000710,17.1900,17.2500,16.9000,17.0800,17.1800,4104900,69898929.0000,3,1.378800,1,-0.582100
7,2022-03-02,sz.000710,16.9200,17.1900,16.7500,17.1100,17.0800,4628881,78659972.0000,3,1.554800,1,0.175600
8,2022-03-03,sz.000710,17.2500,17.4500,16.9800,17.0000,17.1100,5301039,91005885.0000,3,1.780600,1,-0.642900
9,2022-03-04,sz.000710,16.9000,18.7000,16.9000,18.7000,17.0000,19805965,364879488.0000,3,6.652800,1,10.000000
10,2022-03-07,sz.000710,18.7100,19.7800,18.5100,19.2200,18.7000,42162013,812243072.0000,3,14.162200,1,2.780700
11,2022-03-08,sz.000710,18.5500,18.5600,17.3000,17.3000,19.2200,24826877,440650480.0000,3,8.339300,1,-9.989600
12,2022-03-09,sz.000710,17.1100,17.3500,15.6900,16.3800,17.3000,20039308,330993184.0000,3,6.731200,1,-5.317900
13,2022-03-10,sz.000710,16.6700,17.0800,16.5900,16.8800,16.3800,14984809,252360918.0000,3,5.033400,1,3.052500
14,2022-03-11,sz.000710,16.6100,18.5700,16.3800,18.5700,16.8800,25038069,445773728.0000,3,8.410300,1,10.011800
15,2022-03-14,sz.000710,19.2000,19.7800,18.6800,18.6800,18.5700,35728070,685589728.0000,3,12.001000,1,0.592400
16,2022-03-15,sz.000710,18.1000,19.1000,18.0300,18.4800,18.6800,22347937,417082080.0000,3,7.506700,1,-1.070700
17,2022-03-16,sz.000710,18.6600,18.8300,17.3800,18.2700,18.4800,21571919,388160496.0000,3,7.246000,1,-1.136400
18,2022-03-17,sz.000710,18.2000,19.4900,17.9200,18.7800,18.2700,23111370,432581024.0000,3,7.763100,1,2.791500
19,2022-03-18,sz.000710,18.7800,18.7800,18.2500,18.6700,18.7800,13520546,250752580.8400,3,4.541500,1,-0.585700
20,2022-03-21,sz.000710,18.6700,19.0000,18.0600,18.5400,18.6700,15151942,279625616.9600,3,5.089500,1,-0.696300
21,2022-03-22,sz.000710,18.3400,18.3900,17.8100,18.0500,18.5400,11807863,213565674.4100,3,3.966300,1,-2.642900
22,2022-03-23,sz.000710,18.0500,18.1600,17.4500,17.5100,18.0500,12924870,230342823.7900,3,4.341500,1,-2.991700
23,2022-03-24,sz.000710,17.1500,17.4800,16.8400,17.2400,17.5100,11522956,197758991.2700,3,3.870600,1,-1.542000
24,2022-03-25,sz.000710,17.2100,17.3600,16.8100,16.8200,17.2400,9667995,165292467.6800,3,3.247500,1,-2.436200
25,2022-03-28,sz.000710,16.8200,17.1300,16.5600,16.7400,16.8200,7777601,130630381.6800,3,2.612500,1,-0.475600
26,2022-03-29,sz.000710,16.7700,17.5500,16.7700,17.1900,16.7400,9863102,169892281.3800,3,3.313000,1,2.688200
27,2022-03-30,sz.000710,17.1000,17.3100,16.7100,17.2000,17.1900,7510363,127909876.7100,3,2.522700,1,0.058200
28,2022-03-31,sz.000710,17.1000,17.4700,16.8700,16.9600,17.2000,7610163,130392032.7300,3,2.556200,1,-1.395300
29,2022-04-01,sz.000710,16.8700,16.8700,16.3900,16.4000,16.9600,8171409,135264614.7300,3,2.744800,1,-3.301900
30,2022-04-06,sz.000710,16.3800,16.8400,16.2200,16.7400,16.4000,5955285,99295574.8600,3,2.000400,1,2.073200
31,2022-04-07,sz.000710,16.5200,16.6800,16.0200,16.0400,16.7400,7370562,119982157.9400,3,2.475800,1,-4.181600
32,2022-04-08,sz.000710,16.0600,16.2000,15.5600,15.7300,16.0400,7087935,111803262.3000,3,2.380800,1,-1.932700
33,2022-04-11,sz.000710,15.6100,15.6900,14.7600,14.9000,15.7300,7801100,118649425.0000,3,2.620400,1,-5.276500
34,2022-04-12,sz.000710,14.9100,15.3900,14.8800,15.3800,14.9000,6170083,93496565.8700,3,2.072500,1,3.221500
35,2022-04-13,sz.000710,15.2000,16.9200,15.0200,16.9200,15.3800,13462929,218551604.9800,3,4.522200,1,10.013000
36,2022-04-14,sz.000710,17.3000,18.6100,16.9800,18.6100,16.9200,41412538,752825943.7400,3,13.910400,1,9.988200
37,2022-04-15,sz.000710,18.2300,18.6500,17.5900,17.6700,18.6100,38697397,697313552.9400,3,12.998400,1,-5.051000
38,2022-04-18,sz.000710,17.1900,18.3200,17.0200,17.9500,17.6700,26718297,474532442.8000,3,8.974700,1,1.584600
39,2022-04-19,sz.000710,17.7000,18.7700,17.6000,18.0200,17.9500,23759285,431518898.5000,3,7.980700,1,0.390000
