,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000713,9.8900,10.3500,9.8600,10.1900,10.0000,61979850,627697501.4200,3,10.094200,1,1.900000
1,2022-02-22,sz.000713,10.0200,10.2000,9.9200,10.0700,10.1900,44026693,442948038.7800,3,7.170300,1,-1.177600
2,2022-02-23,sz.000713,10.2000,10.3000,9.4900,9.6500,10.0700,76732300,753523481.5900,3,12.496800,1,-4.170800
3,2022-02-24,sz.000713,9.4900,10.3500,9.4600,9.9400,9.6500,88428780,870191132.6700,3,14.401700,1,3.005200
4,2022-02-25,sz.000713,9.6300,9.7700,9.5000,9.6800,9.9400,45170474,435762957.7200,3,7.356600,1,-2.615700
5,2022-02-28,sz.000713,9.6600,9.8800,9.5300,9.6500,9.6800,26455792,256084377.0000,3,4.308700,1,-0.309900
6,2022-03-01,sz.000713,9.6200,9.7700,9.5200,9.6700,9.6500,24338611,234679237.0000,3,3.963800,1,0.207300
7,2022-03-02,sz.000713,9.7600,10.0900,9.6800,9.9200,9.6700,52260258,517789328.0000,3,8.511200,1,2.585300
8,2022-03-03,sz.000713,9.9100,10.3100,9.7600,10.1700,9.9200,67244953,677259936.0000,3,10.951700,1,2.520200
9,2022-03-04,sz.000713,10.1000,10.2200,9.8600,10.0100,10.1700,47225467,472172992.0000,3,7.691300,1,-1.573300
10,2022-03-07,sz.000713,10.1600,10.1900,9.6400,9.8100,10.0100,43259238,429054928.0000,3,7.045300,1,-1.998000
11,2022-03-08,sz.000713,9.6900,9.7100,8.9300,9.0400,9.8100,40781702,379331616.0000,3,6.641800,1,-7.849100
12,2022-03-09,sz.000713,9.0000,9.1500,8.5000,8.9200,9.0400,33002591,292159696.0000,3,5.374900,1,-1.327400
13,2022-03-10,sz.000713,9.0000,9.0500,8.8200,8.9200,8.9200,23963291,213865599.0000,3,3.902700,1,0.000000
14,2022-03-11,sz.000713,8.8800,9.2500,8.7500,9.1700,8.9200,35760535,325628128.0000,3,5.824000,1,2.802700
15,2022-03-14,sz.000713,9.0700,9.3300,8.8800,8.8800,9.1700,26037173,237051066.0000,3,4.240500,1,-3.162500
16,2022-03-15,sz.000713,8.9800,9.0500,8.5500,8.5700,8.8800,24093601,212445016.0000,3,3.923900,1,-3.491000
17,2022-03-16,sz.000713,8.6200,8.7300,8.0800,8.6400,8.5700,29193299,246645134.0000,3,4.754500,1,0.816800
18,2022-03-17,sz.000713,8.6500,8.9300,8.5600,8.7300,8.6400,25971026,227234257.0000,3,4.229700,1,1.041700
19,2022-03-18,sz.000713,8.6300,8.8800,8.5600,8.7900,8.7300,19030157,166737729.9600,3,3.099300,1,0.687300
