,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000782,5.3900,5.4300,5.3000,5.3900,5.4000,5364100,28769239.0000,3,1.015700,1,-0.185200
1,2022-02-22,sz.000782,5.4700,5.4700,5.3100,5.3500,5.3900,4479100,23989625.0000,3,0.848100,1,-0.742100
2,2022-02-23,sz.000782,5.4000,5.4000,5.3200,5.3600,5.3500,3475600,18585537.0000,3,0.658100,1,0.186900
3,2022-02-24,sz.000782,5.3600,5.4800,5.2000,5.3100,5.3600,11053801,59083371.4800,3,2.093000,1,-0.932800
4,2022-02-25,sz.000782,5.3200,5.4000,5.2700,5.3100,5.3100,6234000,33163537.0000,3,1.180400,1,0.000000
5,2022-02-28,sz.000782,5.2600,5.3700,5.2100,5.3600,5.3100,4813208,25547464.0000,3,0.911400,1,0.941600
6,2022-03-01,sz.000782,5.4100,5.4100,5.3200,5.3900,5.3600,3967898,21306394.0000,3,0.751300,1,0.559700
7,2022-03-02,sz.000782,5.4200,5.7000,5.4100,5.6200,5.3900,11424523,63929687.0000,3,2.163200,1,4.267200
8,2022-03-03,sz.000782,5.6300,5.7300,5.6000,5.6700,5.6200,7553700,42814138.0000,3,1.430300,1,0.889700
9,2022-03-04,sz.000782,5.7400,5.7500,5.5400,5.5600,5.6700,4911010,27486357.0000,3,0.929900,1,-1.940000
10,2022-03-07,sz.000782,5.5300,5.6400,5.5100,5.5600,5.5600,4724658,26281480.0000,3,0.894600,1,0.000000
11,2022-03-08,sz.000782,5.5600,5.6000,5.3600,5.4300,5.5600,7103967,38660169.0000,3,1.345100,1,-2.338100
12,2022-03-09,sz.000782,5.4500,5.4900,5.1200,5.3600,5.4300,9212168,48857765.0000,3,1.744300,1,-1.289100
13,2022-03-10,sz.000782,5.4500,5.5400,5.3800,5.4100,5.3600,7065736,38532381.0000,3,1.337900,1,0.932800
14,2022-03-11,sz.000782,5.3500,5.5300,5.2100,5.5100,5.4100,8467537,45580156.0000,3,1.603300,1,1.848400
15,2022-03-14,sz.000782,5.6000,5.6000,5.3500,5.3500,5.5100,7319236,39926854.0000,3,1.385900,1,-2.903800
16,2022-03-15,sz.000782,5.3100,5.3700,5.1100,5.1200,5.3500,10234900,53530722.0000,3,1.937900,1,-4.299100
17,2022-03-16,sz.000782,5.1800,5.3400,5.0700,5.2400,5.1200,6399298,33122763.0000,3,1.211700,1,2.343800
