,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000802,4.1700,4.1900,4.1300,4.1700,4.1700,1631600,6768926.0000,3,0.229400,1,0.000000
1,2022-02-22,sz.000802,4.1300,4.1600,4.0900,4.1000,4.1700,1568992,6462596.2800,3,0.220600,1,-1.678700
2,2022-02-23,sz.000802,4.0800,4.2200,4.0700,4.1800,4.1000,1841100,7662260.0000,3,0.258900,1,1.951200
3,2022-02-24,sz.000802,4.1500,4.1900,4.0700,4.0800,4.1800,1860242,7665973.0800,3,0.261600,1,-2.392300
4,2022-02-25,sz.000802,4.1100,4.1300,4.0800,4.0900,4.0800,808300,3316325.0000,3,0.113700,1,0.245100
5,2022-02-28,sz.000802,4.0800,4.0800,4.0100,4.0500,4.0900,1432100,5783079.0000,3,0.201400,1,-0.978000
6,2022-03-01,sz.000802,4.0400,4.0700,4.0200,4.0500,4.0500,1510404,6104788.0000,3,0.212400,1,0.000000
7,2022-03-02,sz.000802,4.0400,4.1200,4.0300,4.0600,4.0500,1152104,4683588.0000,3,0.162000,1,0.246900
8,2022-03-03,sz.000802,4.0700,4.0900,4.0600,4.0700,4.0600,638000,2595620.0000,3,0.089700,1,0.246300
9,2022-03-04,sz.000802,4.0800,4.0800,4.0100,4.0200,4.0700,1086700,4383478.0000,3,0.152800,1,-1.228500
10,2022-03-07,sz.000802,4.0200,4.0200,3.8900,3.9000,4.0200,2039100,8056252.0000,3,0.286700,1,-2.985100
11,2022-03-08,sz.000802,3.9000,3.9300,3.7800,3.8100,3.9000,1791642,6891975.0000,3,0.251900,1,-2.307700
12,2022-03-09,sz.000802,3.8100,3.8400,3.6200,3.7200,3.8100,2525002,9369625.0000,3,0.355000,1,-2.362200
13,2022-03-10,sz.000802,3.7400,3.8200,3.7400,3.7700,3.7200,1059500,4007217.0000,3,0.149000,1,1.344100
14,2022-03-11,sz.000802,3.7600,3.7800,3.6900,3.7800,3.7700,832200,3100306.0000,3,0.117000,1,0.265300
15,2022-03-14,sz.000802,3.8000,3.9700,3.8000,3.9700,3.7800,4747141,18744605.0000,3,0.667500,1,5.026500
16,2022-03-15,sz.000802,3.9800,3.9900,3.8000,3.8200,3.9700,2905386,11259079.0000,3,0.408500,1,-3.778300
17,2022-03-16,sz.000802,3.7800,4.0100,3.7800,4.0000,3.8200,3823008,15112322.0000,3,0.537500,1,4.712000
18,2022-03-17,sz.000802,3.9700,4.0300,3.9400,4.0000,4.0000,2828442,11268159.0000,3,0.397700,1,0.000000
19,2022-03-18,sz.000802,3.9700,4.0400,3.9400,4.0400,4.0000,1827502,7319051.9800,3,0.257000,1,1.000000
20,2022-03-21,sz.000802,4.0700,4.0800,3.9800,4.0000,4.0400,1439700,5780239.0000,3,0.202400,1,-0.990100
21,2022-03-22,sz.000802,4.0100,4.1900,3.9700,4.1100,4.0000,4114496,16879444.2200,3,0.578500,1,2.750000
22,2022-03-23,sz.000802,4.1100,4.2000,4.1100,4.1600,4.1100,1767479,7341072.2700,3,0.248500,1,1.216500
23,2022-03-24,sz.000802,4.1400,4.1400,4.0300,4.0500,4.1600,1114110,4547431.9000,3,0.156700,1,-2.644200
24,2022-03-25,sz.000802,4.0500,4.0800,4.0000,4.0000,4.0500,929600,3738880.0000,3,0.130700,1,-1.234600
25,2022-03-28,sz.000802,4.0000,4.0400,3.9400,4.0100,4.0000,901100,3594395.0000,3,0.126700,1,0.250000
26,2022-03-29,sz.000802,4.0000,4.0300,3.9800,3.9800,4.0100,705900,2820211.0000,3,0.099300,1,-0.748100
27,2022-03-30,sz.000802,3.9800,4.0300,3.9800,3.9900,3.9800,783700,3134280.0000,3,0.110200,1,0.251300
28,2022-03-31,sz.000802,4.0200,4.0700,3.9800,4.0300,3.9900,1339916,5389301.8400,3,0.188400,1,1.002500
29,2022-04-01,sz.000802,4.0000,4.1200,4.0000,4.0700,4.0300,1541900,6292621.0000,3,0.216800,1,0.992600
30,2022-04-06,sz.000802,4.0600,4.1500,4.0600,4.1300,4.0700,1138131,4678176.1000,3,0.160000,1,1.474200
31,2022-04-07,sz.000802,4.1200,4.2000,4.0300,4.0300,4.1300,1935900,7934138.0000,3,0.272200,1,-2.421300
32,2022-04-08,sz.000802,4.0100,4.0500,3.9800,3.9900,4.0300,1221400,4888768.3800,3,0.171700,1,-0.992600
33,2022-04-11,sz.000802,3.9900,4.0000,3.7900,3.8400,3.9900,2359400,9175140.0000,3,0.331700,1,-3.759400
34,2022-04-12,sz.000802,3.8200,3.9800,3.8200,3.9500,3.8400,807800,3136838.0000,3,0.113600,1,2.864600
35,2022-04-13,sz.000802,3.9400,3.9700,3.9000,3.9100,3.9500,1008300,3953995.0000,3,0.141800,1,-1.012700
36,2022-04-14,sz.000802,3.9000,3.9500,3.8800,3.8900,3.9100,924000,3617344.0000,3,0.129900,1,-0.511500
37,2022-04-15,sz.000802,3.8800,3.9200,3.8000,3.8600,3.8900,762600,2956151.0000,3,0.107200,1,-0.771200
38,2022-04-18,sz.000802,3.8100,3.8700,3.8000,3.8500,3.8600,672500,2580995.0000,3,0.094600,1,-0.259100
39,2022-04-19,sz.000802,3.8800,3.9000,3.8500,3.8800,3.8500,385800,1495108.0000,3,0.054200,1,0.779200
40,2022-04-20,sz.000802,3.8800,3.9700,3.8500,3.8900,3.8800,800000,3134929.0000,3,0.112500,1,0.257700
41,2022-04-21,sz.000802,3.8500,3.8900,3.7400,3.7500,3.8900,1338819,5094350.2500,3,0.188200,1,-3.599000
42,2022-04-22,sz.000802,3.7600,3.7900,3.7100,3.7700,3.7500,776000,2908835.0000,3,0.109100,1,0.533300
43,2022-04-25,sz.000802,3.7500,3.7500,3.5800,3.5800,3.7700,1280900,4665397.0000,3,0.180100,1,-5.039800
44,2022-04-26,sz.000802,3.5800,3.5800,3.4000,3.4000,3.5800,1948400,6702538.0000,3,0.274000,1,-5.027900
45,2022-04-27,sz.000802,3.4300,3.4300,3.2600,3.4100,3.4000,2045448,6845493.8600,3,0.287800,1,0.294100
46,2022-04-28,sz.000802,3.3900,3.4200,3.2900,3.3200,3.4100,1696802,5661514.6000,3,0.238700,1,-2.639300
47,2022-04-29,sz.000802,3.3200,3.4300,3.3100,3.4000,3.3200,1600655,5404447.3500,3,0.225200,1,2.409600
48,2022-05-05,sz.000802,3.3800,3.4800,3.3500,3.4700,3.4000,1411200,4814573.0000,3,0.198600,1,2.058800
49,2022-05-06,sz.000802,3.4300,3.5900,3.4200,3.4600,3.4700,942900,3276830.0000,3,0.132700,1,-0.288200
50,2022-05-09,sz.000802,3.4200,3.5800,3.3600,3.5200,3.4600,1283200,4512407.0000,3,0.180500,1,1.734100
51,2022-05-10,sz.000802,3.5000,3.5700,3.4800,3.5400,3.5200,541802,1909704.0200,3,0.076200,1,0.568200
52,2022-05-11,sz.000802,3.5400,3.5800,3.4900,3.5500,3.5400,1429502,5070790.9600,3,0.201100,1,0.282500
53,2022-05-12,sz.000802,3.5500,3.5600,3.4600,3.4600,3.5500,1092200,3819773.0000,3,0.153700,1,-2.535200
54,2022-05-13,sz.000802,3.4700,3.5200,3.4400,3.5100,3.4600,1166200,4065225.0000,3,0.164100,1,1.445100
55,2022-05-16,sz.000802,3.5300,3.5800,3.5100,3.5400,3.5100,930500,3295431.0000,3,0.130900,1,0.854700
56,2022-05-17,sz.000802,3.5400,3.5400,3.4400,3.5200,3.5400,702200,2447508.0000,3,0.098800,1,-0.565000
57,2022-05-18,sz.000802,3.5000,3.5400,3.4800,3.5300,3.5200,652400,2293987.0000,3,0.091800,1,0.284100
58,2022-05-19,sz.000802,3.4900,3.6800,3.4900,3.5800,3.5300,1350502,4828576.2000,3,0.190000,1,1.416400
59,2022-05-20,sz.000802,3.5800,3.7200,3.5800,3.7100,3.5800,2158404,7891996.7000,3,0.303700,1,3.631300
60,2022-05-23,sz.000802,3.7200,3.8300,3.7200,3.7900,3.7100,1863301,7024065.7600,3,0.262200,1,2.156300
61,2022-05-24,sz.000802,3.7700,3.8100,3.6200,3.6200,3.7900,1592602,5914349.5000,3,0.224100,1,-4.485500
62,2022-05-25,sz.000802,3.6300,3.7300,3.6300,3.7000,3.6200,990554,3653403.1500,3,0.139400,1,2.209900
63,2022-05-26,sz.000802,3.7300,3.7300,3.6200,3.6700,3.7000,1415515,5189264.6000,3,0.199200,1,-0.810800
64,2022-05-27,sz.000802,3.6700,3.7100,3.6300,3.6700,3.6700,807400,2965472.0000,3,0.113600,1,0.000000
65,2022-05-30,sz.000802,3.6800,3.8500,3.6800,3.8500,3.6700,2413400,9242215.0000,3,0.339600,1,4.904600
66,2022-05-31,sz.000802,3.8300,4.0400,3.8100,4.0400,3.8500,3675722,14548481.3400,3,0.517200,1,4.935100
67,2022-06-01,sz.000802,4.0400,4.1600,3.9700,4.0500,4.0400,3679300,14845711.0000,3,0.517700,1,0.247500
68,2022-06-02,sz.000802,4.0600,4.1300,4.0000,4.1000,4.0500,2039400,8305833.0000,3,0.286900,1,1.234600
69,2022-06-06,sz.000802,4.0500,4.1200,4.0200,4.0500,4.1000,1279793,5191463.8600,3,0.180100,1,-1.219500
70,2022-06-07,sz.000802,4.0500,4.0500,3.9500,4.0000,4.0500,1604315,6399512.7000,3,0.225700,1,-1.234600
