,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.000815,8.0000,8.0000,8.0000,8.0000,7.2700,2176000,17408000.0000,3,0.313000,1,10.041300
1,2022-02-22,sz.000815,8.8000,8.8000,8.8000,8.8000,8.0000,3179701,27981368.8000,3,0.457300,1,10.000000
2,2022-02-23,sz.000815,9.6800,9.6800,9.6800,9.6800,8.8000,4846803,46917053.0400,3,0.697100,1,10.000000
3,2022-02-24,sz.000815,10.6500,10.6500,10.6500,10.6500,9.6800,3538839,37688635.3500,3,0.509000,1,10.020700
4,2022-02-25,sz.000815,11.7200,11.7200,11.7200,11.7200,10.6500,8728910,102302825.2000,3,1.255500,1,10.046900
5,2022-02-28,sz.000815,12.1500,12.8900,11.0100,12.8900,11.7200,232685620,2795383248.0000,3,33.467300,1,9.982900
6,2022-03-01,sz.000815,12.4000,14.1800,11.8000,14.1700,12.8900,206740139,2745105360.0000,3,29.735500,1,9.930200
7,2022-03-02,sz.000815,13.5000,14.4300,13.0000,14.1100,14.1700,173179898,2360910720.0000,3,24.908500,1,-0.423400
8,2022-03-03,sz.000815,14.2500,15.5200,14.2500,15.2000,14.1100,200864430,3086787568.0000,3,28.890400,1,7.725000
9,2022-03-04,sz.000815,15.3000,16.5000,13.6800,16.0000,15.2000,205182828,3066827040.0000,3,29.511500,1,5.263200
10,2022-03-07,sz.000815,15.1200,15.5000,14.4000,15.5000,16.0000,141436243,2098378176.0000,3,20.342800,1,-3.125000
11,2022-03-08,sz.000815,16.0500,17.0500,13.9800,13.9800,15.5000,171037355,2719021008.0000,3,24.600400,1,-9.806500
12,2022-03-09,sz.000815,14.0000,15.3800,13.2600,15.3800,13.9800,172094142,2463731040.0000,3,24.752400,1,10.014300
13,2022-03-10,sz.000815,15.9100,16.2500,14.5000,15.0300,15.3800,171081368,2625919424.0000,3,24.606700,1,-2.275700
14,2022-03-11,sz.000815,14.3200,16.5300,14.2800,16.5300,15.0300,175934309,2828109200.0000,3,25.304700,1,9.980000
15,2022-03-14,sz.000815,16.5900,18.0000,16.0000,16.3100,16.5300,179591313,3036459872.0000,3,25.830700,1,-1.330900
16,2022-03-15,sz.000815,16.1300,17.7700,14.6800,17.4200,16.3100,174565690,2871809632.0000,3,25.107900,1,6.805600
17,2022-03-16,sz.000815,17.4500,19.1600,16.7000,19.1600,17.4200,155370815,2839338464.0000,3,22.347100,1,9.988500
18,2022-03-17,sz.000815,20.1000,21.0800,19.2200,19.4100,19.1600,206504856,4264126528.0000,3,29.701700,1,1.304800
19,2022-03-18,sz.000815,18.1000,19.0900,17.4700,17.4700,19.4100,181443807,3285279180.7600,3,26.097100,1,-9.994800
20,2022-03-21,sz.000815,16.6700,17.8700,16.6700,17.2400,17.4700,122086468,2107503463.8500,3,17.559800,1,-1.316500
