,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sz.001201,38.2000,39.9000,38.0200,39.3500,38.3900,3689398,144508323.8000,3,8.321100,1,2.500700
1,2022-02-22,sz.001201,39.0900,39.9000,38.9000,39.4700,39.3500,2856257,112862589.8300,3,6.442000,1,0.305000
2,2022-02-23,sz.001201,39.9000,43.3400,39.1800,42.5400,39.4700,7292935,304822304.1800,3,16.448500,1,7.778100
3,2022-02-24,sz.001201,41.9900,42.9300,41.0100,41.9900,42.5400,4279463,180226026.0400,3,9.651900,1,-1.292900
4,2022-02-25,sz.001201,41.9900,42.7900,41.3200,41.6600,41.9900,2958142,123264080.8700,3,6.671800,1,-0.785900
5,2022-02-28,sz.001201,41.4900,42.5000,40.5100,42.0900,41.6600,3262129,136047811.0000,3,7.357400,1,1.032200
6,2022-03-01,sz.001201,42.1000,44.6200,41.2000,43.7200,42.0900,7300256,316790272.0000,3,16.465000,1,3.872700
7,2022-03-02,sz.001201,43.0800,44.1600,42.8800,43.5000,43.7200,3136657,136904446.0000,3,7.074400,1,-0.503200
8,2022-03-03,sz.001201,43.3900,43.7700,42.9000,43.1600,43.5000,1509216,65214943.0000,3,3.403900,1,-0.781600
9,2022-03-04,sz.001201,42.8400,43.5000,42.3400,42.7200,43.1600,1354476,58035648.0000,3,3.054900,1,-1.019500
10,2022-03-07,sz.001201,42.5600,43.0000,41.5500,42.3500,42.7200,1202314,50795090.0000,3,2.711700,1,-0.866100
11,2022-03-08,sz.001201,42.4300,43.5000,40.7000,40.7200,42.3500,1802428,75156992.0000,3,4.065200,1,-3.848900
12,2022-03-09,sz.001201,40.7200,41.5800,38.6000,40.4500,40.7200,1986683,79865630.0000,3,4.480800,1,-0.663100
13,2022-03-10,sz.001201,41.1400,41.1800,39.1600,39.1600,40.4500,1745037,69692134.0000,3,3.935800,1,-3.189100
14,2022-03-11,sz.001201,38.8000,41.0100,38.1200,39.6000,39.1600,2675431,105832879.0000,3,6.034200,1,1.123600
15,2022-03-14,sz.001201,39.0000,39.4800,37.2000,37.5100,39.6000,2171490,83044244.0000,3,4.897600,1,-5.277800
16,2022-03-15,sz.001201,37.0000,37.3800,34.6300,34.6800,37.5100,2451936,88226966.0000,3,5.530100,1,-7.544700
17,2022-03-16,sz.001201,35.1600,35.9900,34.3000,35.5900,34.6800,1800985,63219143.0000,3,4.061900,1,2.624000
18,2022-03-17,sz.001201,36.0000,37.8800,35.5900,37.3700,35.5900,1902555,70106694.0000,3,4.291000,1,5.001400
19,2022-03-18,sz.001201,37.6300,38.3700,36.9300,38.2000,37.3700,1357111,51431570.9300,3,3.060800,1,2.221000
20,2022-03-21,sz.001201,38.6000,40.7800,38.0500,40.4200,38.2000,2468281,97912736.4600,3,5.567000,1,5.811500
21,2022-03-22,sz.001201,40.3000,41.9000,39.8200,41.3900,40.4200,2183264,89896703.5900,3,4.924100,1,2.399800
22,2022-03-23,sz.001201,41.0800,41.7000,41.0000,41.4600,41.3900,1531404,63302514.1200,3,3.453900,1,0.169100
23,2022-03-24,sz.001201,41.0000,43.4300,40.8900,42.3900,41.4600,2446442,104169530.9200,3,5.517700,1,2.243100
24,2022-03-25,sz.001201,42.0000,44.5800,41.9500,44.0200,42.3900,3247251,142816748.5800,3,7.323900,1,3.845200
25,2022-03-28,sz.001201,43.8700,44.5600,43.0100,44.0900,44.0200,2245154,98480620.0300,3,5.063700,1,0.159000
26,2022-03-29,sz.001201,43.9100,45.1700,43.5800,44.6600,44.0900,2576779,115207214.8400,3,5.811700,1,1.292800
27,2022-03-30,sz.001201,44.1300,45.1000,44.0200,44.4200,44.6600,1668139,74382473.4000,3,3.762300,1,-0.537400
28,2022-03-31,sz.001201,44.4400,45.0400,43.5300,43.6000,44.4200,1860342,81911903.5700,3,4.195800,1,-1.846000
29,2022-04-01,sz.001201,44.3000,44.6500,43.0100,43.2500,43.6000,1392259,60869309.5700,3,3.140100,1,-0.802800
30,2022-04-06,sz.001201,43.7400,45.2000,43.0400,44.4200,43.2500,1899760,84141494.6800,3,4.284700,1,2.705200
31,2022-04-07,sz.001201,44.4200,44.7600,42.5000,42.6500,44.4200,1237964,53591792.4300,3,2.792100,1,-3.984700
32,2022-04-08,sz.001201,42.6400,42.8000,41.1800,41.4700,42.6500,1333778,55630219.4600,3,3.008200,1,-2.766700
33,2022-04-11,sz.001201,41.5300,43.0500,40.8800,41.0100,41.4700,1534762,64176748.6500,3,3.461500,1,-1.109200
34,2022-04-12,sz.001201,40.4000,41.1000,39.6800,40.7100,41.0100,1258536,50719631.6000,3,2.838500,1,-0.731500
35,2022-04-13,sz.001201,40.2400,41.1000,39.0000,39.3600,40.7100,1088460,43177279.0000,3,2.454900,1,-3.316100
36,2022-04-14,sz.001201,39.5100,40.7700,38.7700,39.5000,39.3600,1114230,44060114.4800,3,2.513000,1,0.355700
37,2022-04-15,sz.001201,39.5100,40.1500,38.6100,38.8400,39.5000,957140,37547723.0000,3,2.158700,1,-1.670900
38,2022-04-18,sz.001201,38.8400,42.7200,38.8000,42.7200,38.8400,2824608,116477058.0000,3,6.370600,1,9.989700
39,2022-04-19,sz.001201,42.7100,46.5100,41.9600,43.6400,42.7200,5195604,228133245.4000,3,11.718200,1,2.153600
40,2022-04-20,sz.001201,43.2600,44.2000,42.2000,42.6400,43.6400,2637357,114204558.8400,3,5.948300,1,-2.291500
41,2022-04-21,sz.001201,42.2900,43.6700,40.2700,40.6100,42.6400,3026603,126107925.3200,3,6.826200,1,-4.760800
42,2022-04-22,sz.001201,40.4900,41.0700,39.2200,39.5600,40.6100,1554723,62079510.9200,3,3.506500,1,-2.585600
43,2022-04-25,sz.001201,39.2800,40.9900,37.6300,37.9300,39.5600,2368976,92971490.3500,3,5.343000,1,-4.120300
44,2022-04-26,sz.001201,37.4900,38.1600,34.7000,35.1900,37.9300,3650383,132007247.9700,3,8.233100,1,-7.223800
45,2022-04-27,sz.001201,34.5000,37.5000,34.2100,37.5000,35.1900,2910164,104545025.0500,3,6.563600,1,6.564400
46,2022-04-28,sz.001201,37.3000,38.5900,36.3500,37.6000,37.5000,2038587,76293429.4700,3,4.597800,1,0.266700
47,2022-04-29,sz.001201,37.9400,38.5000,37.2300,37.5800,37.6000,2202317,83086176.2900,3,4.967100,1,-0.053200
48,2022-05-05,sz.001201,38.5000,38.5000,37.0300,37.2500,37.5800,1680532,63499161.0000,3,3.790300,1,-0.878100
49,2022-05-06,sz.001201,36.2600,37.9600,35.8800,36.8800,37.2500,1262430,46351146.3000,3,2.847300,1,-0.993300
50,2022-05-09,sz.001201,37.0100,38.6500,37.0100,38.3300,36.8800,1648485,62847769.6200,3,3.718000,1,3.931700
51,2022-05-10,sz.001201,37.7600,38.8000,37.5200,38.6500,38.3300,1617199,61915951.9100,3,3.647400,1,0.834900
52,2022-05-11,sz.001201,38.8300,39.0900,38.0400,38.1800,38.6500,1508431,58225474.0900,3,3.402100,1,-1.216000
53,2022-05-12,sz.001201,38.0200,38.8000,37.1400,37.6400,38.1800,1416179,53662420.9500,3,3.194100,1,-1.414400
54,2022-05-13,sz.001201,38.0300,38.1600,36.7300,37.1600,37.6400,1425846,53099167.4900,3,3.215900,1,-1.275200
55,2022-05-16,sz.001201,37.2700,38.3700,37.2700,37.9100,37.1600,1793866,67916599.4900,3,4.045900,1,2.018300
56,2022-05-17,sz.001201,37.9200,38.0400,37.1100,37.2400,37.9100,1213289,45403527.2300,3,2.736500,1,-1.767300
57,2022-05-18,sz.001201,37.2100,37.4300,36.6100,36.7600,37.2400,952733,35285912.8600,3,2.148800,1,-1.288900
58,2022-05-19,sz.001201,36.3500,37.1800,36.0000,36.9000,36.7600,1054426,38686033.2100,3,2.378200,1,0.380800
59,2022-05-20,sz.001201,36.9000,37.4600,36.7400,37.1700,36.9000,930811,34562367.7100,3,2.099400,1,0.731700
60,2022-05-23,sz.001201,36.9900,38.4800,36.8100,38.0400,37.1700,1649384,62342368.5000,3,3.720000,1,2.340600
61,2022-05-24,sz.001201,37.9200,38.1600,36.4300,36.4300,38.0400,1893461,70178966.9600,3,4.270500,1,-4.232400
62,2022-05-25,sz.001201,36.4400,37.2400,36.1500,37.0000,36.4300,1633602,60090287.8700,3,2.049700,1,1.564600
63,2022-05-26,sz.001201,37.0000,37.0000,34.5800,36.7400,37.0000,1278423,46566371.7100,3,1.604000,1,-0.702700
64,2022-05-27,sz.001201,36.6000,37.1400,36.2800,36.7500,36.7400,992060,36537432.7100,3,1.244700,1,0.027200
65,2022-05-30,sz.001201,36.9600,40.2000,36.7700,39.2100,36.7500,3503811,134465362.6200,3,4.396200,1,6.693900
