,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-08-18,sz.001222,16.4500,19.7400,16.4500,19.7400,13.7100,702733,13800757.4200,3,2.060800,1,43.982500
1,2022-08-19,sz.001222,21.7100,21.7100,21.7100,21.7100,19.7400,205085,4452395.3500,3,0.601400,1,9.979700
2,2022-08-22,sz.001222,23.8800,23.8800,23.8800,23.8800,21.7100,118159,2821636.9200,3,0.346500,1,9.995400
3,2022-08-23,sz.001222,26.2700,26.2700,26.2700,26.2700,23.8800,132475,3480118.2500,3,0.388500,1,10.008400
4,2022-08-24,sz.001222,28.9000,28.9000,28.9000,28.9000,26.2700,433181,12518930.9000,3,1.270300,1,10.011400
5,2022-08-25,sz.001222,31.7900,31.7900,31.7900,31.7900,28.9000,309357,9834459.0300,3,0.907200,1,10.000000
6,2022-08-26,sz.001222,34.9700,34.9700,34.9700,34.9700,31.7900,3402289,118978046.3300,3,9.977400,1,10.003100
7,2022-08-29,sz.001222,38.4700,38.4700,38.4700,38.4700,34.9700,1286225,49481075.7500,3,3.771900,1,10.008600
8,2022-08-30,sz.001222,40.2000,42.3200,40.1000,42.3200,38.4700,12456998,513887826.6300,3,36.530800,1,10.007800
9,2022-08-31,sz.001222,43.7000,46.5500,41.3000,46.5500,42.3200,24533243,1080338107.7600,3,71.945000,1,9.995300
10,2022-09-01,sz.001222,43.0000,43.6500,41.9000,41.9400,46.5500,11649460,489989970.7400,3,34.162600,1,-9.903300
11,2022-09-02,sz.001222,41.2000,41.9600,37.7500,37.7500,41.9400,17181568,672205866.9600,3,50.385800,1,-9.990500
12,2022-09-05,sz.001222,37.0100,38.7700,37.0100,38.3200,37.7500,11124951,421677590.3300,3,32.624500,1,1.509900
13,2022-09-06,sz.001222,37.6500,37.9600,34.6500,35.8500,38.3200,13519435,483639782.7800,3,39.646400,1,-6.445700
14,2022-09-07,sz.001222,35.8400,36.6300,35.1100,35.4100,35.8500,10473283,374472755.8900,3,30.713400,1,-1.227300
15,2022-09-08,sz.001222,35.0000,36.1000,33.7800,33.8300,35.4100,10747428,375775163.3300,3,31.517400,1,-4.462000
16,2022-09-09,sz.001222,33.7100,34.2500,32.7000,32.8600,33.8300,7003887,232723870.7400,3,20.539300,1,-2.867300
17,2022-09-13,sz.001222,32.6600,34.9800,32.6600,33.9400,32.8600,9326195,315909860.2800,3,27.349500,1,3.286700
18,2022-09-14,sz.001222,33.0200,34.8800,33.0100,34.5300,33.9400,8417541,288045412.2400,3,24.684900,1,1.738400
19,2022-09-15,sz.001222,34.3000,34.5000,31.0800,31.0800,34.5300,9654318,310118933.9000,3,28.311800,1,-9.991300
20,2022-09-16,sz.001222,31.4000,32.1800,31.0300,31.5800,31.0800,6204576,196177470.5200,3,18.195200,1,1.608800
21,2022-09-19,sz.001222,30.6600,31.2600,29.2000,30.7100,31.5800,4266224,130064256.0900,3,12.510900,1,-2.754900
22,2022-09-20,sz.001222,31.1300,31.8700,30.9400,31.4800,30.7100,4430535,139225767.3400,3,12.992800,1,2.507300
23,2022-09-21,sz.001222,31.2600,33.1800,31.1100,31.7700,31.4800,6528510,211824301.5300,3,19.145200,1,0.921200
24,2022-09-22,sz.001222,31.9800,34.9500,31.9800,34.9500,31.7700,5159214,175904328.0300,3,15.129700,1,10.009400
25,2022-09-23,sz.001222,36.0100,36.0100,33.3400,33.7700,34.9500,14040208,483435559.1900,3,41.173600,1,-3.376300
26,2022-09-26,sz.001222,33.3000,34.5200,32.3600,33.1600,33.7700,8000856,266819932.9200,3,23.462900,1,-1.806300
27,2022-09-27,sz.001222,33.1600,36.4800,32.6000,34.9000,33.1600,13950793,489313460.2900,3,40.911400,1,5.247300
28,2022-09-28,sz.001222,35.0400,36.7700,34.2100,35.0000,34.9000,12216175,433056755.9800,3,35.824600,1,0.286500
29,2022-09-29,sz.001222,33.7900,35.1800,31.5000,31.5000,35.0000,10641526,350471256.4100,3,31.206800,1,-10.000000
30,2022-09-30,sz.001222,30.0000,30.4800,28.5800,28.5800,31.5000,8963797,264952279.9800,3,26.286800,1,-9.269800
31,2022-10-10,sz.001222,29.4800,30.3300,29.0800,29.2800,28.5800,5871428,174121492.6200,3,17.218300,1,2.449300
32,2022-10-11,sz.001222,29.3800,30.6100,28.7200,30.5900,29.2800,4423521,131418644.8900,3,12.972200,1,4.474000
33,2022-10-12,sz.001222,30.5000,31.7400,29.7100,31.3400,30.5900,4679683,144424885.2500,3,13.723400,1,2.451800
34,2022-10-13,sz.001222,30.9100,33.2900,30.7000,32.7300,31.3400,4649889,149742714.1100,3,13.636000,1,4.435200
35,2022-10-14,sz.001222,33.0800,33.0800,32.0100,32.3500,32.7300,3777015,122916518.4000,3,11.076300,1,-1.161000
36,2022-10-17,sz.001222,32.2400,32.9000,31.6000,32.4400,32.3500,3329760,107304651.2800,3,9.764700,1,0.278200
37,2022-10-18,sz.001222,32.5000,32.5000,31.0000,31.0500,32.4400,4414638,138669921.7400,3,12.946200,1,-4.284800
38,2022-10-19,sz.001222,31.0000,31.3600,29.8100,29.8800,31.0500,3604315,109260208.7800,3,10.569800,1,-3.768100
39,2022-10-20,sz.001222,29.9900,32.8700,29.8900,32.8700,29.8800,3249872,104186293.1800,3,9.530400,1,10.006700
40,2022-10-21,sz.001222,32.8000,33.3000,30.0000,31.0800,32.8700,8712154,274267100.2500,3,25.548800,1,-5.445700
41,2022-10-24,sz.001222,30.9900,32.0100,30.1800,30.4000,31.0800,5492041,169821787.5100,3,16.105700,1,-2.187900
42,2022-10-25,sz.001222,30.8400,30.9900,28.1000,29.1100,30.4000,5556706,161099610.3700,3,16.295300,1,-4.243400
43,2022-10-26,sz.001222,29.1200,29.9300,28.9900,29.3000,29.1100,3921829,115565865.0700,3,11.501000,1,0.652700
44,2022-10-27,sz.001222,29.0200,29.3300,28.3900,28.4100,29.3000,3703938,106565907.4200,3,10.862000,1,-3.037500
45,2022-10-28,sz.001222,27.2900,27.2900,25.8500,26.0100,28.4100,5430797,142664051.1000,3,15.926100,1,-8.447700
46,2022-10-31,sz.001222,25.4900,26.9400,25.4900,26.3400,26.0100,3451945,91512764.7800,3,10.123000,1,1.268700
47,2022-11-01,sz.001222,26.3500,26.9500,26.2500,26.9100,26.3400,3001216,79902922.3700,3,8.801200,1,2.164000
48,2022-11-02,sz.001222,26.7400,27.4500,26.6900,27.4000,26.9100,3337389,90424635.6900,3,9.787100,1,1.820900
49,2022-11-03,sz.001222,27.4100,27.4100,26.6600,27.1700,27.4000,2813400,76081669.5300,3,8.250400,1,-0.839400
50,2022-11-04,sz.001222,27.1700,27.6400,27.0000,27.5300,27.1700,2770895,75952849.4200,3,8.125800,1,1.325000
51,2022-11-07,sz.001222,27.2500,28.2700,27.2500,28.1400,27.5300,3447566,96150195.9800,3,10.110200,1,2.215800
52,2022-11-08,sz.001222,28.0200,28.2800,27.6800,27.9600,28.1400,2178329,60865364.5700,3,6.388100,1,-0.639700
53,2022-11-09,sz.001222,27.8100,28.3700,27.7200,27.9100,27.9600,2037897,57133107.7300,3,5.976200,1,-0.178800
54,2022-11-10,sz.001222,27.8000,28.2600,27.6100,28.0000,27.9100,1948834,54469117.0700,3,5.715100,1,0.322500
55,2022-11-11,sz.001222,28.3800,28.5000,27.6800,27.6900,28.0000,2632831,73719882.2300,3,7.720900,1,-1.107100
56,2022-11-14,sz.001222,27.6900,28.4700,27.2000,28.2200,27.6900,2770707,77618851.1900,3,8.125200,1,1.914000
57,2022-11-15,sz.001222,27.9300,28.7000,27.8800,28.5500,28.2200,2720677,77176851.7200,3,7.978500,1,1.169400
58,2022-11-16,sz.001222,28.5800,29.5500,28.4000,28.7600,28.5500,3189500,92043404.4800,3,9.353400,1,0.735600
59,2022-11-17,sz.001222,28.6900,28.7700,27.9600,28.3100,28.7600,2141869,60447258.0800,3,6.281100,1,-1.564700
60,2022-11-18,sz.001222,28.3200,29.1500,27.7700,27.7900,28.3100,2620296,74205583.6900,3,7.684200,1,-1.836800
