,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2023-02-16,sz.001260,17.1200,20.5500,17.1200,20.5500,14.2700,956091,19589843.0500,3,3.325500,1,44.008400
1,2023-02-17,sz.001260,22.6100,22.6100,22.6100,22.6100,20.5500,220626,4988353.8600,3,0.767400,1,10.024300
2,2023-02-20,sz.001260,24.8700,24.8700,24.8700,24.8700,22.6100,385970,9599073.9000,3,1.342500,1,9.995600
3,2023-02-21,sz.001260,27.3600,27.3600,27.3600,27.3600,24.8700,4978309,136206534.2400,3,17.315900,1,10.012100
4,2023-02-22,sz.001260,28.1000,30.1000,28.1000,30.1000,27.3600,10566182,310432146.9100,3,36.751900,1,10.014600
5,2023-02-23,sz.001260,33.1100,33.1100,32.5800,33.1100,30.1000,5492719,181820397.7400,3,19.105100,1,10.000000
6,2023-02-24,sz.001260,31.4500,36.4200,31.4500,36.4200,33.1100,11367425,399763784.8100,3,39.538900,1,9.997000
7,2023-02-27,sz.001260,35.6900,38.5000,32.7800,33.4500,36.4200,22214186,767778670.3100,3,77.266700,1,-8.154900
8,2023-02-28,sz.001260,30.1200,31.5500,30.1100,30.1200,33.4500,17524560,532431957.9400,3,60.955000,1,-9.955200
9,2023-03-01,sz.001260,29.9000,30.1200,28.8300,29.4600,30.1200,13736740,403026106.1600,3,47.780000,1,-2.191200
10,2023-03-02,sz.001260,29.1700,29.3800,28.5900,28.6100,29.4600,9446487,272766244.0500,3,32.857300,1,-2.885300
11,2023-03-03,sz.001260,28.5500,28.8600,28.2000,28.3300,28.6100,6530117,185658958.0700,3,22.713500,1,-0.978700
12,2023-03-06,sz.001260,28.4900,29.3000,28.1200,29.1500,28.3300,9539462,274003607.1900,3,33.180700,1,2.894500
13,2023-03-07,sz.001260,28.8800,29.2000,27.3900,28.7100,29.1500,10404509,294757392.7200,3,36.189600,1,-1.509400
