,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-06-30,sz.001268,23.1000,27.7200,23.1000,27.7200,19.2500,615837,17005830.7400,3,2.282300,1,44.000000
1,2022-07-01,sz.001268,30.4900,30.4900,30.4900,30.4900,27.7200,159476,4862423.2400,3,0.591000,1,9.992800
2,2022-07-04,sz.001268,33.5400,33.5400,33.5400,33.5400,30.4900,91762,3077697.4800,3,0.340100,1,10.003300
3,2022-07-05,sz.001268,36.8900,36.8900,36.8900,36.8900,33.5400,108566,4004999.7400,3,0.402300,1,9.988100
4,2022-07-06,sz.001268,40.5800,40.5800,40.5800,40.5800,36.8900,591908,24019626.6400,3,2.193600,1,10.002700
5,2022-07-07,sz.001268,44.4900,44.4900,36.5200,37.2100,40.5800,17584765,680285771.0000,3,65.169000,1,-8.304600
6,2022-07-08,sz.001268,33.4900,34.2100,33.4900,33.4900,37.2100,7148924,239673919.1600,3,26.493800,1,-9.997300
7,2022-07-11,sz.001268,31.0000,31.6800,30.1400,30.1400,33.4900,8938785,272328747.2900,3,33.127100,1,-10.003000
8,2022-07-12,sz.001268,29.4000,30.8000,29.4000,29.6800,30.1400,5893337,177210820.4000,3,21.840700,1,-1.526200
9,2022-07-13,sz.001268,29.4500,30.5800,28.6000,30.4900,29.6800,7270788,215522445.5100,3,26.945500,1,2.729100
10,2022-07-14,sz.001268,30.5500,31.1200,29.7000,29.7200,30.4900,5770437,174329801.4800,3,21.385200,1,-2.525400
11,2022-07-15,sz.001268,28.9300,30.5900,28.8000,29.7000,29.7200,5337923,158046964.6300,3,19.782300,1,-0.067300
12,2022-07-18,sz.001268,30.0100,30.5500,29.4300,29.8800,29.7000,4104727,122642084.5500,3,15.212100,1,0.606100
13,2022-07-19,sz.001268,30.0000,30.7000,29.6000,30.4700,29.8800,5887810,178097728.0600,3,21.820200,1,1.974600
