,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-10-19,sz.001300,13.4000,16.0800,13.4000,16.0800,11.1700,2605996,41710406.5400,3,4.276100,1,43.957000
1,2022-10-20,sz.001300,17.6900,17.6900,17.6900,17.6900,16.0800,437023,7730936.8700,3,0.717100,1,10.012400
2,2022-10-21,sz.001300,19.4600,19.4600,19.4600,19.4600,17.6900,454161,8837973.0600,3,0.745200,1,10.005700
3,2022-10-24,sz.001300,21.4100,21.4100,21.4100,21.4100,19.4600,2012511,43087860.5100,3,3.302200,1,10.020600
4,2022-10-25,sz.001300,21.4100,23.5500,21.3800,23.5500,21.4100,43202845,977807993.1700,3,70.889400,1,9.995300
5,2022-10-26,sz.001300,21.8600,22.4900,21.2000,21.2000,23.5500,27843246,599456461.3300,3,45.686600,1,-9.978800
6,2022-10-27,sz.001300,19.0800,19.5800,19.0800,19.0800,21.2000,12214300,233087687.4500,3,20.041800,1,-10.000000
7,2022-10-28,sz.001300,19.1000,20.9900,17.6800,20.9900,19.0800,33652759,648807505.6100,3,55.219200,1,10.010500
8,2022-10-31,sz.001300,19.9900,20.5000,18.8900,18.9100,20.9900,24798159,486101931.3400,3,40.690100,1,-9.909500
9,2022-11-01,sz.001300,19.1100,19.5800,18.1800,19.1100,18.9100,20610133,388061621.8100,3,33.818200,1,1.057600
10,2022-11-02,sz.001300,18.7000,19.5000,18.5100,18.7500,19.1100,17574154,332780972.7600,3,28.836600,1,-1.883800
11,2022-11-03,sz.001300,18.2700,20.4500,18.0000,18.7600,18.7500,28576389,544668646.5700,3,46.889600,1,0.053300
12,2022-11-04,sz.001300,18.3300,18.9500,18.0100,18.3700,18.7600,20946674,386254341.0000,3,34.370400,1,-2.078900
13,2022-11-07,sz.001300,18.3000,19.6800,18.2100,19.1200,18.3700,27570534,525074147.4200,3,45.239100,1,4.082700
14,2022-11-08,sz.001300,19.2200,19.5800,18.6000,18.8000,19.1200,22384375,426021315.3100,3,36.729400,1,-1.673600
15,2022-11-09,sz.001300,18.5000,20.6800,18.4500,20.6800,18.8000,32761015,644647699.2900,3,53.756000,1,10.000000
16,2022-11-10,sz.001300,20.2200,20.6600,19.6400,19.8500,20.6800,28008504,562631655.2000,3,45.957800,1,-4.013500
17,2022-11-11,sz.001300,19.9000,20.5800,19.2000,19.3100,19.8500,24107114,477626193.4200,3,39.556200,1,-2.720400
18,2022-11-14,sz.001300,18.9100,21.2400,18.6500,20.3600,19.3100,37450888,760515886.8800,3,61.451300,1,5.437600
19,2022-11-15,sz.001300,19.4600,19.9500,19.3700,19.8000,20.3600,22276088,438352650.5600,3,36.551700,1,-2.750500
20,2022-11-16,sz.001300,19.6500,21.7000,19.5100,20.4600,19.8000,28878256,593130319.3200,3,47.384900,1,3.333300
21,2022-11-17,sz.001300,20.0000,20.2800,19.3400,19.6800,20.4600,20180083,398010970.6200,3,33.112500,1,-3.812300
22,2022-11-18,sz.001300,19.5500,19.7700,18.5500,18.6800,19.6800,18320696,348047320.8700,3,30.061500,1,-5.081300
23,2022-11-21,sz.001300,18.5000,18.5000,17.2100,17.6100,18.6800,16316781,288579639.1800,3,26.773400,1,-5.728100
24,2022-11-22,sz.001300,17.4300,18.1800,17.4200,17.7000,17.6100,11745457,208709068.8800,3,19.272500,1,0.511100
