,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2023-11-03,sz.001376,38.0000,49.4000,27.0100,38.9000,4.5600,38848837,1389924148.8200,3,84.289100,1,753.070200
1,2023-11-06,sz.001376,35.0100,36.8500,32.8000,34.9900,38.9000,31243478,1071712362.4800,3,67.788000,1,-10.051400
2,2023-11-07,sz.001376,33.8000,34.5000,31.7100,31.8200,34.9900,25305534,824622025.2900,3,54.904600,1,-9.059700
3,2023-11-08,sz.001376,31.8000,33.2200,30.0500,31.0800,31.8200,23288907,739382800.2800,3,50.529200,1,-2.325600
4,2023-11-09,sz.001376,29.8000,32.3200,28.8100,28.8200,31.0800,24474505,744626355.7200,3,53.101600,1,-7.271600
5,2023-11-10,sz.001376,28.0000,28.3900,26.6800,27.2900,28.8200,18267969,502257161.4200,3,39.635400,1,-5.308800
6,2023-11-13,sz.001376,27.5000,27.6900,26.8000,27.2400,27.2900,12837140,348726937.5300,3,27.852300,1,-0.183200
7,2023-11-14,sz.001376,27.0300,27.2000,26.0200,26.0400,27.2400,14023582,371186130.8300,3,30.426500,1,-4.405300
8,2023-11-15,sz.001376,26.1800,26.5700,25.6100,26.4700,26.0400,13111766,343604252.4000,3,28.448200,1,1.651300
9,2023-11-16,sz.001376,26.2000,26.5900,25.8200,25.8300,26.4700,9753867,255051329.7700,3,21.162700,1,-2.417800
10,2023-11-17,sz.001376,26.5000,26.6000,26.0200,26.1300,25.8300,8161834,214663542.2400,3,17.708500,1,1.161400
11,2023-11-20,sz.001376,26.6000,26.6300,26.0000,26.4000,26.1300,6862483,180138275.0400,3,14.889300,1,1.033300
12,2023-11-21,sz.001376,26.7000,28.2900,26.3100,27.5000,26.4000,15713445,427150449.3000,3,34.093000,1,4.166700
13,2023-11-22,sz.001376,27.3000,30.2500,27.1500,30.2500,27.5000,23233684,689180259.7300,3,50.409400,1,10.000000
14,2023-11-23,sz.001376,31.0000,33.0000,29.2900,30.0000,30.2500,32898796,1027777682.9300,3,71.379500,1,-0.826400
15,2023-11-24,sz.001376,28.1800,28.8900,27.0000,27.0000,30.0000,17531735,478825588.3000,3,38.038000,1,-10.000000
16,2023-11-27,sz.001376,25.6500,25.7500,24.3000,24.3000,27.0000,13662173,336299758.3900,3,29.642400,1,-10.000000
17,2023-11-28,sz.001376,23.3800,24.4800,23.3700,24.1000,24.3000,8011440,192270947.5200,3,17.382200,1,-0.823000
18,2023-11-29,sz.001376,23.8300,24.1000,23.0800,23.2900,24.1000,8970046,210104942.6700,3,19.462000,1,-3.361000
19,2023-11-30,sz.001376,23.2000,23.2300,22.6000,22.9700,23.2900,6593707,150821496.2000,3,14.306200,1,-1.374000
20,2023-12-01,sz.001376,23.0000,23.4600,22.8000,23.3400,22.9700,6106942,141717411.3700,3,13.250000,1,1.610800
21,2023-12-04,sz.001376,23.3500,23.5700,23.0100,23.5600,23.3400,5391203,125230772.2300,3,11.697100,1,0.942600
22,2023-12-05,sz.001376,23.5500,23.5700,22.5600,22.5700,23.5600,5510573,126695210.5200,3,11.956100,1,-4.202000
23,2023-12-06,sz.001376,22.5700,23.0200,22.4500,22.8200,22.5700,4487958,102038810.2800,3,9.737400,1,1.107700
24,2023-12-07,sz.001376,22.8700,22.9400,22.5500,22.6600,22.8200,3837906,87258298.3300,3,8.327000,1,-0.701100
25,2023-12-08,sz.001376,22.7500,24.0000,22.6200,23.5700,22.6600,9689542,227012134.6100,3,21.023100,1,4.015900
26,2023-12-11,sz.001376,23.5000,24.4800,22.9200,23.9300,23.5700,9591057,227839973.6700,3,20.809400,1,1.527400
27,2023-12-12,sz.001376,23.7400,23.9000,23.2700,23.8000,23.9300,7498146,176742561.0300,3,16.268500,1,-0.543300
28,2023-12-13,sz.001376,23.9900,24.2600,23.2300,23.5100,23.8000,6750082,160183293.3000,3,14.645400,1,-1.218500
29,2023-12-14,sz.001376,23.6600,24.1400,23.2700,23.9500,23.5100,9621580,228905003.4000,3,20.875600,1,1.871500
30,2023-12-15,sz.001376,24.1100,24.1100,23.3500,23.3500,23.9500,7310000,173012163.3200,3,15.860300,1,-2.505200
31,2023-12-18,sz.001376,23.1500,23.6800,22.0700,22.0700,23.3500,6580659,149330953.4800,3,14.277800,1,-5.481800
32,2023-12-19,sz.001376,22.0700,22.4800,21.9000,22.3300,22.0700,5102044,113337622.0800,3,11.069700,1,1.178100
33,2023-12-20,sz.001376,22.2500,24.2900,22.2400,23.5200,22.3300,10606994,248776789.9400,3,23.013700,1,5.329200
34,2023-12-21,sz.001376,22.9900,23.3000,22.2600,22.9100,23.5200,6578378,149593270.3600,3,14.272900,1,-2.593500
35,2023-12-22,sz.001376,22.9600,23.5200,22.6000,22.6300,22.9100,5794371,133235180.5500,3,12.571900,1,-1.222200
36,2023-12-25,sz.001376,22.5800,22.6200,22.0400,22.1300,22.6300,4096006,91059642.4500,3,8.887000,1,-2.209500
37,2023-12-26,sz.001376,22.0000,22.1200,21.5500,21.8200,22.1300,3529123,76924755.1500,3,7.657000,1,-1.400800
38,2023-12-27,sz.001376,21.7500,21.9700,20.8900,21.9300,21.7200,4645639,99775418.0400,3,10.079500,1,0.966900
39,2023-12-28,sz.001376,21.7000,22.3500,21.6500,22.1900,21.9300,4362872,96333184.0100,3,9.466000,1,1.185600
40,2023-12-29,sz.001376,22.1100,22.3900,22.0800,22.2600,22.1900,3094157,68889979.0500,3,6.713300,1,0.315500
41,2024-01-02,sz.001376,22.2600,22.7500,22.2600,22.6100,22.2600,3262581,73739589.3300,3,7.078700,1,1.572300
42,2024-01-03,sz.001376,22.6000,22.6000,22.0400,22.3500,22.6100,2735814,61008524.1000,3,5.935800,1,-1.149900
43,2024-01-04,sz.001376,22.3100,23.8400,22.2600,23.3700,22.3500,8849438,206138512.2900,3,19.200300,1,4.563800
44,2024-01-05,sz.001376,23.2400,23.4400,22.6000,22.8900,23.3700,6294900,145108881.0000,3,13.657800,1,-2.053900
45,2024-01-08,sz.001376,22.8600,23.9800,21.9100,21.9300,22.8900,8335700,189799564.9200,3,18.085700,1,-4.194000
46,2024-01-09,sz.001376,22.0400,22.6100,21.6100,21.8500,21.9300,6032498,133522525.3400,3,13.088500,1,-0.364800
47,2024-01-10,sz.001376,21.5500,21.7200,20.8000,21.1700,21.8500,4383981,93240752.1200,3,9.511800,1,-3.112100
48,2024-01-11,sz.001376,21.1500,22.2000,20.9600,21.8200,21.1700,5312852,114296561.1200,3,11.527100,1,3.070400
49,2024-01-12,sz.001376,21.6000,22.3900,21.6000,21.8500,21.8200,4491889,98912160.3000,3,9.745900,1,0.137500
50,2024-01-15,sz.001376,21.6500,22.1200,21.5600,21.5700,21.8500,3007905,65426105.2600,3,6.526200,1,-1.281500
51,2024-01-16,sz.001376,21.4600,21.5900,20.3600,20.7400,21.5700,5324680,110275066.1900,3,11.552800,1,-3.847900
52,2024-01-17,sz.001376,20.6100,20.7300,19.6900,19.7400,20.7400,4030212,80973608.8400,3,8.744200,1,-4.821600
53,2024-01-18,sz.001376,19.6000,19.6700,18.9200,19.3700,19.7400,3394000,65223195.0000,3,7.363900,1,-1.874400
54,2024-01-19,sz.001376,19.3400,19.5900,19.1000,19.2400,19.3700,2278188,44033981.1200,3,4.942900,1,-0.671100
55,2024-01-22,sz.001376,19.2400,19.2400,17.7700,17.8700,19.2400,3112703,57595953.6900,3,6.753500,1,-7.120600
56,2024-01-23,sz.001376,17.8000,18.1800,17.6000,18.1100,17.8700,2155867,38820941.7700,3,4.677500,1,1.343000
57,2024-01-24,sz.001376,18.1300,18.3500,17.5900,18.2900,18.1100,2648953,47786765.3100,3,5.747300,1,0.993900
58,2024-01-25,sz.001376,18.3300,18.7700,18.1500,18.7100,18.2900,2901753,53709957.4000,3,6.295800,1,2.296300
59,2024-01-26,sz.001376,18.6900,18.8700,18.5500,18.6500,18.7100,2130372,39840160.1400,3,4.622200,1,-0.320700
60,2024-01-29,sz.001376,18.9500,20.5200,18.8500,20.5200,18.6500,9063732,180899940.8000,3,19.665300,1,10.026800
61,2024-01-30,sz.001376,20.0000,22.5700,19.2500,22.5700,20.5200,14672965,306374001.6300,3,31.835500,1,9.990300
62,2024-01-31,sz.001376,23.5200,24.8300,22.1800,24.8300,22.5700,21420023,512919039.6300,3,46.474300,1,10.013300
63,2024-02-01,sz.001376,25.6600,26.7700,22.3500,22.3500,24.8300,25652181,637965385.0500,3,55.656700,1,-9.987900
64,2024-02-02,sz.001376,20.1200,20.1200,20.1200,20.1200,22.3500,1719400,34594328.0000,3,3.730500,1,-9.977600
65,2024-02-05,sz.001376,18.1100,18.1100,18.1100,18.1100,20.1200,841600,15241376.0000,3,1.826000,1,-9.990100
66,2024-02-06,sz.001376,16.3000,18.9900,16.3000,16.8900,18.1100,19455074,327502623.3500,3,42.211100,1,-6.736600
67,2024-02-07,sz.001376,15.9500,16.4000,15.2000,15.2000,16.8900,16002172,252833457.6600,3,34.719400,1,-10.005900
68,2024-02-08,sz.001376,14.2400,15.6700,13.6800,15.2600,15.2000,17473864,249330642.1100,3,37.912500,1,0.394700
69,2024-02-19,sz.001376,15.1000,15.7000,14.7400,15.6900,15.2600,14003304,215984157.6600,3,30.382500,1,2.817800
70,2024-02-20,sz.001376,15.9900,16.4300,15.8100,16.3000,15.6900,13541272,218887648.2000,3,29.380100,1,3.887800
71,2024-02-21,sz.001376,15.8600,17.4500,15.8000,16.6700,16.3000,15610356,259989141.3000,3,33.869300,1,2.269900
72,2024-02-22,sz.001376,16.9900,17.4800,16.7400,17.4800,16.6700,13106344,225263695.7100,3,28.436400,1,4.859000
73,2024-02-23,sz.001376,17.6600,18.2200,17.4000,17.9500,17.4800,11695554,207055687.2000,3,25.375500,1,2.688800
74,2024-02-26,sz.001376,17.8900,18.0000,17.3500,17.5500,17.9500,9669197,170855962.5800,3,20.978900,1,-2.228400
75,2024-02-27,sz.001376,17.3500,18.1700,17.3500,18.1700,17.5500,8258069,147013309.3700,3,17.917300,1,3.532800
76,2024-02-28,sz.001376,18.1800,18.4500,16.7300,16.7300,18.1700,10595472,187465109.8000,3,22.988700,1,-7.925200
77,2024-02-29,sz.001376,16.4800,17.4200,16.4000,17.3200,16.7300,6625200,113413551.4800,3,14.374500,1,3.526600
78,2024-03-01,sz.001376,17.3100,17.5500,17.0100,17.2100,17.3200,4696478,80818134.7000,3,10.189800,1,-0.635100
