,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600168,7.0500,8.2200,7.0100,7.2000,155177076,1187265518.0000
1,2019-05-31,sh.600168,7.1000,7.2100,6.5700,7.1200,49465492,342841084.0000
2,2019-06-28,sh.600168,7.1500,7.6600,6.9100,7.2600,51770969,377149115.0000
3,2019-07-31,sh.600168,7.3300,7.5000,6.7100,6.7700,35181357,250931003.0000
4,2019-08-30,sh.600168,6.7400,6.7700,6.0000,6.5800,23221430,151349178.0000
5,2019-09-30,sh.600168,6.5900,7.1500,6.5900,6.7000,35539012,244454269.0000
6,2019-10-31,sh.600168,6.7200,7.1100,6.6200,6.7900,28626708,198459640.0000
7,2019-11-29,sh.600168,6.7600,6.8500,6.2400,6.3100,26622273,172601755.0000
8,2019-12-31,sh.600168,6.3000,6.7200,6.2500,6.6900,29462748,192262608.0000
9,2020-01-23,sh.600168,6.7200,7.1800,6.4400,6.5200,43503466,296305475.0000
10,2020-02-28,sh.600168,5.8800,9.4400,5.6000,8.0200,653811749,5278514567.0000
11,2020-03-31,sh.600168,8.0000,11.3000,7.0900,7.3800,748195146,6573385443.0000
12,2020-04-30,sh.600168,7.3500,8.9800,7.0000,8.4200,564626192,4669725629.0000
13,2020-05-29,sh.600168,8.4400,8.6200,7.1200,7.2200,230216206,1821352328.0000
14,2020-06-30,sh.600168,7.2200,8.0500,6.9600,7.0800,146783820,1091851497.0000
15,2020-07-31,sh.600168,7.1000,8.8000,7.0200,7.7900,328311419,2591063992.2000
16,2020-08-31,sh.600168,7.8800,8.5900,7.4900,7.9200,229744641,1836695730.5100
17,2020-09-30,sh.600168,7.9100,8.0400,7.0000,7.1900,76947215,582040290.8400
18,2020-10-30,sh.600168,7.2800,7.4400,6.9300,6.9400,32728655,235918782.8300
19,2020-11-30,sh.600168,6.9800,7.3500,6.9600,7.1600,51683595,371455997.3600
20,2020-12-31,sh.600168,7.1700,7.3100,6.7100,6.8800,53519448,374388422.7200
21,2021-01-29,sh.600168,6.8900,6.9200,6.2900,6.5400,45075633,296274309.0900
22,2021-02-26,sh.600168,6.5300,6.6200,6.1300,6.4900,22113408,141484772.7400
23,2021-03-31,sh.600168,6.4100,8.0000,6.4100,8.0000,94746501,669649089.0600
24,2021-04-30,sh.600168,8.5800,8.5800,6.4900,6.6700,188380339,1382186511.7600
25,2021-05-31,sh.600168,6.6500,7.0200,6.6000,6.8700,50271525,344217288.6000
26,2021-06-30,sh.600168,6.9000,7.0600,6.6100,6.6200,43911183,300462465.5700
27,2021-07-30,sh.600168,6.6300,6.7100,6.2800,6.3500,39503382,259031321.2900
28,2021-08-31,sh.600168,6.3400,7.0500,6.2800,6.6900,70809163,471185199.5300
29,2021-09-30,sh.600168,6.7000,7.2300,6.6500,7.0500,112446602,776497730.9300
30,2021-10-29,sh.600168,7.2800,7.6600,6.2200,6.3200,86386276,596373364.3800
31,2021-11-30,sh.600168,6.3100,6.5700,6.1700,6.4000,46433274,296815032.4900
32,2021-12-31,sh.600168,6.4200,6.9000,6.4000,6.8300,73096639,485767543.9300
33,2022-01-28,sh.600168,6.8500,8.1800,6.4000,6.4800,362893986,2655197107.8000
34,2022-02-28,sh.600168,6.5600,7.2600,6.5500,7.1000,131765715,922804791.4300
35,2022-03-31,sh.600168,7.0800,7.7800,6.6700,7.5800,237602990,1726137607.3400
36,2022-04-29,sh.600168,7.5800,7.7200,5.8800,6.0900,190732431,1339608329.2400
37,2022-05-31,sh.600168,6.0800,6.7700,5.8100,6.4700,151802228,946041253.4800
38,2022-06-30,sh.600168,6.4900,6.8300,6.0800,6.4400,124264746,792818357.6600
39,2022-07-29,sh.600168,6.3800,7.2300,6.3600,6.6400,279099478,1893615591.5500
40,2022-08-31,sh.600168,6.6300,6.6300,6.1400,6.3200,99241226,634682576.5500
41,2022-09-30,sh.600168,6.3300,6.5400,5.8700,5.9500,49965446,313392566.3000
42,2022-10-31,sh.600168,5.9500,6.4800,5.8200,5.8600,41848134,254113680.9600
43,2022-11-30,sh.600168,5.8500,6.3000,5.8200,6.2600,52619022,323507104.0800
44,2022-12-30,sh.600168,6.2800,6.3600,5.9200,6.0800,40389328,249367412.6000
45,2023-01-31,sh.600168,6.2100,6.2400,5.9600,6.1400,26870572,163363458.3400
46,2023-02-28,sh.600168,6.1500,6.8000,6.1000,6.3600,99720619,631346290.2500
47,2023-03-31,sh.600168,6.3600,6.4600,6.0100,6.0800,67636531,423386289.0400
48,2023-04-28,sh.600168,6.0600,6.1400,5.8700,6.0700,34446634,207851805.4800
49,2023-05-31,sh.600168,5.9700,6.2400,5.9400,6.0800,55944077,343853481.3000
50,2023-06-30,sh.600168,6.0600,6.0700,5.8600,6.0100,34869648,207547799.2600
51,2023-07-31,sh.600168,6.0000,6.4200,6.0000,6.4000,81616939,510214921.8300
52,2023-08-31,sh.600168,6.4100,6.8500,6.2500,6.3600,127211630,826521446.9100
53,2023-09-28,sh.600168,6.4000,6.6600,6.2500,6.4200,82689739,536698846.0700
54,2023-10-31,sh.600168,6.4200,6.4700,5.8200,6.0700,96423141,595222538.6300
55,2023-11-30,sh.600168,6.0900,6.2600,5.9600,6.1200,109420266,668326320.9200
56,2023-12-29,sh.600168,6.1100,7.0000,5.9600,6.7700,410420461,2683334272.3800
57,2024-01-31,sh.600168,6.7600,6.9000,5.5300,5.7800,215634358,1364801291.5600
58,2024-02-29,sh.600168,5.7200,6.0700,4.8100,5.7300,126636998,695109462.7200
59,2024-03-29,sh.600168,5.7200,6.3000,5.6000,6.1000,127681222,747655223.0200
