,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600208,4.0900,4.4000,3.4200,3.5400,1735718962,7041785575.0000
1,2019-05-31,sh.600208,3.4500,3.4800,2.9900,3.0200,700381410,2278711207.0000
2,2019-06-28,sh.600208,3.0100,3.3100,2.9400,3.1400,704451239,2185880284.0000
3,2019-07-31,sh.600208,3.2100,3.3900,2.9100,2.9100,685153668,2124496026.0000
4,2019-08-30,sh.600208,2.9000,2.9700,2.8000,2.8600,445900082,1288560515.0000
5,2019-09-30,sh.600208,2.8700,3.1500,2.8600,2.8900,614276689,1853262649.0000
6,2019-10-31,sh.600208,2.8900,4.2400,2.8000,4.2400,859872172,2698643574.0000
7,2019-11-29,sh.600208,4.3000,5.1300,3.6100,3.7200,8073545871,35058221433.0000
8,2019-12-31,sh.600208,3.7000,4.1500,3.5600,3.7800,3572561721,13676570103.0000
9,2020-01-23,sh.600208,3.8600,4.0700,3.4500,3.5100,2353356829,9170488265.0000
10,2020-02-28,sh.600208,3.1600,3.6000,2.9300,3.1500,2633718529,8875726531.0000
11,2020-03-31,sh.600208,3.1900,3.6600,2.9500,3.0200,2196644320,7161787744.0000
12,2020-04-30,sh.600208,3.0200,3.3900,3.0000,3.1400,1511703895,4759893825.0000
13,2020-05-29,sh.600208,3.0900,3.1800,2.9500,2.9900,731222317,2233788420.0000
14,2020-06-30,sh.600208,2.9900,3.0900,2.9400,2.9800,766667458,2308158779.0000
15,2020-07-31,sh.600208,2.9900,3.9800,2.9800,3.4100,3698954179,12844353195.3700
16,2020-08-31,sh.600208,3.4600,3.6300,3.2700,3.5200,1549054920,5358726386.3700
17,2020-09-30,sh.600208,3.5100,3.8200,3.3500,3.3700,1680571223,6015269396.5500
18,2020-10-30,sh.600208,3.4600,3.5400,3.2000,3.2000,586920898,2006250570.6000
19,2020-11-30,sh.600208,3.2100,3.3700,3.1000,3.2700,835605017,2710038984.4800
20,2020-12-31,sh.600208,3.2700,3.3500,3.0200,3.1000,858297257,2726663746.7200
21,2021-01-29,sh.600208,3.0900,3.2200,2.9800,3.0200,835734349,2565424125.7800
22,2021-02-26,sh.600208,2.9900,3.3100,2.9300,3.1300,856767432,2645182043.9300
23,2021-03-31,sh.600208,3.1400,3.1700,3.0200,3.0600,680308826,2108586769.0900
24,2021-04-30,sh.600208,3.0600,3.1400,3.0300,3.0800,467786156,1442302875.7500
25,2021-05-31,sh.600208,3.0800,3.3200,3.0700,3.1500,744120535,2372903105.3400
26,2021-06-30,sh.600208,3.1600,3.3600,3.0100,3.0400,1029751080,3239353169.3300
27,2021-07-30,sh.600208,3.0500,3.0600,2.8700,2.9300,661963571,1967918178.8700
28,2021-08-31,sh.600208,2.9100,3.2600,2.8000,3.1300,1469973348,4358402381.9300
29,2021-09-30,sh.600208,3.1000,3.4400,2.9800,3.0400,2344854677,7488810896.5100
30,2021-10-29,sh.600208,3.0600,3.0700,2.8400,2.8800,836180858,2443002389.8900
31,2021-11-30,sh.600208,2.8600,3.0500,2.7100,2.8700,1151353257,3321090588.8500
32,2021-12-31,sh.600208,2.8700,3.2000,2.8500,2.9800,1456733257,4383832000.5500
33,2022-01-28,sh.600208,2.9900,3.2300,2.9100,2.9500,1455731178,4504628935.8300
34,2022-02-28,sh.600208,2.9900,3.1200,2.9200,2.9900,873953154,2640893478.7900
35,2022-03-31,sh.600208,2.9900,3.1200,2.6600,3.0500,1900404878,5531234401.1800
36,2022-04-29,sh.600208,3.0200,3.3800,2.5900,2.7700,2716609419,8161284141.4900
37,2022-05-31,sh.600208,2.7400,2.9300,2.7000,2.7900,1094338252,3072442453.1000
38,2022-06-30,sh.600208,2.7800,2.9000,2.7100,2.7600,1243023570,3449271889.5400
39,2022-07-29,sh.600208,2.7600,2.7700,2.6200,2.6500,843338763,2262157608.6400
40,2022-08-31,sh.600208,2.6400,2.8800,2.5200,2.6400,1557814398,4225240093.8300
41,2022-09-30,sh.600208,2.6300,2.7300,2.4200,2.4500,930556813,2418015170.3600
42,2022-10-31,sh.600208,2.4600,2.6100,2.4000,2.5000,611649751,1536812222.0700
43,2022-11-30,sh.600208,2.5000,2.8800,2.4900,2.8000,1899820637,5107967374.0100
44,2022-12-30,sh.600208,2.8900,3.0000,2.5200,2.5400,1513305336,4129542083.4100
45,2023-01-31,sh.600208,2.5500,2.6800,2.5300,2.6700,602469009,1569456386.9600
46,2023-02-28,sh.600208,2.6700,2.8400,2.6300,2.7400,1109810381,3006155931.2500
47,2023-03-31,sh.600208,2.7300,2.8400,2.6000,2.7000,1531263168,4196272949.6300
48,2023-04-28,sh.600208,2.7000,3.1700,2.6900,2.7700,1974603858,5805582418.1900
49,2023-05-31,sh.600208,2.7900,3.0400,2.6500,2.6900,1460525058,4182968809.8200
