,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600218,11.3600,24.4700,11.2000,18.1600,1783535440,31441202728.0000
1,2019-05-31,sh.600218,16.5000,18.2800,14.2000,14.3600,1066251078,17459940992.0000
2,2019-06-28,sh.600218,14.1500,15.5000,12.5600,14.4000,806426210,11289408920.0000
3,2019-07-31,sh.600218,14.8700,15.7200,12.0200,12.5900,515404523,7002512602.0000
4,2019-08-30,sh.600218,12.4900,13.0000,10.3500,11.5900,515623201,5987369508.0000
5,2019-09-30,sh.600218,11.5900,14.3800,10.9500,10.9800,495063877,6257288738.0000
6,2019-10-31,sh.600218,11.0100,11.7100,10.4800,10.5000,154706349,1716005531.0000
7,2019-11-29,sh.600218,10.4500,10.9200,9.6000,10.3100,168888578,1731370940.0000
8,2019-12-31,sh.600218,10.2800,11.7900,10.1900,11.1800,391502578,4321243169.0000
9,2020-01-23,sh.600218,11.3000,12.1800,10.1100,10.3500,252066719,2878572819.0000
10,2020-02-28,sh.600218,9.3200,11.4200,8.3900,9.6800,467292498,4855228034.0000
11,2020-03-31,sh.600218,9.8600,10.5700,8.2500,8.3600,211597442,2010199588.0000
12,2020-04-30,sh.600218,8.3500,11.0100,8.2400,9.3500,348975492,3344366179.0000
13,2020-05-29,sh.600218,9.1400,10.0300,8.5300,8.7900,193720503,1811539915.0000
14,2020-06-30,sh.600218,8.7600,9.8000,8.7600,8.9200,184438283,1694228546.0000
15,2020-07-31,sh.600218,8.9200,10.3500,8.8600,9.4200,301667708,2907004831.5600
16,2020-08-31,sh.600218,9.4200,10.8800,9.3000,10.2500,366574831,3674830611.5700
17,2020-09-30,sh.600218,10.2200,11.6500,9.7800,9.8200,504234109,5428303292.4000
18,2020-10-30,sh.600218,9.9700,10.5800,9.1300,9.1800,138597677,1379760307.5000
19,2020-11-30,sh.600218,9.1000,11.4800,8.9400,10.7600,306453702,3149284347.1600
20,2020-12-31,sh.600218,10.8300,11.0300,9.0000,9.1300,275123924,2714556750.2300
21,2021-01-29,sh.600218,9.1600,9.5800,8.1600,9.2100,204742799,1805978550.5200
22,2021-02-26,sh.600218,9.2100,9.8800,8.2300,8.8500,147779395,1329778292.6500
23,2021-03-31,sh.600218,8.8400,9.4900,8.5300,9.0000,176321248,1591247344.7400
24,2021-04-30,sh.600218,8.9800,10.1900,8.6200,8.8100,343806190,3274627694.4500
25,2021-05-31,sh.600218,8.7100,9.2300,8.6500,9.0200,114738326,1030144299.8200
26,2021-06-30,sh.600218,9.0200,9.1900,8.4400,8.6800,118917295,1058063531.5200
