,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600229,8.4100,9.0900,7.5900,7.8800,130824079,1129396385.0000
1,2019-05-31,sh.600229,7.7000,7.9900,7.2300,7.3100,54783709,415300131.0000
2,2019-06-28,sh.600229,7.3300,7.7200,7.1300,7.5100,42026030,313137063.0000
3,2019-07-31,sh.600229,7.6200,7.8500,6.9700,7.1100,41153537,302483160.0000
4,2019-08-30,sh.600229,7.0800,7.3400,6.4300,7.1900,46311556,320506847.0000
5,2019-09-30,sh.600229,7.1700,7.5000,6.9000,7.0400,56661336,412122117.0000
6,2019-10-31,sh.600229,7.0600,7.6400,6.9000,7.0800,54473235,396511373.0000
7,2019-11-29,sh.600229,7.0500,7.2000,6.5500,6.6700,51444262,351005346.0000
8,2019-12-31,sh.600229,6.6700,7.2200,6.6100,7.1000,80430278,559751160.0000
9,2020-01-23,sh.600229,7.1300,9.7200,7.1300,9.7200,266496126,2274181528.0000
10,2020-02-28,sh.600229,9.0000,10.1500,7.2800,7.3300,458817441,3956791443.0000
11,2020-03-31,sh.600229,7.4500,7.9300,6.7100,6.7800,145310839,1066917679.0000
12,2020-04-30,sh.600229,6.7700,7.2900,6.6100,7.0300,82271727,572820216.0000
13,2020-05-29,sh.600229,6.9600,7.2600,6.7700,7.0200,68330958,482374769.0000
14,2020-06-30,sh.600229,7.0500,8.2600,7.0400,7.4200,162168720,1238312367.0000
15,2020-07-31,sh.600229,7.4300,8.6200,7.4100,8.0900,208451376,1670232948.3600
16,2020-08-31,sh.600229,8.1700,8.4600,7.6900,7.8200,104117158,835925746.5200
17,2020-09-30,sh.600229,7.8400,7.8800,7.0800,7.1200,72443673,541162124.0700
18,2020-10-30,sh.600229,7.1800,7.4100,6.8100,6.8200,28369430,204188037.4300
19,2020-11-30,sh.600229,6.8000,7.7400,6.7100,7.1000,83113716,590369108.3700
20,2020-12-31,sh.600229,7.1200,7.1800,6.6000,6.7400,38982868,269498099.6400
21,2021-01-29,sh.600229,6.7400,6.7900,5.8100,5.8500,42318011,262552129.7700
22,2021-02-26,sh.600229,5.8300,6.3600,5.6000,6.0200,29574429,176933839.8400
23,2021-03-31,sh.600229,6.0400,6.3600,6.0100,6.1800,35552616,220651860.0000
24,2021-04-30,sh.600229,6.1700,6.8000,6.1400,6.3200,52315741,331464470.2100
25,2021-05-31,sh.600229,6.4500,6.8600,6.2900,6.4000,59021934,388493190.3000
26,2021-06-30,sh.600229,6.3600,6.4800,6.0500,6.0700,31466467,195812883.3800
27,2021-07-30,sh.600229,6.0600,6.1300,5.3700,5.4600,27842380,163503042.6400
28,2021-08-31,sh.600229,5.4500,5.8700,5.4000,5.7400,41338984,234294997.9500
29,2021-09-30,sh.600229,5.7400,6.5600,5.6900,6.0200,83102270,502473873.4600
30,2021-10-29,sh.600229,6.0500,6.3800,5.8200,6.1600,33592434,204498885.1300
31,2021-11-30,sh.600229,6.2000,6.8900,6.0900,6.7300,100275128,659070689.1100
32,2021-12-31,sh.600229,6.7800,7.7200,6.6500,7.5100,126008163,906000154.1100
33,2022-01-28,sh.600229,7.4900,7.8400,6.4900,6.5800,113323051,823733718.6500
34,2022-02-28,sh.600229,6.6100,7.1800,6.5400,6.9600,37064708,260070290.8600
35,2022-03-31,sh.600229,6.9800,7.2300,6.6300,6.9300,64319855,444963580.5400
36,2022-04-29,sh.600229,6.8900,7.1800,5.8400,6.2400,52422862,353473339.2900
37,2022-05-31,sh.600229,6.2000,6.6900,6.1800,6.6400,34566625,221544590.0500
38,2022-06-30,sh.600229,6.5800,6.8400,6.3500,6.5400,42807568,281497830.1200
39,2022-07-29,sh.600229,6.5400,6.6300,6.1600,6.4900,31442736,202277578.3300
40,2022-08-31,sh.600229,6.5000,6.7700,6.0300,6.6700,42613092,272200344.6900
41,2022-09-30,sh.600229,6.7100,6.7800,5.7400,5.9500,42770735,275470303.1600
42,2022-10-31,sh.600229,5.9900,6.2100,5.8200,5.9200,30223406,182030309.9600
43,2022-11-30,sh.600229,5.9200,6.9900,5.8800,6.8300,109556495,734050949.1000
44,2022-12-30,sh.600229,6.9000,7.1300,6.4900,7.0700,69976072,478410818.3400
45,2023-01-31,sh.600229,7.0800,7.2300,6.7800,7.0800,51010196,357195216.6800
46,2023-02-28,sh.600229,7.1100,7.8300,7.0200,7.1500,117189964,863435967.6800
47,2023-03-31,sh.600229,7.1700,8.0800,7.1200,8.0200,105063179,802721240.4600
48,2023-04-28,sh.600229,8.0500,9.7900,7.7500,9.7900,279721529,2395585086.3800
49,2023-05-31,sh.600229,10.7700,11.8500,8.2000,9.0400,617441634,6118197833.7100
50,2023-06-30,sh.600229,9.0400,9.8700,8.1000,8.5200,309300193,2870370396.9000
51,2023-07-31,sh.600229,8.5100,8.7700,8.0700,8.2900,124905339,1055040223.8400
52,2023-08-31,sh.600229,8.2700,8.6600,7.7400,7.9100,147136258,1197099356.3300
53,2023-09-28,sh.600229,7.9400,8.0100,7.1900,7.3600,107747141,802900981.8500
54,2023-10-31,sh.600229,7.3100,7.8000,6.6300,7.2800,161149186,1164113160.7100
55,2023-11-30,sh.600229,7.3000,8.2100,7.2500,7.7400,172047852,1349965756.7800
56,2023-12-29,sh.600229,7.7100,9.7200,7.1900,7.5500,558539256,4895254322.4000
57,2024-01-31,sh.600229,7.5800,8.1800,6.3500,6.6400,198565405,1449987528.3800
58,2024-02-29,sh.600229,6.6500,7.2200,5.0400,6.9500,344163359,2173755808.3500
59,2024-03-29,sh.600229,6.9300,9.6000,6.8500,7.8500,752660648,5992937642.7700
