,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600233,13.4700,14.7900,12.7000,13.3100,154924898,2170539557.0000
1,2019-05-31,sh.600233,12.9000,13.4300,11.5300,13.4100,86327212,1070449779.0000
2,2019-06-28,sh.600233,14.3100,14.5000,11.7100,12.3300,83507341,1046654350.0000
3,2019-07-31,sh.600233,12.4500,13.5000,11.5100,13.3200,129498920,1603784429.0000
4,2019-08-30,sh.600233,13.1700,13.2000,10.8900,11.0900,147837489,1731106259.0000
5,2019-09-30,sh.600233,11.1000,12.6300,10.9700,11.5100,185984870,2195462842.0000
6,2019-10-31,sh.600233,11.5100,13.3300,11.4900,12.5400,187574437,2363169523.0000
7,2019-11-29,sh.600233,12.5500,13.3700,11.7700,12.4100,156164196,1967160147.0000
8,2019-12-31,sh.600233,12.3900,13.3200,11.9000,12.6500,112428592,1393467981.0000
9,2020-01-23,sh.600233,12.6800,14.5100,12.4700,13.9600,135965917,1813431751.0000
10,2020-02-28,sh.600233,12.5700,15.8800,12.5600,13.8000,477528510,6982993372.0000
11,2020-03-31,sh.600233,13.9300,14.3500,10.2900,11.5700,521631246,6376203493.0000
12,2020-04-30,sh.600233,11.4100,13.0500,11.1000,12.6600,380987341,4528533696.0000
13,2020-05-29,sh.600233,12.5300,14.1400,12.2900,13.1800,304691843,4024171128.0000
14,2020-06-30,sh.600233,13.2900,17.5000,13.2000,14.5600,499057586,7649615506.0000
15,2020-07-31,sh.600233,14.6000,16.7600,14.5000,15.3100,503640777,7847646789.0000
16,2020-08-31,sh.600233,15.2900,16.5200,13.8700,16.0100,571280270,8685637665.4100
17,2020-09-30,sh.600233,15.9900,18.3700,13.7000,13.9800,966813686,15619393158.8700
18,2020-10-30,sh.600233,14.3600,15.4600,13.6100,13.9500,360579834,5279374841.8900
19,2020-11-30,sh.600233,13.9800,14.0000,12.4000,12.9100,435353119,5682987831.0500
20,2020-12-31,sh.600233,12.8700,13.8600,11.1100,11.5000,327630927,4113264367.8700
21,2021-01-29,sh.600233,11.5000,12.7500,11.2300,11.4100,361907908,4335237577.2700
22,2021-02-26,sh.600233,11.5800,12.5200,11.1300,11.5500,220133590,2602564489.5000
23,2021-03-31,sh.600233,11.5800,11.7300,11.1200,11.1700,154591178,1751822150.1300
24,2021-04-30,sh.600233,11.2000,11.8000,10.2300,11.7800,235547304,2578812240.9000
25,2021-05-31,sh.600233,11.7000,11.7900,10.7600,10.9500,147370535,1646654413.1200
26,2021-06-30,sh.600233,10.9100,11.1700,9.8300,10.0100,178088919,1839794914.6000
27,2021-07-30,sh.600233,10.0400,10.2200,8.7900,9.0300,174054879,1685588819.6400
28,2021-08-31,sh.600233,9.1000,10.1700,9.0000,9.4400,179014856,1682574951.9700
29,2021-09-30,sh.600233,9.4400,14.9500,9.4100,13.9300,791098259,9855346545.3900
30,2021-10-29,sh.600233,14.3000,15.9300,12.5000,14.6000,444536569,6292070054.0700
31,2021-11-30,sh.600233,14.6500,17.2500,13.0400,16.1200,661908540,10067238778.9200
32,2021-12-31,sh.600233,16.1200,18.2100,15.8900,16.6800,501728573,8521242873.4900
33,2022-01-28,sh.600233,16.6700,19.4900,15.5000,16.1100,461581624,8031064899.5300
34,2022-02-28,sh.600233,16.1300,17.5900,15.7300,17.3900,248031978,4123082570.5100
35,2022-03-31,sh.600233,17.4300,18.7300,15.6100,17.2500,453260635,7830615128.3500
36,2022-04-29,sh.600233,17.1400,18.1200,14.4800,17.8800,463062577,7542978865.3800
37,2022-05-31,sh.600233,17.8700,20.5400,17.4600,20.3700,321529317,6075843178.6200
38,2022-06-30,sh.600233,20.0200,21.8700,18.7000,20.3900,482638013,9751579085.3900
39,2022-07-29,sh.600233,20.4100,20.9600,17.9300,19.3200,357283249,6979956283.8000
40,2022-08-31,sh.600233,19.3200,21.7300,18.8300,19.6200,321448265,6474694572.3500
41,2022-09-30,sh.600233,19.6100,22.4800,19.1000,20.7500,351563211,7302769191.4900
42,2022-10-31,sh.600233,20.8800,22.8700,18.6000,18.8600,302263224,6300705443.3700
43,2022-11-30,sh.600233,18.8900,20.0500,18.2700,19.4200,323740455,6230526743.4000
44,2022-12-30,sh.600233,19.5700,21.9900,19.1200,20.0900,330692413,6863340189.9800
45,2023-01-31,sh.600233,20.1300,21.6800,19.3500,20.9900,243140056,4983886546.7900
46,2023-02-28,sh.600233,21.0900,21.1900,17.4200,18.1500,457550094,8659351946.0400
47,2023-03-31,sh.600233,18.2000,19.4800,17.4500,18.3200,397855680,7307314167.3200
48,2023-04-28,sh.600233,18.3200,19.3700,17.0000,17.3000,283446489,5151898539.7700
49,2023-05-31,sh.600233,17.2400,17.2400,15.2500,15.3900,309711737,5033490888.6500
50,2023-06-30,sh.600233,15.4800,15.9300,14.0200,14.5600,288134961,4311538396.8200
51,2023-07-31,sh.600233,14.5000,15.8800,14.4900,15.7200,181989175,2793604481.4800
52,2023-08-31,sh.600233,15.7200,15.9500,14.0700,15.1000,196016167,2937945860.1100
53,2023-09-28,sh.600233,15.0700,15.7400,14.4500,15.0300,165128177,2482841419.2800
54,2023-10-31,sh.600233,15.0500,15.1400,13.1700,13.5800,170148741,2353046699.2400
55,2023-11-30,sh.600233,13.6100,13.9300,13.0800,13.1500,145390196,1963673357.2600
56,2023-12-29,sh.600233,13.1500,13.2000,11.7000,12.2900,196680187,2407662818.9100
57,2024-01-31,sh.600233,12.2800,12.3300,10.8500,11.1600,252917462,2980339019.3300
58,2024-02-29,sh.600233,11.0900,13.3300,10.7200,12.7500,232557336,2820288810.1300
59,2024-03-29,sh.600233,12.7700,15.6000,12.5100,15.5000,315826860,4517971877.3100
