,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600235,7.2300,8.0300,5.9400,6.1700,557669076,4066731239.0000
1,2019-05-31,sh.600235,5.8500,6.2600,5.2600,5.9200,353189253,2070228886.0000
2,2019-06-28,sh.600235,5.9200,6.2300,5.2500,5.5800,215654863,1244015803.0000
3,2019-07-31,sh.600235,5.9500,5.9500,4.9100,5.0400,118740215,642502599.0000
4,2019-08-30,sh.600235,5.0200,5.0900,4.2700,4.6600,164288450,773799087.0000
5,2019-09-30,sh.600235,4.6600,5.3300,4.4500,4.5300,144252045,705914086.0000
6,2019-10-31,sh.600235,4.5300,5.1000,4.4800,4.5900,117575513,563299114.0000
7,2019-11-29,sh.600235,4.5800,4.7600,4.2900,4.5500,83883335,378952370.0000
8,2019-12-31,sh.600235,4.5700,5.8000,4.4800,5.8000,153484480,749338986.0000
9,2020-01-23,sh.600235,6.3800,6.3800,4.8100,4.8500,363056622,2028611264.0000
10,2020-02-28,sh.600235,4.3700,5.1900,3.9500,4.7800,208200730,975702257.0000
11,2020-03-31,sh.600235,4.7900,5.4600,4.3000,4.3300,268087171,1308658271.0000
12,2020-04-30,sh.600235,4.3200,5.1900,4.2500,4.8100,260673345,1237946672.0000
13,2020-05-29,sh.600235,4.8200,4.9600,4.5100,4.6500,120571612,572988869.0000
14,2020-06-30,sh.600235,4.6700,5.1400,4.6500,5.0600,201189782,983683826.0000
15,2020-07-31,sh.600235,5.0400,5.7500,4.9100,5.3900,333472336,1793777660.9800
16,2020-08-31,sh.600235,5.4000,6.0300,5.2400,5.6000,230946145,1290493793.1900
17,2020-09-30,sh.600235,5.5900,5.7200,4.8100,4.8700,165070992,881480866.9900
18,2020-10-30,sh.600235,4.9100,5.1500,4.8500,4.8900,84798406,427504049.8900
19,2020-11-30,sh.600235,4.8900,5.4400,4.8900,5.3400,167946952,876382910.3800
20,2020-12-31,sh.600235,5.3400,6.0500,4.7900,4.9900,374801113,2055355893.5000
21,2021-01-29,sh.600235,5.0100,6.3200,4.9000,5.7200,499686146,2791396402.4000
22,2021-02-26,sh.600235,5.8100,5.8300,4.7400,5.4900,264790721,1424031363.7300
23,2021-03-31,sh.600235,5.5000,6.1400,5.2100,5.9300,463398338,2655428415.2700
24,2021-04-30,sh.600235,5.9400,6.3500,5.1700,5.2200,291479149,1697354812.2100
25,2021-05-31,sh.600235,5.2400,5.8400,5.2000,5.6400,185705632,1033560712.6100
26,2021-06-30,sh.600235,5.6000,5.6800,5.1800,5.2300,113748459,617718476.5600
27,2021-07-30,sh.600235,5.2400,5.2500,4.6800,4.8000,84300461,426224001.2300
28,2021-08-31,sh.600235,4.8000,5.2600,4.7500,5.1600,87349452,435397753.8200
29,2021-09-30,sh.600235,5.0900,5.7500,4.8800,4.9900,242937374,1293221864.5900
30,2021-10-29,sh.600235,5.0000,5.1500,4.7900,4.9000,64926621,326400076.2300
31,2021-11-30,sh.600235,4.9400,5.4300,4.8300,5.3500,97139788,499563128.0900
32,2021-12-31,sh.600235,5.4400,7.5500,5.4400,6.2400,1056523602,6600058454.5000
33,2022-01-28,sh.600235,6.2100,6.7400,5.4500,5.6600,374481088,2353185959.4100
34,2022-02-28,sh.600235,5.7600,7.0000,5.6600,6.6800,352756528,2228430912.1600
35,2022-03-31,sh.600235,6.5300,6.8000,5.4900,6.0500,283336485,1737668971.1300
36,2022-04-29,sh.600235,5.9900,6.1000,4.5200,4.9200,152648860,840261210.8800
37,2022-05-31,sh.600235,4.9300,5.7400,4.7900,5.6600,186537354,994130428.9700
38,2022-06-30,sh.600235,5.6000,5.7200,5.1800,5.6100,171764017,946281610.1700
39,2022-07-29,sh.600235,5.5800,5.8900,5.3600,5.7800,122419242,688298363.3600
40,2022-08-31,sh.600235,5.7800,6.0500,5.3800,5.7700,132766130,760264358.0900
41,2022-09-30,sh.600235,5.8100,5.9200,4.9200,4.9900,89988153,497858445.3400
42,2022-10-31,sh.600235,4.9800,5.5000,4.8600,5.1100,57276743,296651070.4200
43,2022-11-30,sh.600235,5.1200,5.6900,5.1100,5.6500,82750979,451645800.1300
44,2022-12-30,sh.600235,5.6600,5.9200,5.3200,5.5700,103516689,583835576.5800
45,2023-01-31,sh.600235,5.5300,6.1300,5.4700,5.9000,97543901,558802100.0200
46,2023-02-28,sh.600235,5.8700,6.0300,5.7300,5.9500,95983745,566213891.3700
47,2023-03-31,sh.600235,5.9700,6.0900,5.3500,5.4000,100995099,574134380.6700
48,2023-04-28,sh.600235,5.4100,5.5300,4.9900,5.2700,67522934,355493284.5100
49,2023-05-31,sh.600235,5.2500,5.5100,5.2300,5.3200,60170011,323085372.4500
50,2023-06-30,sh.600235,5.3200,5.4500,5.1100,5.4200,65156336,346513867.8200
51,2023-07-31,sh.600235,5.4200,5.7900,5.4100,5.7700,63044769,351612776.0100
52,2023-08-31,sh.600235,5.7800,5.8400,5.4600,5.6900,95913398,542728724.8200
53,2023-09-28,sh.600235,5.7000,5.8800,5.5900,5.7900,86201556,497454587.7200
54,2023-10-31,sh.600235,5.7700,5.8600,5.3500,5.8100,83024000,467308089.4600
55,2023-11-30,sh.600235,5.8200,6.2100,5.7600,6.0300,110709142,660740485.1800
56,2023-12-29,sh.600235,6.0300,6.5100,5.8900,6.1400,190498173,1185055493.7500
57,2024-01-31,sh.600235,6.1500,6.4100,5.1500,5.1700,139861111,822180174.4600
58,2024-02-29,sh.600235,5.1700,5.1700,3.6700,4.6000,198599943,865273582.4500
59,2024-03-29,sh.600235,4.6000,5.2300,4.4200,5.1100,158795338,774923665.9100
