,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600273,13.0000,17.9300,12.5700,12.8500,1242081701,18957156941.0000
1,2019-05-31,sh.600273,12.3700,13.0500,10.6500,11.3700,781662655,8994125456.0000
2,2019-06-28,sh.600273,11.4000,11.8300,10.0900,11.5600,648169067,7247937743.0000
3,2019-07-31,sh.600273,11.8900,12.1500,10.4900,10.8800,435008871,4925812489.0000
4,2019-08-30,sh.600273,10.8500,10.9100,9.0900,10.6600,462689347,4649554264.0000
5,2019-09-30,sh.600273,10.6500,13.0800,10.2000,10.5800,547317383,6337928324.0000
6,2019-10-31,sh.600273,10.5600,11.0100,9.4600,9.6700,300277439,3038364904.0000
7,2019-11-29,sh.600273,9.6700,9.8000,8.7600,9.1300,270275747,2509529684.0000
8,2019-12-31,sh.600273,9.1800,11.8800,9.1500,11.2500,547881266,5718525705.0000
9,2020-01-23,sh.600273,11.2500,11.6500,9.8000,9.9700,451993624,4914859819.0000
10,2020-02-28,sh.600273,8.9700,12.0300,8.5900,9.9800,904011207,9554747947.0000
11,2020-03-31,sh.600273,10.1100,10.8800,8.6300,8.8200,500472477,4895149573.0000
12,2020-04-30,sh.600273,8.7800,9.2800,8.4400,8.7100,284575671,2550544175.0000
13,2020-05-29,sh.600273,8.6500,9.0700,8.3200,8.3200,182007658,1571719828.0000
14,2020-06-30,sh.600273,8.4000,8.8900,8.3300,8.7400,249131051,2154142390.0000
15,2020-07-31,sh.600273,8.7500,13.4400,8.7000,13.0300,927000862,10312155085.0800
16,2020-08-31,sh.600273,13.3700,14.1400,9.3100,10.8800,909193874,9801877656.2300
17,2020-09-30,sh.600273,10.8800,12.3000,9.6500,10.8400,584297780,6529564761.5400
18,2020-10-30,sh.600273,10.9800,11.1900,9.1600,9.8800,337896697,3507791208.1400
19,2020-11-30,sh.600273,9.8500,11.2800,9.7400,10.8000,413260585,4413569795.1300
20,2020-12-31,sh.600273,10.7200,11.3200,9.0800,9.2400,380341030,3889511433.7200
21,2021-01-29,sh.600273,9.2300,9.3800,7.9800,8.1400,299082523,2558144020.4900
22,2021-02-26,sh.600273,8.1900,9.7400,7.9300,8.8300,320578501,2827741163.1800
23,2021-03-31,sh.600273,8.9500,10.4100,8.3300,10.1400,459094340,4264054639.3900
24,2021-04-30,sh.600273,10.0200,10.3700,8.8900,9.0700,433729340,4202204803.8500
25,2021-05-31,sh.600273,9.0200,9.3500,8.6800,8.7200,201586126,1818517651.4800
26,2021-06-30,sh.600273,8.7100,8.9900,8.2200,8.7000,232095760,1996366405.8000
27,2021-07-30,sh.600273,8.6900,9.3500,8.3500,9.1600,376952360,3366099041.5900
28,2021-08-31,sh.600273,9.2100,11.0500,9.0800,10.8000,679493249,6894594375.9600
29,2021-09-30,sh.600273,10.8500,14.7900,10.2300,10.6300,1283524786,16101523308.8300
30,2021-10-29,sh.600273,10.9000,11.2600,9.5000,9.7900,496233379,5146451060.1200
31,2021-11-30,sh.600273,10.0000,11.2500,9.1000,11.1600,656185708,6594356487.9300
32,2021-12-31,sh.600273,11.1200,11.7100,10.4000,11.5700,770399768,8497746007.2200
33,2022-01-28,sh.600273,11.6100,11.8000,9.9500,10.3400,468825291,5115225018.6900
34,2022-02-28,sh.600273,10.5100,11.1600,10.3800,11.0200,290628711,3140357242.5600
35,2022-03-31,sh.600273,11.0400,11.2300,9.0000,10.0500,398087941,4033522807.0100
36,2022-04-29,sh.600273,9.9600,10.8700,9.2600,10.4300,383761510,3952202298.1300
37,2022-05-31,sh.600273,10.3600,11.1000,10.0300,10.8000,367000382,3910498127.4400
38,2022-06-30,sh.600273,10.7900,11.6200,10.5900,10.8600,546775641,6052757976.1200
39,2022-07-29,sh.600273,10.9400,11.3500,9.9300,10.1900,422548008,4465502730.7900
40,2022-08-31,sh.600273,10.1100,10.8900,9.8300,10.2900,380874944,3966153868.4900
