,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600285,8.8300,10.6800,8.7300,9.3700,276567640,2635138197.0000
1,2019-05-31,sh.600285,9.0700,9.3300,8.4600,8.7700,153452448,1357316929.0000
2,2019-06-28,sh.600285,8.7300,8.8500,7.8600,8.4300,89965481,748087678.0000
3,2019-07-31,sh.600285,8.5900,8.8600,8.1500,8.3800,112468921,961073555.0000
4,2019-08-30,sh.600285,8.3000,8.5300,7.6700,8.1000,116625954,957680379.0000
5,2019-09-30,sh.600285,8.0900,9.0200,8.0600,8.2200,176858850,1502558261.0000
6,2019-10-31,sh.600285,8.2400,9.6600,8.1900,9.4500,134802417,1189335677.0000
7,2019-11-29,sh.600285,9.4500,11.1100,9.3600,10.2500,364136791,3788983017.0000
8,2019-12-31,sh.600285,10.2600,10.3000,9.3400,9.9000,212974307,2105617068.0000
9,2020-01-23,sh.600285,9.9500,11.0600,9.8100,9.9600,161771748,1673725595.0000
10,2020-02-28,sh.600285,8.9600,10.5100,8.9100,8.9400,269129713,2620923350.0000
11,2020-03-31,sh.600285,8.9500,9.6500,7.9900,8.3000,176651041,1553876262.0000
12,2020-04-30,sh.600285,8.3000,9.2400,8.0200,8.4500,189868084,1627152587.0000
13,2020-05-29,sh.600285,8.4000,8.8300,8.1600,8.3600,154357933,1303046175.0000
14,2020-06-30,sh.600285,8.3900,9.6000,8.3300,9.3500,277118571,2464152538.0000
15,2020-07-31,sh.600285,9.3500,11.9000,9.1200,11.7100,696254300,7309738142.4600
16,2020-08-31,sh.600285,11.6900,12.5300,10.2600,11.4400,382412005,4364664330.2800
17,2020-09-30,sh.600285,11.5500,11.9100,10.0600,10.2400,200931802,2183056413.7100
18,2020-10-30,sh.600285,10.4300,11.0300,9.2600,9.3600,126167226,1299662822.3100
19,2020-11-30,sh.600285,9.3600,9.8700,9.0800,9.1500,112510784,1059996271.3300
20,2020-12-31,sh.600285,9.1400,9.4500,8.2800,8.4700,116755340,1045908863.0900
21,2021-01-29,sh.600285,8.5200,8.6900,7.6600,7.7800,108895079,892212297.4400
22,2021-02-26,sh.600285,7.7800,9.0500,7.7100,8.4200,127890129,1087948875.4400
23,2021-03-31,sh.600285,8.4700,9.1400,8.4000,8.8200,137746971,1218795027.0700
24,2021-04-30,sh.600285,8.8500,9.8200,8.2400,9.7800,128888335,1181597060.8600
25,2021-05-31,sh.600285,9.8400,10.7000,9.2000,10.2900,167678117,1687554474.5500
26,2021-06-30,sh.600285,10.3400,10.7800,9.3000,10.5000,170582353,1729694314.2300
27,2021-07-30,sh.600285,10.5000,12.5600,9.6500,10.0400,346401921,3820932180.4100
28,2021-08-31,sh.600285,10.0900,11.2200,9.5700,10.4300,206083334,2126977721.4700
29,2021-09-30,sh.600285,10.4500,11.3500,10.0200,10.8000,210571613,2260525260.5300
30,2021-10-29,sh.600285,10.9900,11.7200,9.7300,10.7300,128185052,1367730110.6700
31,2021-11-30,sh.600285,10.8700,13.0400,10.6100,12.7600,312871272,3686776440.2200
32,2021-12-31,sh.600285,12.7000,16.1000,12.0200,15.8000,459835416,6441035149.6500
33,2022-01-28,sh.600285,16.2300,17.9700,12.7000,12.7900,401484229,6252274231.6600
34,2022-02-28,sh.600285,13.0000,14.8300,12.6600,14.1700,156940795,2170177245.8300
35,2022-03-31,sh.600285,14.1300,15.4000,11.6500,13.2300,308932686,4166312657.1800
36,2022-04-29,sh.600285,13.0500,13.5400,10.0000,11.4300,204237080,2314655351.4800
37,2022-05-31,sh.600285,11.3500,12.9800,11.2800,12.3300,166799468,2027583867.8500
38,2022-06-30,sh.600285,12.3300,13.1800,11.8800,12.5300,200360752,2534258047.5000
39,2022-07-29,sh.600285,12.5300,13.0900,11.5400,11.7600,163292534,2004599917.6200
40,2022-08-31,sh.600285,11.8000,13.2200,11.0500,12.8000,259463157,3228794440.5200
41,2022-09-30,sh.600285,12.8100,13.0500,10.8000,11.5400,167752170,2027996107.5200
42,2022-10-31,sh.600285,11.5100,15.1700,11.2800,14.4300,248451254,3333372283.3800
43,2022-11-30,sh.600285,14.4400,15.2900,13.7900,13.9600,294833317,4292393879.5700
44,2022-12-30,sh.600285,14.0600,14.3200,12.4700,13.0400,195679722,2630253862.5200
45,2023-01-31,sh.600285,13.0800,14.0800,13.0800,13.9200,87337116,1199078756.7400
46,2023-02-28,sh.600285,13.9200,16.0800,13.4800,15.9900,173086311,2572588832.2200
47,2023-03-31,sh.600285,16.0500,16.7500,14.4300,15.5100,208362350,3228167168.1900
48,2023-04-28,sh.600285,15.4800,16.9200,15.2000,16.7100,172863905,2769241925.9000
49,2023-05-31,sh.600285,16.6500,17.8800,15.7000,17.1400,212620603,3554151915.7900
50,2023-06-30,sh.600285,17.1500,17.2200,14.7600,16.0600,155332058,2515268049.2900
51,2023-07-31,sh.600285,16.1600,16.1700,14.7400,15.2300,108022300,1655886291.7700
52,2023-08-31,sh.600285,15.1300,16.4800,14.3000,16.0600,168926738,2634680201.7800
53,2023-09-28,sh.600285,16.1400,18.2700,15.3700,17.9100,159400577,2715537827.2200
54,2023-10-31,sh.600285,18.0000,18.0000,15.4100,15.8200,132820239,2190489170.8700
55,2023-11-30,sh.600285,15.8000,17.4800,15.6200,17.1100,201983122,3358932045.6200
56,2023-12-29,sh.600285,17.0700,17.6600,16.0700,17.1100,140416797,2362219646.3100
57,2024-01-31,sh.600285,17.1800,18.1500,16.1500,16.9300,164453821,2839492105.5100
58,2024-02-29,sh.600285,17.0000,20.0800,16.3500,20.0800,153723428,2881858894.6900
59,2024-03-29,sh.600285,20.0800,21.7300,19.8200,21.4500,166049037,3453723309.3300
