,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600336,4.6500,5.3500,4.3500,4.7900,216757605,1056573270.0000
1,2019-05-31,sh.600336,4.5600,5.8300,4.4400,4.7400,511856983,2628121672.0000
2,2019-06-28,sh.600336,4.7800,4.7800,4.2600,4.4400,106972176,477725044.0000
3,2019-07-31,sh.600336,4.5300,4.8500,4.1500,4.5700,107121120,483205007.0000
4,2019-08-30,sh.600336,4.4300,4.6600,3.8600,4.1300,111738237,471898042.0000
5,2019-09-30,sh.600336,4.1400,4.5900,4.1400,4.2200,84910540,372834221.0000
6,2019-10-31,sh.600336,4.1600,4.5500,4.1600,4.3900,67601109,298347538.0000
7,2019-11-29,sh.600336,4.3800,4.7600,4.1500,4.2400,107967929,483708802.0000
8,2019-12-31,sh.600336,4.2400,4.4900,4.1800,4.3900,73141163,315606821.0000
9,2020-01-23,sh.600336,4.4200,4.8000,4.4100,4.4500,94672408,430015206.0000
10,2020-02-28,sh.600336,4.0100,5.6000,3.8500,5.2900,442210918,2172988486.0000
11,2020-03-31,sh.600336,5.4400,7.3700,4.6000,4.7700,721896149,4229082926.0000
12,2020-04-30,sh.600336,4.7800,6.2800,4.6900,5.3400,522356330,2878492404.0000
13,2020-05-29,sh.600336,5.3000,6.3100,5.2600,6.2800,460917453,2713988974.0000
14,2020-06-30,sh.600336,6.2000,6.9600,5.4300,6.0500,551117319,3407927230.0000
15,2020-07-31,sh.600336,6.0000,9.2300,5.7500,9.2300,1123730417,7954655783.1800
16,2020-08-31,sh.600336,9.7000,11.1000,7.0600,7.1900,1075328098,9479017216.6100
17,2020-09-30,sh.600336,7.1600,7.9900,6.4000,6.9000,487712000,3431180594.7600
18,2020-10-30,sh.600336,6.9800,8.0800,6.9800,7.6700,483160001,3650746138.7600
19,2020-11-30,sh.600336,7.6900,10.5200,7.2000,8.5500,1341444596,11601735080.6400
20,2020-12-31,sh.600336,8.5000,11.3500,8.3400,9.9500,1725123326,16570853357.8300
21,2021-01-29,sh.600336,9.8500,9.9700,6.5600,6.7100,662588846,5472999018.1100
22,2021-02-26,sh.600336,6.6400,7.4300,6.4500,6.7600,263010801,1813351777.3300
23,2021-03-31,sh.600336,6.8200,7.3600,6.5000,6.9800,323850591,2245021679.0100
24,2021-04-30,sh.600336,6.9400,7.0300,6.3200,6.3800,242984117,1647878332.9500
25,2021-05-31,sh.600336,6.4600,6.7000,6.1600,6.3600,137774956,877643827.5200
26,2021-06-30,sh.600336,6.3200,6.3600,5.4500,5.6700,156636937,922355082.1500
27,2021-07-30,sh.600336,5.6900,5.9200,5.2600,5.4400,161574411,910626959.5800
28,2021-08-31,sh.600336,5.4300,6.5700,5.3800,5.7300,379341101,2288206139.6200
29,2021-09-30,sh.600336,5.7000,6.3000,5.6500,6.0000,300310456,1818955360.3000
30,2021-10-29,sh.600336,6.0000,8.3100,5.9800,7.7100,802191715,5982643577.6100
31,2021-11-30,sh.600336,7.6200,10.6100,7.3000,9.4400,1061333023,9579032756.1800
32,2021-12-31,sh.600336,9.4800,9.9300,6.9800,7.1400,667494882,5512856972.2700
33,2022-01-28,sh.600336,7.1100,7.5800,6.0000,6.1700,344333485,2393013387.8300
34,2022-02-28,sh.600336,6.2300,7.0400,6.1600,6.4400,327856165,2192364795.1600
35,2022-03-31,sh.600336,6.4900,6.5800,5.3900,6.0000,227054007,1369392029.9100
36,2022-04-29,sh.600336,5.9600,7.0800,5.8200,6.9900,716992962,4667610790.6500
37,2022-05-31,sh.600336,7.1900,7.9200,7.0000,7.7400,978260593,7306865476.6600
38,2022-06-30,sh.600336,7.7700,8.0500,6.4000,6.8000,562154394,3928316565.7500
39,2022-07-29,sh.600336,6.8000,7.4500,6.3300,6.9100,600122448,4191482850.6000
40,2022-08-31,sh.600336,6.9000,7.2900,6.0100,6.1700,374505124,2456899834.9900
41,2022-09-30,sh.600336,6.1500,6.2700,5.5500,5.6800,167071500,992410661.2800
42,2022-10-31,sh.600336,5.6800,5.8800,5.3100,5.3900,118123586,664985808.6100
43,2022-11-30,sh.600336,5.3900,5.8600,5.3900,5.8200,136497462,779268469.2300
44,2022-12-30,sh.600336,5.8500,6.0000,5.4200,5.4700,106422218,614062658.7600
45,2023-01-31,sh.600336,5.4600,6.0600,5.4400,5.9800,93414526,543198305.5500
46,2023-02-28,sh.600336,6.0000,6.4400,5.9300,6.2500,171777261,1071673505.4800
47,2023-03-31,sh.600336,6.2600,6.3500,5.7100,5.9700,125936968,752973413.7400
48,2023-04-28,sh.600336,5.9600,6.1900,5.6400,5.9200,182015177,1075640083.9900
49,2023-05-31,sh.600336,5.7600,5.8900,5.3700,5.4100,123912843,694059482.0900
50,2023-06-30,sh.600336,5.4400,5.8900,5.4100,5.7600,153959515,871199585.9800
51,2023-07-31,sh.600336,5.7600,5.8800,5.6500,5.8700,111556410,644505018.8400
52,2023-08-31,sh.600336,5.8900,6.0600,5.2000,6.0600,131483475,742419509.8700
53,2023-09-28,sh.600336,6.6000,6.6700,5.4100,5.5600,493389152,2909735136.0100
54,2023-10-31,sh.600336,5.5800,5.5800,5.1500,5.4300,105595832,568993547.2100
