,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600382,10.0300,11.3800,9.7100,10.3600,178059445,1895962009.0000
1,2019-05-31,sh.600382,10.2000,10.5500,9.4600,10.4500,83119810,834051078.0000
2,2019-06-28,sh.600382,10.5000,10.8000,7.5300,7.6900,85536144,741775817.0000
3,2019-07-31,sh.600382,7.8300,8.1600,7.1000,7.2800,68135669,520166135.0000
4,2019-08-30,sh.600382,7.3000,7.4500,6.6900,6.9200,47494212,332914792.0000
5,2019-09-30,sh.600382,6.9300,7.3600,6.7200,6.7500,50251595,357666929.0000
6,2019-10-31,sh.600382,6.7800,7.4500,6.7200,7.1400,52857507,372800966.0000
7,2019-11-29,sh.600382,7.1000,7.1900,6.5800,6.7400,43049582,293602119.0000
8,2019-12-31,sh.600382,6.7100,7.0800,6.6900,6.9900,55240801,382342188.0000
9,2020-01-23,sh.600382,7.0300,7.2400,6.7000,6.7700,64683313,456823610.0000
10,2020-02-28,sh.600382,6.0900,6.6100,5.6000,6.1400,79073093,495143976.0000
11,2020-03-31,sh.600382,6.1400,6.7400,6.0000,6.0800,109597782,699198184.0000
12,2020-04-30,sh.600382,6.0800,6.3200,5.8100,6.2700,59809431,369520464.0000
13,2020-05-29,sh.600382,6.2200,6.4400,6.1100,6.4300,54007971,341024902.0000
14,2020-06-30,sh.600382,6.4900,6.7300,6.3200,6.5400,85544691,553953876.0000
15,2020-07-31,sh.600382,6.5300,6.7600,5.1500,5.4900,248149526,1417259577.2200
16,2020-08-31,sh.600382,5.5000,6.1800,5.3600,5.5900,173637771,982594598.7500
17,2020-09-30,sh.600382,5.6000,5.6300,4.9500,4.9800,95642937,513138068.4800
18,2020-10-30,sh.600382,5.0200,5.2100,4.9200,4.9500,65205471,329135107.7300
19,2020-11-30,sh.600382,4.9300,5.5600,4.9200,5.3200,190609846,998315082.0500
20,2020-12-31,sh.600382,5.3300,7.0700,5.2900,5.8900,1171344611,7322148877.1900
21,2021-01-29,sh.600382,5.8600,7.3700,5.6000,6.1800,922060603,5942171645.5200
22,2021-02-26,sh.600382,6.0400,6.6100,5.6200,6.1200,349890520,2143177259.8600
23,2021-03-31,sh.600382,6.1500,6.4000,5.4000,5.5300,277395921,1651263889.0900
24,2021-04-30,sh.600382,5.4700,5.9700,5.0900,5.1800,193600928,1078453923.9700
25,2021-05-31,sh.600382,4.9200,4.9200,4.0100,4.0800,241432768,1004697328.4900
26,2021-06-30,sh.600382,4.0700,5.1100,4.0500,4.6000,336052233,1518605983.1400
27,2021-07-30,sh.600382,4.5700,4.7800,3.4400,3.4600,268823316,1142926957.4400
28,2021-08-31,sh.600382,3.4400,3.9200,3.3400,3.6600,164664651,607732826.4600
29,2021-09-30,sh.600382,3.6600,4.0300,3.3600,3.4600,126328704,471935639.1300
30,2021-10-29,sh.600382,3.4700,5.1600,3.4500,5.0300,198762853,903726249.7100
31,2021-11-30,sh.600382,4.9500,5.8600,4.4900,5.6700,223694669,1131427071.1600
32,2021-12-31,sh.600382,5.5700,6.6200,5.2700,5.6700,299490152,1736881090.6000
33,2022-01-28,sh.600382,5.7500,6.3700,4.9300,5.4200,146290691,836565163.0500
34,2022-02-28,sh.600382,5.6900,6.0300,5.3500,5.7000,108652444,622451640.7700
35,2022-03-31,sh.600382,5.6900,5.9000,4.9600,5.6000,105761732,584352289.5700
36,2022-04-29,sh.600382,5.6100,6.6000,5.3300,5.5000,186343890,1106134599.3800
37,2022-05-31,sh.600382,5.5000,6.2900,5.4600,5.8800,149305951,874611898.8400
38,2022-06-30,sh.600382,5.9000,6.0400,4.4200,4.5300,165328946,889511519.8800
39,2022-07-29,sh.600382,4.5200,4.8400,4.1700,4.7500,93012179,421850983.0300
40,2022-08-31,sh.600382,4.7700,5.0000,4.3900,4.6200,124064257,580790861.1000
41,2022-09-30,sh.600382,4.6000,4.7600,4.1600,4.1900,68705512,308277371.6100
42,2022-10-31,sh.600382,4.2000,4.3700,3.9600,4.0100,53719845,225096005.4400
43,2022-11-30,sh.600382,4.0400,4.6300,4.0100,4.5200,93538573,411010043.3900
44,2022-12-30,sh.600382,4.5300,4.8500,4.0800,4.1800,125761330,562223743.9800
45,2023-01-31,sh.600382,4.1800,4.4300,4.1200,4.3900,71547944,302108945.4200
46,2023-02-28,sh.600382,4.4000,4.8100,4.3700,4.6500,105720546,484738969.3300
47,2023-03-31,sh.600382,4.6200,4.7600,4.3200,4.5200,103180873,473942725.8200
48,2023-04-28,sh.600382,4.5300,4.8400,4.3400,4.7800,113187722,522747274.8900
49,2023-05-31,sh.600382,4.7600,5.5400,4.7600,5.5400,126282195,646265284.5800
50,2023-06-30,sh.600382,5.5200,5.5400,4.6500,4.8000,245797151,1213854535.3800
51,2023-07-31,sh.600382,4.8100,5.0300,4.5700,4.9400,159253917,766812704.2600
52,2023-08-31,sh.600382,4.9500,5.0300,4.4500,4.4600,150181589,719059425.2700
53,2023-09-28,sh.600382,4.4500,4.7300,4.4300,4.6800,98413128,451821987.5300
54,2023-10-31,sh.600382,4.6700,4.7000,4.3400,4.5400,74263463,334939541.0500
55,2023-11-30,sh.600382,4.5400,4.7400,4.5100,4.5400,108241462,503063072.0300
56,2023-12-29,sh.600382,4.5300,4.6400,4.4000,4.5200,101904146,461921915.4000
57,2024-01-31,sh.600382,4.5400,4.8000,4.0800,4.1700,135908938,609627168.8600
58,2024-02-29,sh.600382,4.2000,4.2300,3.5100,4.0300,140858997,548351794.9200
59,2024-03-29,sh.600382,4.0300,4.4500,3.9600,4.1900,85455613,354855576.5100
