,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600456,24.0900,25.9800,22.0800,23.1600,176249034,4249724862.0000
1,2019-05-31,sh.600456,22.8000,22.8200,19.4100,21.8300,116445633,2483116929.0000
2,2019-06-28,sh.600456,21.9300,23.5700,20.5000,22.8100,133746746,3010113544.0000
3,2019-07-31,sh.600456,23.0000,25.8900,22.4900,23.7600,215436585,5142669485.0000
4,2019-08-30,sh.600456,23.5200,24.5500,20.8200,24.2000,133942660,3059635892.0000
5,2019-09-30,sh.600456,24.2500,29.2000,24.2500,26.8800,202890985,5454147879.0000
6,2019-10-31,sh.600456,27.1100,27.2400,22.2300,22.4200,129306954,3049513364.0000
7,2019-11-29,sh.600456,22.3000,23.3700,20.7300,22.1500,82597415,1830453603.0000
8,2019-12-31,sh.600456,22.1500,25.1000,22.0300,24.2900,112705572,2667890219.0000
9,2020-01-23,sh.600456,24.3900,26.3900,23.3500,25.1100,116640972,2942698076.0000
10,2020-02-28,sh.600456,22.6500,27.3700,21.1200,25.2000,196669779,4969939917.0000
11,2020-03-31,sh.600456,25.3300,31.6900,22.3300,23.0000,236506997,6350954314.0000
12,2020-04-30,sh.600456,23.0000,25.3500,22.2000,25.2200,117598625,2831204968.0000
13,2020-05-29,sh.600456,25.2300,27.1600,24.0000,24.2500,116487059,2974301929.0000
14,2020-06-30,sh.600456,24.4000,27.8900,24.3100,27.3500,122340122,3187104940.0000
15,2020-07-31,sh.600456,27.3600,38.1300,26.5800,34.9900,354210829,11699474578.8400
16,2020-08-31,sh.600456,35.1900,37.1500,29.8500,31.1800,217829719,7273728619.2900
17,2020-09-30,sh.600456,31.2000,32.9600,26.0000,31.5200,119506396,3584165977.6700
18,2020-10-30,sh.600456,32.0100,34.6700,30.3000,32.7700,113064242,3701168754.3600
19,2020-11-30,sh.600456,32.7100,42.9700,32.5300,39.5800,219692822,8211829024.0500
20,2020-12-31,sh.600456,39.1100,52.8800,38.3800,52.0900,215954518,9703521509.6000
21,2021-01-29,sh.600456,52.6000,63.0300,45.8400,46.8600,288002225,15032792341.9900
22,2021-02-26,sh.600456,46.5600,48.8500,41.6900,44.0700,168215333,7670355002.0900
23,2021-03-31,sh.600456,44.0000,45.0800,35.0000,38.7800,171218472,6752156545.5900
24,2021-04-30,sh.600456,38.9200,42.1000,36.2000,36.8700,121466502,4725080405.6000
25,2021-05-31,sh.600456,37.2000,45.0900,36.8000,44.7300,128512423,5146774324.3600
26,2021-06-30,sh.600456,44.4700,46.6300,40.1900,42.9000,135801890,5974598215.5000
27,2021-07-30,sh.600456,42.9200,55.1000,39.0500,47.6500,285672138,13661838929.1700
28,2021-08-31,sh.600456,49.0000,59.8000,46.6300,59.1500,312161620,16292989637.7700
29,2021-09-30,sh.600456,58.0100,59.5600,44.3800,47.2100,187452230,9611184333.1500
30,2021-10-29,sh.600456,47.5000,50.8500,45.9000,49.3500,87842267,4304149226.4500
31,2021-11-30,sh.600456,49.3000,74.4800,48.6600,71.9800,273307767,16663679637.1400
32,2021-12-31,sh.600456,71.4200,72.7900,60.4400,71.7800,157503224,10519592517.1800
33,2022-01-28,sh.600456,72.5000,73.2200,45.5800,45.8200,203294980,11623402727.4700
34,2022-02-28,sh.600456,47.0000,57.9200,46.2000,56.4500,171682018,8786307889.9100
35,2022-03-31,sh.600456,56.4900,56.5800,45.2100,52.0200,207166999,10658418540.4100
36,2022-04-29,sh.600456,54.3300,54.7900,39.6500,45.8800,134204418,6452083635.0900
37,2022-05-31,sh.600456,45.9900,55.0900,45.6200,52.6300,112092489,5780377820.7400
38,2022-06-30,sh.600456,52.5000,59.8800,47.6800,59.4000,180510345,9413886966.5300
39,2022-07-29,sh.600456,59.0200,64.0800,53.7700,56.0000,209952098,12280856626.7300
40,2022-08-31,sh.600456,56.3300,58.6700,44.3600,44.5100,208340056,11074654100.3900
41,2022-09-30,sh.600456,44.8900,49.3500,43.2300,43.2500,150845077,6988384976.2000
42,2022-10-31,sh.600456,43.4000,47.1500,40.3400,41.9900,101871931,4479641469.4500
43,2022-11-30,sh.600456,41.9000,46.3500,39.8900,41.8100,104290989,4535750903.6900
44,2022-12-30,sh.600456,42.0500,46.2700,40.4400,40.8600,115742215,5028980204.7900
45,2023-01-31,sh.600456,40.8500,44.8500,39.4700,43.9300,113647050,4737300698.4500
46,2023-02-28,sh.600456,43.9000,45.6100,41.2300,41.7700,116656901,5056820124.7900
47,2023-03-31,sh.600456,41.6600,43.3300,34.6000,35.6200,126057154,4975229373.7700
48,2023-04-28,sh.600456,35.5800,36.9500,32.1500,33.7300,97954599,3456753836.6700
49,2023-05-31,sh.600456,33.7200,34.6600,31.7500,32.7300,70012713,2312012272.1000
50,2023-06-30,sh.600456,32.9000,34.1500,31.1300,33.8400,75884070,2489795806.3800
51,2023-07-31,sh.600456,33.9700,35.4700,32.9300,34.2400,77222459,2633994706.0300
52,2023-08-31,sh.600456,34.3000,34.8500,28.3000,32.4400,117250290,3758516165.8200
