,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600467,2.9000,3.2600,2.6400,2.7300,696318204,2138750194.0000
1,2019-05-31,sh.600467,2.6800,2.8600,2.5100,2.7000,349271195,946431102.0000
2,2019-06-28,sh.600467,2.7100,2.7900,2.5400,2.6500,232963356,630094630.0000
3,2019-07-31,sh.600467,2.6800,2.8500,2.5200,2.5300,202157849,538446074.0000
4,2019-08-30,sh.600467,2.5200,2.5700,2.2000,2.3600,184082420,430787476.0000
5,2019-09-30,sh.600467,2.3700,2.5900,2.3100,2.3100,203699220,500323296.0000
6,2019-10-31,sh.600467,2.3000,3.0500,2.2800,2.5000,735221582,1984333836.0000
7,2019-11-29,sh.600467,2.4900,2.5500,2.3100,2.3500,354991611,859389188.0000
8,2019-12-31,sh.600467,2.3500,2.5400,2.3300,2.4800,259561532,624009515.0000
9,2020-01-23,sh.600467,2.4900,2.6400,2.3200,2.3500,340980394,856263677.0000
10,2020-02-28,sh.600467,2.1200,2.3700,1.9100,2.2100,410051080,915273361.0000
11,2020-03-31,sh.600467,2.2200,2.6700,2.1500,2.6700,753081450,1812638203.0000
12,2020-04-30,sh.600467,2.7000,3.6300,2.4100,2.5400,2308303225,6553575005.0000
13,2020-05-29,sh.600467,2.5000,2.7800,2.4900,2.6700,838508813,2209283162.0000
14,2020-06-30,sh.600467,2.6700,2.9200,2.4700,2.5100,798843112,2137031012.0000
15,2020-07-31,sh.600467,2.5100,3.3600,2.4900,3.3300,1632973609,4713603778.0400
16,2020-08-31,sh.600467,3.2100,3.4100,2.8900,2.9600,1340999375,4217362671.7000
17,2020-09-30,sh.600467,2.9400,3.0300,2.6200,2.6400,443698043,1270913374.5800
18,2020-10-30,sh.600467,2.6600,2.8100,2.4700,2.5000,154394658,413761338.8800
19,2020-11-30,sh.600467,2.4900,2.9700,2.4300,2.8700,688775975,1904380466.0200
20,2020-12-31,sh.600467,2.8300,3.2600,2.7300,2.8200,2021898154,6111484481.5900
21,2021-01-29,sh.600467,2.7800,3.1800,2.4700,2.5000,814578615,2302215926.0500
22,2021-02-26,sh.600467,2.5000,2.7400,2.4500,2.6600,263356711,683025821.8500
23,2021-03-31,sh.600467,2.6300,2.7500,2.5300,2.5600,427317406,1126563251.4600
24,2021-04-30,sh.600467,2.5500,2.9400,2.5300,2.5700,983212139,2700061906.0100
25,2021-05-31,sh.600467,2.5700,2.8600,2.5400,2.7000,594322907,1593351185.9400
26,2021-06-30,sh.600467,2.6900,2.7600,2.5900,2.6700,481054250,1281599305.3600
27,2021-07-30,sh.600467,2.6600,2.6800,2.4100,2.4400,331070716,856330328.6000
28,2021-08-31,sh.600467,2.4300,2.5800,2.4200,2.5500,296992585,741852329.7500
29,2021-09-30,sh.600467,2.5400,2.7100,2.5000,2.5600,475215764,1243183422.8900
30,2021-10-29,sh.600467,2.5700,2.8000,2.5200,2.6200,398530427,1066834215.9400
31,2021-11-30,sh.600467,2.6100,3.0200,2.5300,2.6800,745817381,2075948129.2800
32,2021-12-31,sh.600467,2.6700,2.8900,2.6200,2.8500,622928792,1713978537.0900
33,2022-01-28,sh.600467,2.8700,3.3600,2.6100,2.6800,1248565476,3740428731.1500
34,2022-02-28,sh.600467,2.7000,3.4200,2.6500,3.0500,1084258618,3283131527.6700
35,2022-03-31,sh.600467,3.0300,3.2700,2.6700,3.1600,1136558879,3406574517.5300
36,2022-04-29,sh.600467,3.1800,3.3700,2.3700,2.4900,1227077281,3715923366.4400
37,2022-05-31,sh.600467,2.5100,2.7600,2.4400,2.7200,833221341,2151902585.8200
38,2022-06-30,sh.600467,2.7000,2.9300,2.6000,2.8200,723765325,1959260969.7100
39,2022-07-29,sh.600467,2.7900,2.8200,2.5100,2.6300,630648576,1688785771.5800
40,2022-08-31,sh.600467,2.6000,2.8000,2.4800,2.7500,510565158,1350416399.7800
41,2022-09-30,sh.600467,2.7500,2.8200,2.4100,2.4200,420503166,1110484014.4900
42,2022-10-31,sh.600467,2.4300,2.5700,2.3400,2.3600,267360605,659485529.4300
43,2022-11-30,sh.600467,2.3500,2.5800,2.3500,2.5600,381843555,953974802.2800
44,2022-12-30,sh.600467,2.5700,2.8800,2.5600,2.7700,786055071,2103007148.3600
45,2023-01-31,sh.600467,2.7800,2.7800,2.4900,2.6000,417742793,1093971354.7700
46,2023-02-28,sh.600467,2.6000,2.7000,2.5600,2.6700,427843789,1126533287.5600
47,2023-03-31,sh.600467,2.6700,2.7400,2.4600,2.5100,407365842,1063730556.5500
48,2023-04-28,sh.600467,2.5100,2.5300,2.3700,2.4600,242433205,595786907.5600
49,2023-05-31,sh.600467,2.4500,2.5100,2.4000,2.4400,200846894,496808948.6600
50,2023-06-30,sh.600467,2.4300,2.6300,2.3800,2.4200,358154239,883566187.5600
51,2023-07-31,sh.600467,2.4200,2.6000,2.4000,2.5900,329069192,814722098.4300
52,2023-08-31,sh.600467,2.7000,3.1000,2.4200,2.5900,1848815025,4988544295.9700
53,2023-09-28,sh.600467,2.5600,2.6000,2.4200,2.4400,709076333,1765948874.5600
54,2023-10-31,sh.600467,2.4400,2.4400,2.2500,2.3600,302859252,716045254.2600
55,2023-11-30,sh.600467,2.3700,2.5800,2.3600,2.5100,670131383,1648615809.9200
56,2023-12-29,sh.600467,2.5000,2.5700,2.2800,2.3800,582364416,1420843309.6500
57,2024-01-31,sh.600467,2.3800,2.4500,2.1100,2.1400,450808400,1043412286.6200
58,2024-02-29,sh.600467,2.1400,2.1600,1.7300,2.0700,401692901,799496819.7200
59,2024-03-29,sh.600467,2.0700,2.1600,1.9700,2.1400,416249210,865553153.8600
