,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600535,22.5500,25.2300,21.7300,21.9200,324300498,7612751028.0000
1,2019-05-31,sh.600535,21.2900,21.3000,18.3000,18.3600,214411699,4191672329.0000
2,2019-06-28,sh.600535,18.3500,18.4400,15.8800,16.5500,256678298,4266884166.0000
3,2019-07-31,sh.600535,16.7100,17.5600,16.0000,16.2200,228766606,3851535981.0000
4,2019-08-30,sh.600535,16.1100,18.4400,14.5500,17.0000,403952020,6718380365.0000
5,2019-09-30,sh.600535,17.0200,18.2600,15.4100,15.5800,328872080,5605577595.0000
6,2019-10-31,sh.600535,15.5900,16.2400,14.5700,14.6300,180397429,2766211047.0000
7,2019-11-29,sh.600535,14.6300,15.7100,14.5100,15.2600,223770793,3382171265.0000
8,2019-12-31,sh.600535,15.1100,15.8400,14.7000,15.4200,278810253,4237942359.0000
9,2020-01-23,sh.600535,15.5000,16.9100,15.3600,15.6600,338096186,5418905988.0000
10,2020-02-28,sh.600535,16.4900,17.5000,14.1100,15.2800,581395928,9354263428.0000
11,2020-03-31,sh.600535,15.2800,15.9000,13.3300,13.8200,309689316,4530959879.0000
12,2020-04-30,sh.600535,13.9000,15.0700,13.5200,14.0100,228808058,3299578936.0000
13,2020-05-29,sh.600535,14.0000,15.1000,13.9400,14.7600,187692060,2746846230.0000
14,2020-06-30,sh.600535,14.7300,16.5900,13.9900,16.2200,399592163,6036319636.0000
15,2020-07-31,sh.600535,16.4800,19.4400,16.1100,17.3400,823369574,14543249896.1700
16,2020-08-31,sh.600535,17.3900,18.7600,17.0800,18.0400,400934525,7149437560.3600
17,2020-09-30,sh.600535,18.1200,19.9700,16.4900,16.8800,383146194,7085511005.1200
18,2020-10-30,sh.600535,17.1200,18.2100,16.5800,17.5000,125703008,2185267868.0600
19,2020-11-30,sh.600535,17.4900,18.1100,16.5000,16.6100,175142394,3044824766.4600
20,2020-12-31,sh.600535,16.5900,16.8200,14.4600,14.7900,175479086,2748264853.7100
21,2021-01-29,sh.600535,14.7900,15.7200,13.4600,13.5500,214335315,3080146331.8400
22,2021-02-26,sh.600535,13.6000,14.6300,13.0800,14.0200,153657494,2124440530.0800
23,2021-03-31,sh.600535,14.0600,14.0800,13.1800,13.4600,205732286,2798885888.0200
24,2021-04-30,sh.600535,13.4800,14.1000,13.2000,14.1000,209459509,2844147701.6400
25,2021-05-31,sh.600535,14.1300,14.8500,13.3500,14.5200,302184298,4301098370.1000
26,2021-06-30,sh.600535,14.5800,14.9800,13.3500,14.8100,239324967,3352979402.1800
27,2021-07-30,sh.600535,14.5700,15.4500,12.6900,12.8000,381070261,5375629046.8300
28,2021-08-31,sh.600535,12.7700,13.2300,12.3100,13.1600,210258219,2685808594.7200
29,2021-09-30,sh.600535,13.1000,13.9000,13.0300,13.3000,186881848,2530777749.9500
30,2021-10-29,sh.600535,13.4000,14.2300,13.2500,13.5500,181316056,2496350684.9700
31,2021-11-30,sh.600535,13.4600,13.7400,12.8600,13.5700,158194016,2097488647.5500
32,2021-12-31,sh.600535,13.5800,16.1400,13.4800,15.8500,381983369,5579316682.5900
33,2022-01-28,sh.600535,16.3000,17.2400,13.3500,13.5800,559214280,8734588357.3300
34,2022-02-28,sh.600535,13.7900,15.3300,13.6300,14.9300,244212555,3557831146.1700
35,2022-03-31,sh.600535,14.9400,15.6900,12.9200,15.3100,522349716,7663078018.3900
36,2022-04-29,sh.600535,15.1000,15.4500,9.6600,10.5400,430375090,5553142822.4400
37,2022-05-31,sh.600535,10.4000,11.1300,10.1000,10.3400,210631412,2227593173.7200
38,2022-06-30,sh.600535,10.3200,10.8300,9.9600,10.5100,281348294,2932418334.7500
39,2022-07-29,sh.600535,10.5300,10.8500,10.0600,10.1600,203577801,2130963763.8900
40,2022-08-31,sh.600535,10.1800,10.4100,9.6600,10.1500,157992774,1598235667.1000
41,2022-09-30,sh.600535,10.1700,10.3600,9.2000,9.7600,145345223,1440234685.6600
42,2022-10-31,sh.600535,9.8500,11.6400,9.4400,11.1000,233003360,2493739516.5000
43,2022-11-30,sh.600535,10.9700,13.3300,10.8000,11.7800,576690368,6844989849.8800
44,2022-12-30,sh.600535,11.9500,12.2600,10.4900,10.7600,303494379,3510607719.4300
45,2023-01-31,sh.600535,10.8900,11.8100,10.8900,11.5600,101669754,1158297499.0300
46,2023-02-28,sh.600535,11.5100,14.3800,11.4500,14.1200,345421235,4537602193.1500
47,2023-03-31,sh.600535,14.2100,15.1700,13.2200,15.0500,432204568,6179590423.6200
48,2023-04-28,sh.600535,15.0900,17.1400,14.5000,15.1400,388744997,6098986539.1400
49,2023-05-31,sh.600535,15.1700,16.2500,14.1300,15.7800,301268291,4563995326.4300
50,2023-06-30,sh.600535,15.8500,16.0300,13.7300,14.5100,213869743,3183162557.8500
51,2023-07-31,sh.600535,14.5000,14.7300,13.4600,14.1100,181851554,2565336192.3300
52,2023-08-31,sh.600535,14.0700,14.1500,12.8800,13.9000,243090913,3289653274.5600
53,2023-09-28,sh.600535,13.9500,14.7500,13.0700,14.5200,222898394,3091290754.4100
54,2023-10-31,sh.600535,14.5300,15.1800,13.1100,14.8100,234645033,3320875650.0000
55,2023-11-30,sh.600535,14.7600,15.4800,14.6000,15.3100,237632513,3565895959.7700
56,2023-12-29,sh.600535,15.3600,18.0000,15.1600,17.0200,449597068,7481156310.9700
57,2024-01-31,sh.600535,16.8700,17.6500,14.3300,14.3400,316726496,5126589583.9900
58,2024-02-29,sh.600535,14.3200,17.0900,13.0200,16.8700,303800552,4762999349.5600
59,2024-03-29,sh.600535,16.8100,17.7100,15.7900,16.1100,288235561,4846633236.7800
