,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600584,14.3100,15.2200,12.1000,12.2400,819803904,11669367131.0000
1,2019-05-31,sh.600584,11.8000,16.1500,10.5200,14.8300,1451464154,19710431327.0000
2,2019-06-28,sh.600584,14.8500,14.9500,12.0400,12.8500,1038634418,13949670908.0000
3,2019-07-31,sh.600584,13.2900,14.3200,11.5200,14.1100,886549717,11448493735.0000
4,2019-08-30,sh.600584,14.0000,15.6000,12.7000,14.8800,1303438384,18765359437.0000
5,2019-09-30,sh.600584,14.8900,20.4800,14.5200,17.2100,1675416714,30272474915.0000
6,2019-10-31,sh.600584,17.4800,19.4800,15.7100,18.6600,780596999,13714452886.0000
7,2019-11-29,sh.600584,18.4300,21.5800,17.4300,20.7200,1037382923,20380088619.0000
8,2019-12-31,sh.600584,20.8000,24.6500,20.5500,21.9800,1334982604,30369430367.0000
9,2020-01-23,sh.600584,22.1000,27.6300,21.5200,26.2400,1062189882,25278600441.0000
10,2020-02-28,sh.600584,23.6200,35.1800,22.0000,26.6100,1853894625,53802680251.0000
11,2020-03-31,sh.600584,27.3500,28.4300,19.5300,19.6700,1487451029,36070877505.0000
12,2020-04-30,sh.600584,19.7000,25.1900,19.5700,25.1900,1229099883,26930140088.0000
13,2020-05-29,sh.600584,26.7000,33.4400,26.1000,29.0300,2071508543,60417887633.0000
14,2020-06-30,sh.600584,29.6000,31.9300,26.5100,31.2700,1450902704,42833635657.0000
15,2020-07-31,sh.600584,31.4000,53.4300,30.3300,44.5300,2855846808,117814641869.1900
16,2020-08-31,sh.600584,45.6000,50.6000,39.9000,41.8300,1613961168,73053792727.0300
17,2020-09-30,sh.600584,41.4000,41.8000,33.6000,35.7900,928398811,34096958955.6100
18,2020-10-30,sh.600584,36.6800,39.7700,34.5200,37.0200,463079672,17315464616.4900
19,2020-11-30,sh.600584,38.3400,46.2000,37.1900,44.0600,1459882907,62244592903.2000
20,2020-12-31,sh.600584,43.5500,47.8900,37.1500,42.5700,1314957154,55153649908.6600
21,2021-01-29,sh.600584,42.5000,48.9800,40.1000,40.7600,1721769524,77640186950.0500
22,2021-02-26,sh.600584,40.8700,44.3000,37.9500,39.5600,730289133,29994018846.0300
23,2021-03-31,sh.600584,39.7100,41.7400,32.6800,34.1900,670465772,24383594707.4900
24,2021-04-30,sh.600584,34.7200,39.1800,34.5000,36.8000,816102170,29823055800.0600
25,2021-05-31,sh.600584,36.5000,36.9800,31.1800,34.6500,659609579,22376044744.4300
26,2021-06-30,sh.600584,34.5800,38.1900,33.4000,37.6800,1339903789,48199081703.3800
27,2021-07-30,sh.600584,37.3000,43.0000,34.5100,39.1800,2020251084,78274692426.7300
28,2021-08-31,sh.600584,39.5000,40.3000,32.0300,34.1500,1296793984,47046006324.3900
29,2021-09-30,sh.600584,33.8000,34.6300,31.4000,32.0700,563638983,18647246349.1500
30,2021-10-29,sh.600584,32.3700,33.4900,30.0900,30.9100,511760465,16242411083.4900
31,2021-11-30,sh.600584,30.8400,34.3300,30.6300,33.2000,1273383868,41408511203.9200
32,2021-12-31,sh.600584,32.9900,33.8300,30.1500,31.0200,698499607,22390357581.6500
33,2022-01-28,sh.600584,31.1000,31.1800,26.7100,26.8500,393830672,11411193382.0800
34,2022-02-28,sh.600584,27.2300,28.5000,27.0000,27.9900,310818457,8648018050.7300
35,2022-03-31,sh.600584,28.0000,28.1200,23.1400,24.5800,437835244,11256135674.9900
36,2022-04-29,sh.600584,24.4800,24.7500,19.4900,21.6200,348205327,7922409222.9200
37,2022-05-31,sh.600584,23.1000,24.9700,22.5100,24.2000,522531344,12429428721.9600
38,2022-06-30,sh.600584,24.0600,27.5900,23.2100,27.0000,776900337,19708165721.6100
39,2022-07-29,sh.600584,27.0300,27.2300,23.9400,25.2200,537436856,13756124148.2400
40,2022-08-31,sh.600584,25.0300,30.1800,23.8100,24.7900,1490577168,41231204877.3600
41,2022-09-30,sh.600584,24.7600,25.4200,21.4200,21.4300,362291556,8674488029.5600
42,2022-10-31,sh.600584,21.4300,24.4200,20.4100,24.0800,402724679,9065829044.6500
43,2022-11-30,sh.600584,23.8000,26.0800,23.1900,25.0000,655626502,16080066702.6700
44,2022-12-30,sh.600584,25.2000,25.8300,22.8000,23.0500,447336822,10943666064.0600
45,2023-01-31,sh.600584,23.0800,27.8100,22.9300,26.6800,587854605,15302016637.9800
46,2023-02-28,sh.600584,26.8300,29.8200,26.8000,28.1400,739453473,20795234953.5700
47,2023-03-31,sh.600584,28.1600,34.3900,27.3500,32.4500,1488056673,46421078818.2300
48,2023-04-28,sh.600584,32.5600,38.5500,26.8000,27.5500,1538961106,51976308109.0900
49,2023-05-31,sh.600584,27.4000,31.8200,26.3700,31.2000,854230675,24798402912.6900
50,2023-06-30,sh.600584,30.9200,34.1800,29.4800,31.1700,879064253,28096481461.1900
51,2023-07-31,sh.600584,31.1600,37.0800,30.4100,32.9900,776988038,26282581155.6700
52,2023-08-31,sh.600584,32.9100,34.5500,29.5300,32.6000,487367233,15671828935.1700
53,2023-09-28,sh.600584,32.7000,34.4300,28.7000,30.5000,501042276,15770888927.9200
