,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600623,9.5000,11.4000,8.7300,8.9100,397523073,4015834079.0000
1,2019-05-31,sh.600623,8.7000,8.7000,7.6800,7.8000,236581162,1916180325.0000
2,2019-06-28,sh.600623,7.8000,8.1800,7.4900,7.6400,150139670,1173935778.0000
3,2019-07-31,sh.600623,7.7500,8.2100,7.3900,7.8600,174083199,1350986807.0000
4,2019-08-30,sh.600623,7.8200,7.8800,7.1400,7.3600,127281756,953197461.0000
5,2019-09-30,sh.600623,7.3300,7.7700,7.1800,7.3200,125334038,939914219.0000
6,2019-10-31,sh.600623,7.3200,7.4200,7.0300,7.0400,56537634,410193308.0000
7,2019-11-29,sh.600623,7.0000,7.0500,6.3900,6.6700,67062540,448301719.0000
8,2019-12-31,sh.600623,6.6700,6.8600,6.5300,6.6500,85993811,574735203.0000
9,2020-01-23,sh.600623,6.6800,6.9200,6.3200,6.3800,114992360,772734962.0000
10,2020-02-28,sh.600623,5.7400,6.2000,5.6100,5.7700,217709340,1296623396.0000
11,2020-03-31,sh.600623,5.7700,6.4600,5.3200,5.3500,258182726,1501071173.0000
12,2020-04-30,sh.600623,5.3600,5.5400,5.1000,5.2200,119299465,642262617.0000
13,2020-05-29,sh.600623,5.1800,5.3200,5.0200,5.1700,107892167,557453847.0000
14,2020-06-30,sh.600623,5.1700,5.4000,5.0800,5.1600,104224871,546795997.0000
15,2020-07-31,sh.600623,5.1500,5.9500,5.1400,5.8300,296211811,1680386423.7100
16,2020-08-31,sh.600623,5.8700,6.0900,5.5300,5.6100,180718581,1045975193.1200
17,2020-09-30,sh.600623,5.6500,5.9600,5.4600,5.5100,143976397,817417808.2100
18,2020-10-30,sh.600623,5.6200,5.9100,5.3900,5.4200,89244176,510326264.9800
19,2020-11-30,sh.600623,5.4500,6.6500,5.3900,6.1100,287623778,1776212001.9300
20,2020-12-31,sh.600623,6.1000,6.8500,5.6400,5.8000,353290230,2204223093.9700
21,2021-01-29,sh.600623,5.8000,6.3600,5.3500,6.0800,201571297,1184297370.8900
22,2021-02-26,sh.600623,6.0800,8.4800,6.0300,7.3200,474036619,3487883877.1300
23,2021-03-31,sh.600623,7.3000,8.5600,6.8700,6.8900,583189978,4515107376.8900
24,2021-04-30,sh.600623,6.9500,9.3100,6.9300,8.8400,482822706,3977065958.1000
25,2021-05-31,sh.600623,8.8900,9.6800,7.8400,7.9300,381939015,3266541471.6900
26,2021-06-30,sh.600623,7.9400,9.4000,7.9000,8.8100,419075795,3699565880.3800
27,2021-07-30,sh.600623,8.8500,10.2800,8.0200,9.8000,498885687,4600133618.5300
28,2021-08-31,sh.600623,9.9800,13.2900,9.5100,12.5900,656494231,7568573362.4900
29,2021-09-30,sh.600623,13.0000,16.1500,11.3900,11.7400,775120352,10436692931.4100
30,2021-10-29,sh.600623,11.8400,12.0400,9.9800,10.1100,324126072,3532346575.3200
31,2021-11-30,sh.600623,10.0400,10.8500,8.9400,9.5800,390664107,3737683385.6900
32,2021-12-31,sh.600623,9.5800,9.7900,8.7800,9.1000,457250209,4229945124.7400
33,2022-01-28,sh.600623,9.1000,9.6700,8.2200,8.3600,306491126,2804803822.3400
34,2022-02-28,sh.600623,8.4800,9.4600,8.4700,9.1300,212728514,1942975379.9700
35,2022-03-31,sh.600623,9.1300,9.3900,7.7000,8.4700,284400521,2444354550.8900
36,2022-04-29,sh.600623,8.4300,8.7400,6.6500,7.3900,291073444,2320724479.6400
37,2022-05-31,sh.600623,7.4100,9.0600,7.2000,8.8700,269607562,2156789661.1100
38,2022-06-30,sh.600623,8.7800,8.9900,7.9500,8.3000,348980658,2943609829.6100
39,2022-07-29,sh.600623,8.3100,8.5200,7.2200,7.4300,205890901,1588154632.5700
40,2022-08-31,sh.600623,7.4300,7.6800,7.0700,7.1300,201470462,1494948167.3800
41,2022-09-30,sh.600623,7.1100,7.5500,6.4500,6.4900,150732021,1062977598.6500
42,2022-10-31,sh.600623,6.5000,6.7100,6.0400,6.0700,100441512,646108657.8300
43,2022-11-30,sh.600623,6.0800,6.6400,6.0700,6.4700,183787197,1177143135.2700
44,2022-12-30,sh.600623,6.5200,6.8500,6.2900,6.3200,177093448,1172148685.6000
45,2023-01-31,sh.600623,6.3400,6.6500,6.2900,6.6300,92428535,596200795.6600
46,2023-02-28,sh.600623,6.6300,7.0600,6.6300,7.0000,186084420,1282895374.4000
47,2023-03-31,sh.600623,7.0000,7.0800,6.6600,6.9100,150136566,1036599576.1200
48,2023-04-28,sh.600623,6.9000,6.9600,6.2500,6.4000,131943308,882414601.6300
49,2023-05-31,sh.600623,6.3700,6.7200,6.1400,6.1700,124502258,801411917.0500
50,2023-06-30,sh.600623,6.1500,6.3800,5.9800,6.2300,94920873,590888302.3000
51,2023-07-31,sh.600623,6.2400,6.7200,6.0600,6.6700,130433867,831636521.9800
52,2023-08-31,sh.600623,6.6600,6.7200,6.2400,6.2900,146677950,950187834.6200
53,2023-09-28,sh.600623,6.2500,6.7800,6.2500,6.5100,137016554,902796715.0200
54,2023-10-31,sh.600623,6.4900,6.9400,6.0400,6.8100,153710115,999582942.2300
55,2023-11-30,sh.600623,6.8800,7.1600,6.5500,6.7400,370978332,2521681405.3000
56,2023-12-29,sh.600623,6.7600,6.8700,6.3600,6.4400,244780891,1612878056.6800
57,2024-01-31,sh.600623,6.4200,6.6700,5.6000,6.0300,272931704,1709979175.8700
58,2024-02-29,sh.600623,6.0300,6.2800,5.0100,6.2100,271211587,1595618789.9800
59,2024-03-29,sh.600623,6.1900,6.3200,5.9800,6.1400,223043876,1368419828.9900
