,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600642,5.6700,5.8800,5.4700,5.6000,299537852,1711875414.0000
1,2019-05-31,sh.600642,5.5300,6.0500,5.5000,5.9200,353089867,2053418568.0000
2,2019-06-28,sh.600642,6.0400,6.2600,5.6000,6.0100,272364059,1628642740.0000
3,2019-07-31,sh.600642,6.0900,6.1100,5.6500,5.8600,212649354,1243328900.0000
4,2019-08-30,sh.600642,5.8500,5.8500,5.3900,5.7600,180664439,1019198841.0000
5,2019-09-30,sh.600642,5.7300,5.9100,5.5500,5.5500,163970461,945927446.0000
6,2019-10-31,sh.600642,5.5400,6.0600,5.5200,5.7900,131334074,768981159.0000
7,2019-11-29,sh.600642,5.7700,5.9800,5.6600,5.9300,141333393,820588562.0000
8,2019-12-31,sh.600642,5.9400,6.0600,5.7300,5.8100,165552547,976485273.0000
9,2020-01-23,sh.600642,5.8400,5.8700,5.4900,5.5400,120240017,690878793.0000
10,2020-02-28,sh.600642,4.9900,5.5900,4.9800,5.2700,255318448,1359064095.0000
11,2020-03-31,sh.600642,5.2600,5.4600,5.1000,5.2800,251328108,1327182552.0000
12,2020-04-30,sh.600642,5.2600,5.4200,5.1800,5.3000,123044706,653412311.0000
13,2020-05-29,sh.600642,5.2800,5.3800,5.2100,5.3800,113411278,599612150.0000
14,2020-06-30,sh.600642,5.3800,6.0400,5.2500,5.9100,198017229,1111280607.0000
15,2020-07-31,sh.600642,5.8900,6.1800,5.5500,5.7000,348007564,2062163551.5800
16,2020-08-31,sh.600642,5.7000,5.9900,5.6100,5.7300,201179567,1163396686.0800
17,2020-09-30,sh.600642,5.7000,5.8700,5.4800,5.5000,191252942,1088838249.9300
18,2020-10-30,sh.600642,5.5500,5.7000,5.2000,5.2200,116269410,638131809.1900
19,2020-11-30,sh.600642,5.2600,5.7000,5.2200,5.5800,176996487,972679381.3000
20,2020-12-31,sh.600642,5.5900,5.6300,5.2000,5.2200,277644749,1494256333.1800
21,2021-01-29,sh.600642,5.2500,5.2600,5.1100,5.1100,154007326,797229120.2200
22,2021-02-26,sh.600642,5.1300,5.2900,4.9100,5.2100,167212454,856147914.8300
23,2021-03-31,sh.600642,5.2300,6.3500,5.1900,6.2000,643288231,3698136382.6500
24,2021-04-30,sh.600642,6.0800,6.1100,5.5000,5.6700,361356009,2085897617.6000
25,2021-05-31,sh.600642,5.6800,6.1300,5.6600,6.0900,282051289,1648053879.5000
26,2021-06-30,sh.600642,6.1500,6.5700,5.8900,6.1400,407231897,2553102829.6200
27,2021-07-30,sh.600642,6.1500,6.3200,5.6000,5.7300,269925043,1599419702.3800
28,2021-08-31,sh.600642,5.7800,6.5900,5.6400,6.5100,503828093,3128546533.4700
29,2021-09-30,sh.600642,6.5300,7.9400,6.2800,7.9200,1126847546,8031776316.6300
30,2021-10-29,sh.600642,8.2200,8.3000,6.0000,6.1900,776740543,5322552808.0800
31,2021-11-30,sh.600642,6.1900,6.4700,5.8300,6.1600,498635145,3054142457.8300
32,2021-12-31,sh.600642,6.1500,8.0500,6.1500,7.3700,1490819009,10659493628.2900
33,2022-01-28,sh.600642,7.3300,7.4700,6.4000,6.4600,493546330,3356125206.6300
34,2022-02-28,sh.600642,6.5200,7.1600,6.5200,7.0300,308226893,2109834795.7100
