,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600676,5.3800,6.5500,5.2900,5.4800,474622058,2817583750.0000
1,2019-05-31,sh.600676,5.2800,5.4700,4.8600,5.1600,156388932,810905570.0000
2,2019-06-28,sh.600676,5.2100,5.2100,4.9100,5.0400,116676063,591419140.0000
3,2019-07-31,sh.600676,5.0900,5.1400,4.6000,4.7900,91312974,443389314.0000
4,2019-08-30,sh.600676,4.7500,4.7600,4.2200,4.3800,85338150,382904191.0000
5,2019-09-30,sh.600676,4.3600,4.7100,4.3200,4.3200,88457328,401635092.0000
6,2019-10-31,sh.600676,4.3300,4.4700,4.2000,4.3600,41903592,182537560.0000
7,2019-11-29,sh.600676,4.3500,4.4400,4.0800,4.2200,34412941,145488919.0000
8,2019-12-31,sh.600676,4.2100,4.3700,4.1600,4.3200,86353488,369031580.0000
9,2020-01-23,sh.600676,4.3300,5.2600,4.1700,4.2800,240529566,1129364538.0000
10,2020-02-28,sh.600676,3.8500,4.1100,3.6600,3.8800,162012975,639237184.0000
11,2020-03-31,sh.600676,3.9000,4.4900,3.9000,4.0100,231457428,982303554.0000
12,2020-04-30,sh.600676,4.0000,4.1700,3.7000,3.9700,60659550,242814080.0000
13,2020-05-29,sh.600676,3.9200,4.7800,3.9100,4.6400,166949695,743045337.0000
14,2020-06-30,sh.600676,4.6800,6.0100,4.6700,5.5600,349002145,1879490743.0000
15,2020-07-31,sh.600676,5.6500,6.6400,5.2500,5.8400,428009587,2491482135.8000
16,2020-08-31,sh.600676,5.8500,6.1500,5.3900,5.4900,149906274,869111744.3900
17,2020-09-30,sh.600676,5.4900,5.5900,5.0800,5.4300,103620452,555551222.5700
18,2020-10-30,sh.600676,5.4800,5.8700,5.2900,5.3000,63957390,356026714.7000
19,2020-11-30,sh.600676,5.3000,5.4700,5.1100,5.1400,53521872,281665189.9400
20,2020-12-31,sh.600676,5.1900,5.3400,4.5500,4.8900,83124230,416018996.1300
21,2021-01-29,sh.600676,4.8900,4.9800,4.1300,4.1700,72400278,324114578.8500
22,2021-02-26,sh.600676,4.1700,4.4500,3.8800,4.2300,50756205,211779524.7000
23,2021-03-31,sh.600676,4.2400,4.9200,4.2300,4.6500,102451730,479623613.4200
24,2021-04-30,sh.600676,4.6500,4.8300,4.3500,4.4600,53468126,247362988.1600
25,2021-05-31,sh.600676,4.4600,4.6600,4.3800,4.4200,41757344,188453794.2700
26,2021-06-30,sh.600676,4.4600,4.7900,4.0800,4.1100,63272821,276724975.5800
27,2021-07-30,sh.600676,4.1400,4.6500,4.0000,4.0800,73338536,309539210.6100
28,2021-08-31,sh.600676,4.0800,4.2400,3.9900,4.1900,62049554,253755099.2700
29,2021-09-30,sh.600676,4.1900,4.4100,4.0100,4.1400,82033631,349007681.4400
30,2021-10-29,sh.600676,4.1800,4.3200,3.9800,4.0500,42690266,176464190.0300
31,2021-11-30,sh.600676,4.0200,4.0500,3.9000,4.0300,50126736,200013011.0300
32,2021-12-31,sh.600676,4.0300,4.4500,4.0000,4.3200,97920182,412120050.7200
33,2022-01-28,sh.600676,4.3400,4.4400,4.0200,4.1400,84330237,361695426.7500
34,2022-02-28,sh.600676,4.1900,4.5400,4.1500,4.3600,81661101,358839418.1900
35,2022-03-31,sh.600676,4.4100,5.4100,4.2800,4.6800,457561768,2185136810.1700
36,2022-04-29,sh.600676,4.6600,5.5900,3.6600,3.9400,472766067,2234035953.2900
37,2022-05-31,sh.600676,3.8800,4.5400,3.7600,4.4900,205140323,850455561.1500
38,2022-06-30,sh.600676,4.4900,4.5900,4.1400,4.2000,152286790,657189237.8600
39,2022-07-29,sh.600676,4.2000,4.3600,3.9500,4.1800,122581925,507521848.3600
40,2022-08-31,sh.600676,4.2100,4.2200,3.9100,3.9400,101222241,410173588.4700
41,2022-09-30,sh.600676,3.9400,4.0700,3.5700,3.6200,73005451,283369372.6900
42,2022-10-31,sh.600676,3.6300,3.7700,3.4700,3.5300,51517808,186364526.5300
43,2022-11-30,sh.600676,3.5300,3.9000,3.5200,3.8700,90498568,339102565.6500
44,2022-12-30,sh.600676,3.8800,4.4000,3.7900,3.8700,197645264,802010254.5200
45,2023-01-31,sh.600676,3.8500,4.0400,3.7500,4.0300,67192757,261796457.0600
46,2023-02-28,sh.600676,4.0300,4.1200,3.9700,4.0700,70214772,285349867.2200
47,2023-03-31,sh.600676,4.0700,4.2500,3.9200,4.1500,97621660,396267919.0500
48,2023-04-28,sh.600676,4.0700,4.3200,3.9000,3.9600,124416005,510756532.7000
49,2023-05-31,sh.600676,3.9200,4.3500,3.9200,4.0200,119084104,493171779.0300
50,2023-06-30,sh.600676,4.0000,5.3200,3.9800,4.3700,548900694,2525370502.0500
51,2023-07-31,sh.600676,4.3900,4.5200,4.2300,4.4700,201075536,878202538.1300
52,2023-08-31,sh.600676,4.4800,4.6100,4.0600,4.1400,166457165,726791874.2200
53,2023-09-28,sh.600676,4.1800,4.3100,4.1000,4.2600,94168954,398000364.0700
54,2023-10-31,sh.600676,4.2600,4.3000,3.8700,4.2500,96189335,398405549.5200
55,2023-11-30,sh.600676,4.2600,4.5700,4.2000,4.5300,138157286,604833879.3600
56,2023-12-29,sh.600676,4.5100,4.9800,4.2500,4.4100,395069092,1824581285.5300
57,2024-01-31,sh.600676,4.4300,4.6900,3.6900,3.8100,247283675,1041297632.2300
58,2024-02-29,sh.600676,3.7600,3.7700,2.8900,3.5300,184335210,619128837.1100
59,2024-03-29,sh.600676,3.5400,3.9900,3.4600,3.8700,167013288,626437300.1600
