,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600717,8.8400,9.8400,8.1800,8.2300,347341917,3164130900.0000
1,2019-05-31,sh.600717,8.0500,8.0500,7.4900,7.6000,101634268,783589955.0000
2,2019-06-28,sh.600717,7.6000,7.9500,6.3000,6.4200,91281236,672495264.0000
3,2019-07-31,sh.600717,6.5500,6.5800,6.1200,6.3100,98058373,622985772.0000
4,2019-08-30,sh.600717,6.3100,6.3400,5.8000,6.1200,88606225,537904886.0000
5,2019-09-30,sh.600717,6.1400,6.5300,6.1000,6.1600,99239477,626428071.0000
6,2019-10-31,sh.600717,6.1700,6.4900,6.0900,6.1600,75565287,474586025.0000
7,2019-11-29,sh.600717,6.1900,6.4700,5.9600,6.2200,99188920,615353284.0000
8,2019-12-31,sh.600717,6.2000,6.3200,5.9900,6.2800,99375882,614661966.0000
9,2020-01-23,sh.600717,6.3600,6.5700,6.1500,6.1800,122685734,782046046.0000
10,2020-02-28,sh.600717,5.5600,5.8100,5.3000,5.5500,221199254,1241956967.0000
11,2020-03-31,sh.600717,5.5600,6.0700,5.3000,5.4700,241049126,1374427756.0000
12,2020-04-30,sh.600717,5.4500,5.5400,5.2100,5.3600,91720855,494789486.0000
13,2020-05-29,sh.600717,5.3000,5.4600,5.2500,5.4000,63213761,339323134.0000
14,2020-06-30,sh.600717,5.4000,5.5600,4.4000,4.4200,98565453,505232356.0000
15,2020-07-31,sh.600717,4.4200,5.0300,4.4000,4.6600,395087173,1893883024.1400
16,2020-08-31,sh.600717,4.7100,5.0000,4.6800,4.8300,296744331,1438294804.6500
17,2020-09-30,sh.600717,4.8200,4.8900,4.5100,4.5500,150725075,714120456.5500
18,2020-10-30,sh.600717,4.5800,4.7000,4.5400,4.5900,74388836,344010156.5300
19,2020-11-30,sh.600717,4.5600,5.0900,4.5500,4.8400,307883364,1493230607.2100
20,2020-12-31,sh.600717,4.8300,4.9000,4.5900,4.7800,167749272,796476954.3300
21,2021-01-29,sh.600717,4.7900,4.9400,4.6000,4.6200,250134936,1193114993.7700
22,2021-02-26,sh.600717,4.6200,4.7800,4.4200,4.6500,106846313,492785659.0600
23,2021-03-31,sh.600717,4.6700,5.0100,4.6500,4.9800,277807201,1346446847.1400
24,2021-04-30,sh.600717,4.9500,5.0500,4.7000,4.7200,187863419,920065898.5100
25,2021-05-31,sh.600717,4.7400,4.9100,4.7300,4.7500,139259897,667445835.9300
26,2021-06-30,sh.600717,4.7500,4.8300,3.9000,3.9200,161829116,725412632.7100
27,2021-07-30,sh.600717,3.9200,3.9400,3.7100,3.7400,149114558,575212131.3000
28,2021-08-31,sh.600717,3.7500,3.9700,3.7200,3.9500,193970774,744523360.7900
29,2021-09-30,sh.600717,3.9700,4.6600,3.9600,4.2500,525000408,2290579238.1400
30,2021-10-29,sh.600717,4.3000,4.4800,4.0200,4.0500,214702232,896360422.8400
31,2021-11-30,sh.600717,4.0500,4.0500,3.8100,3.8800,175255734,684520257.4400
32,2021-12-31,sh.600717,3.8800,4.4500,3.8700,4.1900,463047553,1963232882.5500
33,2022-01-28,sh.600717,4.2400,4.4300,4.0100,4.0600,267579901,1130198808.9200
34,2022-02-28,sh.600717,4.1200,4.5600,4.1200,4.4300,344211469,1512939053.8600
35,2022-03-31,sh.600717,4.4100,4.7700,3.8100,4.2800,631744550,2706108053.5800
36,2022-04-29,sh.600717,4.2500,4.7500,3.9100,4.0300,731149216,3211433149.6800
37,2022-05-31,sh.600717,4.0100,4.2300,3.8300,4.2200,451905748,1826751450.4300
38,2022-06-30,sh.600717,4.2000,4.3500,3.9600,4.0100,374148806,1549439567.9600
39,2022-07-29,sh.600717,4.0100,4.1300,3.9300,4.0200,265942882,1071723563.4600
40,2022-08-31,sh.600717,4.0300,4.2300,3.8400,4.1500,306918018,1236506501.5100
41,2022-09-30,sh.600717,4.1600,4.2700,3.9800,4.0000,310889205,1290700470.5700
42,2022-10-31,sh.600717,3.9900,4.2400,3.8800,3.9000,230963398,943339688.6700
43,2022-11-30,sh.600717,3.9100,4.2500,3.8900,4.2000,285387008,1172062411.8900
44,2022-12-30,sh.600717,4.2200,4.4100,3.9700,4.1000,397317171,1661534635.9200
45,2023-01-31,sh.600717,4.0800,4.2300,4.0100,4.1800,185563877,763128495.6400
46,2023-02-28,sh.600717,4.1900,4.2600,4.1400,4.2500,236997171,995657670.5800
47,2023-03-31,sh.600717,4.2600,4.3900,4.0100,4.0600,401519360,1700578306.9900
48,2023-04-28,sh.600717,4.0700,4.8900,4.0600,4.8200,873752932,4003477261.6200
49,2023-05-31,sh.600717,4.8400,5.4300,4.3700,4.5200,823098737,4019158424.0400
50,2023-06-30,sh.600717,4.5000,4.6900,4.2000,4.4300,298918194,1338104804.6300
51,2023-07-31,sh.600717,4.4200,4.7600,4.3400,4.7500,252405683,1142113104.9400
52,2023-08-31,sh.600717,4.7500,4.7800,4.3600,4.4200,341584967,1562994060.9700
53,2023-09-28,sh.600717,4.4200,4.5100,4.2900,4.4100,294851045,1303401214.9000
54,2023-10-31,sh.600717,4.4100,4.4200,4.0700,4.2400,210772068,896060913.9100
55,2023-11-30,sh.600717,4.2600,4.3000,4.1600,4.2400,252746632,1074133095.4700
56,2023-12-29,sh.600717,4.2400,4.3300,4.0600,4.1100,259824739,1092866624.6700
57,2024-01-31,sh.600717,4.1000,4.3100,3.7800,4.1000,370581951,1527536308.8400
58,2024-02-29,sh.600717,4.1000,4.2900,3.8000,4.2700,376856863,1563979588.5900
59,2024-03-29,sh.600717,4.2600,4.4000,4.2000,4.3200,339788833,1455894099.6100
