,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600725,2.8500,3.8900,2.8200,3.3400,221236467,735819208.0000
1,2019-05-31,sh.600725,3.3300,3.6000,2.7500,2.9600,123282578,396677872.0000
2,2019-06-28,sh.600725,2.9600,3.3600,2.8200,3.1300,71848602,226825679.0000
3,2019-07-31,sh.600725,3.1400,3.1900,2.8000,2.8900,41468390,122725218.0000
4,2019-08-30,sh.600725,2.8800,3.1800,2.7400,2.9300,45744527,136949789.0000
5,2019-09-30,sh.600725,2.9400,3.0900,2.8200,2.8900,36832516,108471515.0000
6,2019-10-31,sh.600725,2.8800,3.0600,2.8500,2.8700,27330984,80305570.0000
7,2019-11-29,sh.600725,2.8700,2.9000,2.5900,2.6400,29164507,79380302.0000
8,2019-12-31,sh.600725,2.6300,2.6800,2.5300,2.6100,47603728,123408613.0000
9,2020-01-23,sh.600725,2.6300,2.6500,2.3700,2.5000,59232709,149808458.0000
10,2020-02-28,sh.600725,2.3800,2.4200,2.1100,2.1300,77696937,175865412.0000
11,2020-03-31,sh.600725,2.1300,2.4400,2.1300,2.2700,90584602,206906447.0000
12,2020-04-30,sh.600725,2.2600,2.6000,2.2200,2.4800,78049110,191341963.0000
13,2020-05-29,sh.600725,2.4700,2.4900,2.0600,2.1800,48928498,111479594.0000
14,2020-06-30,sh.600725,2.1700,2.2500,2.0900,2.1600,49321457,105971495.0000
15,2020-07-31,sh.600725,2.1500,2.3900,2.0900,2.1300,133719894,295091051.5200
16,2020-08-31,sh.600725,2.1200,2.1800,2.0600,2.1000,118525217,250711301.5200
17,2020-09-30,sh.600725,2.1000,2.2300,1.9300,1.9900,90360447,189482977.8800
18,2020-10-30,sh.600725,2.0000,2.0600,1.9200,1.9200,26307534,52137254.5000
19,2020-11-30,sh.600725,1.9300,2.0100,1.7900,1.9300,70366888,134051417.6600
20,2020-12-31,sh.600725,1.9300,1.9400,1.6600,1.7100,113587519,200751907.4300
21,2021-01-29,sh.600725,1.7100,1.7700,1.4100,1.6200,132783207,209989520.7900
22,2021-02-26,sh.600725,1.6100,1.8100,1.5800,1.7100,56111800,94684741.9900
23,2021-03-31,sh.600725,1.7100,2.0600,1.7000,1.8200,122107434,227512879.4600
24,2021-04-30,sh.600725,1.8100,1.9700,1.7700,1.9400,84291092,158803648.0300
25,2021-05-31,sh.600725,1.9200,2.7200,1.9200,2.7000,223560258,520724259.7100
26,2021-06-30,sh.600725,2.8300,3.0900,2.4200,2.4400,418632733,1150031936.9100
27,2021-07-30,sh.600725,2.4600,2.7700,2.2500,2.3900,207310043,528910943.2400
28,2021-08-31,sh.600725,2.3800,3.1700,2.3100,3.0700,303356952,853641020.7100
29,2021-09-30,sh.600725,3.0800,5.0400,3.0200,4.0500,968939564,4045831467.6800
30,2021-10-29,sh.600725,4.4000,4.6900,3.3500,3.5700,370759587,1527189952.4600
31,2021-11-30,sh.600725,3.5600,4.3000,3.3500,4.1400,339065655,1297559530.5700
32,2021-12-31,sh.600725,4.1300,4.4500,3.6600,3.7200,345630913,1417400888.9100
33,2022-01-28,sh.600725,3.7900,3.8900,3.2300,3.3000,142995787,518506354.3100
34,2022-02-28,sh.600725,3.3300,3.7800,3.3300,3.5200,114156065,401667461.3000
35,2022-03-31,sh.600725,3.5500,3.9800,3.3100,3.6400,352162541,1300917082.8600
36,2022-04-29,sh.600725,3.6000,4.7500,3.0100,3.3500,518423042,1996061377.5000
37,2022-05-31,sh.600725,3.4000,4.5100,3.2500,4.3700,521497725,2085454579.3900
38,2022-06-30,sh.600725,4.3500,4.7400,4.0700,4.5900,507089006,2228824193.4600
39,2022-07-29,sh.600725,4.6100,4.6300,3.8700,3.9000,244441569,1012119470.1200
40,2022-08-31,sh.600725,3.8500,4.1500,3.6700,3.8900,215208467,854402867.0400
41,2022-09-30,sh.600725,3.9000,4.1100,3.4300,3.4700,160781077,612063080.5200
42,2022-10-31,sh.600725,3.5000,3.5500,3.1000,3.1600,101144455,341910057.5500
43,2022-11-30,sh.600725,3.1500,3.6000,3.1500,3.4300,121656972,413088920.3700
44,2022-12-30,sh.600725,3.4700,3.5400,3.1200,3.1600,138295409,463497636.3600
45,2023-01-31,sh.600725,3.1500,3.3000,3.1200,3.2900,79462098,253169672.8600
46,2023-02-28,sh.600725,3.3000,3.4400,3.2700,3.3400,110544972,370433018.7400
47,2023-03-31,sh.600725,3.3400,3.4700,2.9200,3.0000,159412232,510438050.2900
48,2023-04-28,sh.600725,3.0000,3.0100,2.8300,2.9400,106310009,310535481.9300
49,2023-05-31,sh.600725,2.9400,3.0600,2.7600,2.7700,79032276,232536849.2500
50,2023-06-30,sh.600725,2.7700,2.8100,2.4800,2.6900,102304919,271923361.2400
51,2023-07-31,sh.600725,2.7100,2.9300,2.6800,2.9100,85142122,237490309.1300
52,2023-08-31,sh.600725,2.9000,2.9700,2.6400,2.6900,140185108,392402841.4100
53,2023-09-28,sh.600725,2.7200,3.3900,2.6700,2.9100,505164890,1555820905.7800
54,2023-10-31,sh.600725,2.9000,2.9400,2.6800,2.7900,148230893,418070720.8600
55,2023-11-30,sh.600725,2.8000,3.0400,2.7000,2.9500,233028442,674068478.2100
56,2023-12-29,sh.600725,2.9500,4.3300,2.7700,2.9000,1024365142,3418881800.6500
57,2024-01-31,sh.600725,2.9200,3.1400,2.5400,2.6000,598863934,1742560731.3800
58,2024-02-29,sh.600725,2.6000,3.0000,1.8900,2.7200,350728323,835705440.9900
59,2024-03-29,sh.600725,2.6500,2.8700,2.4700,2.7900,340894374,912698509.3400
