,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600748,9.0000,12.9800,8.9700,10.2100,705320773,7723747126.0000
1,2019-05-31,sh.600748,9.5000,11.3900,9.0500,10.2000,498787312,4986108379.0000
2,2019-06-28,sh.600748,10.2000,10.2400,7.6000,8.2900,333620940,2756209960.0000
3,2019-07-31,sh.600748,8.4000,9.4200,8.2800,8.6500,320069972,2845453138.0000
4,2019-08-30,sh.600748,8.7400,8.7400,6.3400,6.7900,319544018,2262866264.0000
5,2019-09-30,sh.600748,6.8200,7.2800,5.9600,5.9700,277634386,1900880217.0000
6,2019-10-31,sh.600748,5.9200,7.9800,5.9200,6.3500,372026126,2582684709.0000
7,2019-11-29,sh.600748,6.4400,6.9700,5.6600,5.8200,256799688,1580881292.0000
8,2019-12-31,sh.600748,5.4900,6.1400,5.4600,5.9400,168335019,983941437.0000
9,2020-01-23,sh.600748,6.0200,6.1200,5.3200,5.3700,169347947,992015279.0000
10,2020-02-28,sh.600748,4.8300,5.7200,4.3500,5.1300,356204234,1805406039.0000
11,2020-03-31,sh.600748,5.1500,7.0000,4.8600,5.0900,821920959,4699522251.0000
12,2020-04-30,sh.600748,5.0900,6.0900,4.9000,5.1700,408591016,2190274107.0000
13,2020-05-29,sh.600748,5.1200,5.2000,4.9700,5.1400,184377570,938960594.0000
14,2020-06-30,sh.600748,5.1300,5.3800,5.0300,5.1100,195525357,1012605477.0000
15,2020-07-31,sh.600748,5.1100,6.2800,5.1000,5.4500,613817343,3559392838.2800
16,2020-08-31,sh.600748,5.5000,6.2100,5.3800,5.8600,394056765,2253108194.3300
17,2020-09-30,sh.600748,5.8400,6.8400,5.5400,5.6000,625398543,3883556404.7700
18,2020-10-30,sh.600748,5.6500,5.8800,5.0700,5.0700,154309733,852359297.1700
19,2020-11-30,sh.600748,5.0900,5.4700,5.0400,5.3400,199764741,1048929462.4900
20,2020-12-31,sh.600748,5.3200,5.4700,4.8400,4.9100,132532698,681808181.8000
21,2021-01-29,sh.600748,4.9000,5.0000,4.4500,4.5300,165041115,776045822.3400
22,2021-02-26,sh.600748,4.5100,4.9400,4.3000,4.6900,102890517,473520580.5500
23,2021-03-31,sh.600748,4.7100,4.8800,4.6100,4.8100,130204364,615585835.7800
24,2021-04-30,sh.600748,4.7800,4.9300,4.6600,4.7000,117507870,562641627.5000
25,2021-05-31,sh.600748,4.6900,4.9800,4.6700,4.8400,115528475,563079651.0200
26,2021-06-30,sh.600748,4.8400,5.2800,4.5300,4.6000,180837476,876271428.1800
27,2021-07-30,sh.600748,4.6100,4.6800,4.0300,4.0600,93437305,414727716.8100
28,2021-08-31,sh.600748,4.0300,4.2500,4.0000,4.1000,160938018,660326491.9200
29,2021-09-30,sh.600748,4.1000,4.3400,4.0300,4.1100,205869157,862357297.2200
30,2021-10-29,sh.600748,4.1200,4.2200,3.8200,3.8800,77219259,314333059.4400
31,2021-11-30,sh.600748,3.8800,3.9500,3.7300,3.8100,123978544,474191655.1600
32,2021-12-31,sh.600748,3.8100,4.4500,3.8000,4.0500,265435228,1079448576.8400
33,2022-01-28,sh.600748,4.0300,4.2800,3.7400,3.7800,285522919,1145683000.1400
34,2022-02-28,sh.600748,3.8000,4.1100,3.7900,3.8800,116632398,463946418.2700
35,2022-03-31,sh.600748,3.8900,4.7900,3.4700,4.6400,503498108,2150275898.8900
36,2022-04-29,sh.600748,4.5300,5.2100,3.5300,4.0200,927393515,4170267798.5300
37,2022-05-31,sh.600748,3.9600,4.2000,3.6600,3.9000,430393514,1690053585.1600
38,2022-06-30,sh.600748,3.9100,3.9800,3.5700,3.7000,279570376,1051315843.4300
39,2022-07-29,sh.600748,3.7200,3.7400,3.3600,3.5600,193621377,689056010.1500
40,2022-08-31,sh.600748,3.5700,3.5800,3.2700,3.3600,152629916,515011589.9300
41,2022-09-30,sh.600748,3.3600,3.7000,3.1100,3.1700,224971119,780624111.9200
42,2022-10-31,sh.600748,3.1900,3.2600,2.8800,2.9300,111811955,341404103.9500
43,2022-11-30,sh.600748,2.9300,4.0400,2.9100,3.7700,337354435,1178580660.1500
44,2022-12-30,sh.600748,3.8200,4.1300,3.4200,3.4400,488004920,1812461597.9700
45,2023-01-31,sh.600748,3.4500,3.6300,3.2200,3.6300,153970442,521569904.3000
46,2023-02-28,sh.600748,3.6100,3.7500,3.4900,3.6500,202678623,733393058.9300
47,2023-03-31,sh.600748,3.6600,3.7200,3.4400,3.5000,183497102,656494709.6900
48,2023-04-28,sh.600748,3.5000,3.7400,3.3700,3.5800,194870487,697766616.2300
49,2023-05-31,sh.600748,3.6600,4.7400,3.6500,3.8600,789349226,3312980494.1500
50,2023-06-30,sh.600748,3.8600,4.4200,3.7500,3.9500,562457876,2326701329.9700
51,2023-07-31,sh.600748,3.9300,5.0700,3.8500,5.0700,991484412,4229561014.5800
52,2023-08-31,sh.600748,5.3200,5.4700,4.3300,4.4100,1304563901,6340919640.5900
53,2023-09-28,sh.600748,4.5000,4.5400,3.9000,3.9100,379441691,1569672422.4500
54,2023-10-31,sh.600748,3.9000,3.9100,3.5800,3.7900,232079281,867020559.6400
55,2023-11-30,sh.600748,3.8000,3.9800,3.6000,3.6400,432679073,1626102223.5000
56,2023-12-29,sh.600748,3.6300,3.9500,3.3800,3.4900,620870443,2276909944.9400
57,2024-01-31,sh.600748,3.4900,4.2500,3.1000,3.6300,822260205,3062891168.8900
58,2024-02-29,sh.600748,3.6100,3.6500,2.8000,3.2500,570901264,1824519368.0500
59,2024-03-29,sh.600748,3.2400,3.4300,3.0600,3.2300,592388949,1909632773.0600
