,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600795,2.6800,2.8900,2.6200,2.7100,1965936005,5443031269.0000
1,2019-05-31,sh.600795,2.6900,2.6900,2.4600,2.5200,1034297674,2623310099.0000
2,2019-06-28,sh.600795,2.5100,2.6000,2.4800,2.5400,740770397,1886553994.0000
3,2019-07-31,sh.600795,2.5500,2.5800,2.4600,2.5500,888397292,2246292549.0000
4,2019-08-30,sh.600795,2.5400,2.5800,2.4100,2.4600,774614525,1920276564.0000
5,2019-09-30,sh.600795,2.4600,2.5200,2.3900,2.3900,836556639,2063746865.0000
6,2019-10-31,sh.600795,2.3900,2.4200,2.3200,2.3300,635573844,1503332058.0000
7,2019-11-29,sh.600795,2.3300,2.3600,2.1800,2.2600,844820107,1919764411.0000
8,2019-12-31,sh.600795,2.2600,2.3500,2.2300,2.3400,921900547,2122951344.0000
9,2020-01-23,sh.600795,2.3500,2.3700,2.2100,2.2200,745462644,1728221861.0000
10,2020-02-28,sh.600795,2.0000,2.1800,1.9900,2.1000,1447909429,3045258993.0000
11,2020-03-31,sh.600795,2.0900,2.1800,2.0000,2.0300,1611110880,3363421063.0000
12,2020-04-30,sh.600795,2.0300,2.1200,1.9700,1.9900,1072922355,2172129043.0000
13,2020-05-29,sh.600795,1.9800,1.9900,1.7900,1.8200,886876937,1676657978.0000
14,2020-06-30,sh.600795,1.8200,1.9000,1.7900,1.8500,933508352,1717706333.0000
15,2020-07-31,sh.600795,1.8500,2.0700,1.8400,2.0400,2744218136,5455945038.7300
16,2020-08-31,sh.600795,2.0400,2.2000,2.0200,2.0500,1715427548,3577185479.1900
17,2020-09-30,sh.600795,2.0400,2.1900,2.0100,2.0200,1357851843,2872392274.9400
18,2020-10-30,sh.600795,2.0400,2.0800,1.9600,1.9600,459298882,928626102.3400
19,2020-11-30,sh.600795,1.9800,2.2000,1.9800,2.1500,1167036340,2465651686.5100
20,2020-12-31,sh.600795,2.1600,2.3000,2.0300,2.2500,1953034914,4242608444.9900
21,2021-01-29,sh.600795,2.2400,2.2500,2.0500,2.1000,860191983,1831483777.5600
22,2021-02-26,sh.600795,2.1000,2.1700,2.0300,2.0900,566935390,1187920027.3200
23,2021-03-31,sh.600795,2.0900,2.4000,2.0900,2.2900,2520951446,5631577446.4900
24,2021-04-30,sh.600795,2.3500,2.3800,2.2000,2.2700,1330351213,3041387486.3100
25,2021-05-31,sh.600795,2.2600,2.4900,2.2600,2.4200,1276835163,3065745094.1000
26,2021-06-30,sh.600795,2.4200,2.5300,2.3700,2.4300,1037673008,2545407121.6700
27,2021-07-30,sh.600795,2.4400,2.4400,2.2100,2.2900,743265384,1722662697.2900
28,2021-08-31,sh.600795,2.3000,2.5900,2.2700,2.4700,1615337036,3929619016.1500
29,2021-09-30,sh.600795,2.4800,3.6800,2.4800,3.2500,6600386376,20710838617.4800
