,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600836,5.2300,6.1800,4.4600,4.5900,335591064,1852288463.0000
1,2019-05-31,sh.600836,4.5300,4.5400,4.0300,4.2300,163453024,696808703.0000
2,2019-06-28,sh.600836,4.1600,4.4900,3.9000,4.2500,124840902,521848742.0000
3,2019-07-31,sh.600836,4.3100,4.6600,4.0000,4.0100,153056217,646555407.0000
4,2019-08-30,sh.600836,3.9700,4.4200,3.6200,3.9700,136550113,551102814.0000
5,2019-09-30,sh.600836,3.9700,4.2500,3.8100,3.8300,93680768,381889290.0000
6,2019-10-31,sh.600836,3.8600,4.2500,3.8000,4.0000,86362878,353563319.0000
7,2019-11-29,sh.600836,3.9600,4.7900,3.6300,4.3700,285495193,1258198027.0000
8,2019-12-31,sh.600836,4.4100,5.8900,4.2200,4.9700,563110666,2881819974.0000
9,2020-01-23,sh.600836,5.0100,5.1100,4.2300,4.2300,159930817,759473177.0000
10,2020-02-28,sh.600836,3.8100,4.6500,3.4300,4.2500,194768008,816995348.0000
11,2020-03-31,sh.600836,4.3800,5.8100,4.2100,5.3300,385057573,1917575216.0000
12,2020-04-30,sh.600836,5.1500,6.6400,4.8100,5.1000,459666288,2632609917.0000
13,2020-05-29,sh.600836,4.9000,5.3600,4.1900,4.5300,124785166,593618607.0000
14,2020-06-30,sh.600836,4.5400,5.1000,4.5100,4.9600,68770707,339929308.0000
15,2020-07-31,sh.600836,4.9600,5.6800,4.8400,5.3000,152950162,801751372.6000
16,2020-08-31,sh.600836,5.3000,5.9100,5.1500,5.4100,82168032,455601905.1100
17,2020-09-30,sh.600836,5.4400,5.5700,4.4500,4.4500,54338203,288231845.8200
18,2020-10-30,sh.600836,4.2300,4.6600,4.0800,4.2900,202585502,875055196.9200
19,2020-11-30,sh.600836,4.2100,5.3400,4.2100,5.0800,129585909,619736334.8900
20,2020-12-31,sh.600836,5.0800,5.5800,4.7600,4.9200,120758140,608524598.3800
21,2021-01-29,sh.600836,4.9100,5.5000,4.7500,5.0000,124507191,637745633.1400
22,2021-02-26,sh.600836,5.0000,5.1600,4.3400,4.9700,91197531,437713513.8000
