,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600860,8.7500,10.4000,6.9800,7.6800,476841883,4363104131.0000
1,2019-05-31,sh.600860,7.3000,8.5800,6.9100,7.2200,284744387,2243700869.0000
2,2019-06-28,sh.600860,7.2200,7.2800,6.1100,6.8500,137456415,926598279.0000
3,2019-07-31,sh.600860,6.9400,7.3800,6.1800,6.7700,154917643,1057278279.0000
4,2019-08-30,sh.600860,6.6600,6.8200,5.4300,5.7000,94613838,557538883.0000
5,2019-09-30,sh.600860,5.6000,6.7000,5.5300,5.6300,106937721,653905172.0000
6,2019-10-31,sh.600860,5.6600,5.8300,5.3500,5.4900,49637591,276187390.0000
7,2019-11-29,sh.600860,5.4200,5.4600,4.8800,5.0600,37038862,188939604.0000
8,2019-12-31,sh.600860,5.0300,6.4500,4.9500,6.0000,190959231,1131304677.0000
9,2020-01-23,sh.600860,5.9900,6.2300,4.8600,4.8600,67899857,405681468.0000
10,2020-02-28,sh.600860,4.3700,5.1200,3.9300,4.4300,117086349,532755398.0000
11,2020-03-31,sh.600860,4.4600,5.1300,3.7000,3.7000,100022642,449412694.0000
12,2020-04-30,sh.600860,3.5200,3.6800,3.0100,3.2200,81739822,274131148.0000
13,2020-05-29,sh.600860,3.1800,3.4900,3.0100,3.4400,40974720,130397086.0000
14,2020-06-30,sh.600860,3.4400,4.4500,3.2300,3.9200,59754282,229033184.0000
15,2020-07-31,sh.600860,4.0000,4.1000,3.5000,3.9800,64824909,242256633.9900
16,2020-08-31,sh.600860,4.1200,4.7700,3.9900,4.1600,18563341,80018080.8400
17,2020-09-30,sh.600860,4.1400,4.4300,3.8800,3.9400,23157650,96682579.9800
18,2020-10-30,sh.600860,3.9900,4.0200,3.6800,3.7500,8814221,34120365.6600
19,2020-11-30,sh.600860,3.7100,4.1400,3.6800,3.9600,13916821,55114697.0200
20,2020-12-31,sh.600860,3.9700,4.6100,3.9400,4.3800,25156234,106614662.7600
21,2021-01-29,sh.600860,4.3800,4.5000,3.8400,4.1900,20369417,86283190.2500
22,2021-02-26,sh.600860,4.1800,4.2600,3.9100,4.2300,11012104,45074026.9300
23,2021-03-31,sh.600860,4.2700,5.9200,4.1800,5.9000,76371162,385115262.0000
24,2021-04-30,sh.600860,5.9000,6.4600,4.8800,5.2700,252683543,1427484097.9200
25,2021-05-31,sh.600860,5.2900,5.4100,4.6600,4.8800,72197969,363694835.3300
26,2021-06-30,sh.600860,4.9000,6.4500,4.8600,5.5100,177823462,1013226752.6200
27,2021-07-30,sh.600860,5.4800,6.8000,5.1400,6.5600,191507905,1187409065.6800
28,2021-08-31,sh.600860,6.5400,8.7800,6.4100,7.7000,318142560,2416649500.2700
29,2021-09-30,sh.600860,7.6900,8.1800,6.0700,6.4600,106176169,757422082.6400
30,2021-10-29,sh.600860,6.6000,6.6400,5.8600,6.0200,47569232,299256245.6700
31,2021-11-30,sh.600860,6.0100,9.4800,5.8600,8.8600,323701338,2637784893.2700
32,2021-12-31,sh.600860,8.8000,28.8000,8.7000,19.7000,1036046173,20323632180.1100
33,2022-01-28,sh.600860,18.9900,26.6600,14.5800,15.0500,821414565,16709211882.5700
34,2022-02-28,sh.600860,15.4000,17.6300,13.6500,16.2600,463547164,7062543289.4200
35,2022-03-31,sh.600860,16.1200,26.1900,14.0200,19.3000,954413410,18396169416.5700
36,2022-04-29,sh.600860,19.3000,22.8800,14.3900,15.8200,581073934,10757498994.9400
37,2022-05-31,sh.600860,15.7800,19.5400,15.0800,18.1100,490234412,8663247171.1900
38,2022-06-30,sh.600860,17.9000,19.9800,16.6600,18.3600,434298318,7842936166.0200
39,2022-07-29,sh.600860,18.2600,19.5000,17.0900,17.9800,299387113,5386743778.7900
40,2022-08-31,sh.600860,17.6700,19.7000,17.1400,18.0600,383618856,7010760856.9200
41,2022-09-30,sh.600860,17.8200,18.5000,13.3700,13.5600,189916647,3128436038.7100
42,2022-10-31,sh.600860,13.6100,14.5200,13.0400,13.1400,93474203,1295414426.0700
43,2022-11-30,sh.600860,13.1400,17.4900,13.1300,15.4600,193191500,2937719536.4100
44,2022-12-30,sh.600860,15.4800,16.6600,13.6300,13.8300,138677290,2094815262.7900
45,2023-01-31,sh.600860,13.8200,15.1500,13.8200,14.8600,58606461,844103595.5400
46,2023-02-28,sh.600860,14.8500,16.6100,14.6200,15.0000,166428171,2601924298.7500
47,2023-03-31,sh.600860,14.9900,15.5600,13.4100,14.6900,157130313,2266367328.2500
48,2023-04-28,sh.600860,14.6000,15.0800,11.8100,12.2900,132835335,1856709309.7700
49,2023-05-31,sh.600860,12.1400,12.2900,10.7800,10.9500,79590073,910296855.0000
50,2023-06-30,sh.600860,10.9500,15.2800,10.0200,12.9800,265830934,3413561801.7100
51,2023-07-31,sh.600860,13.1500,14.3700,12.0400,12.3900,497797875,6517479961.4800
52,2023-08-31,sh.600860,12.5500,15.1000,11.7400,13.1500,545888953,7340594942.5500
53,2023-09-28,sh.600860,13.0500,13.7900,11.6700,12.0000,186853040,2377683290.8100
54,2023-10-31,sh.600860,12.0700,13.2300,11.0300,11.1600,129299221,1548125489.2700
55,2023-11-30,sh.600860,11.1700,14.4400,11.1200,13.8300,309213568,4031376085.4400
56,2023-12-29,sh.600860,13.6100,14.2000,12.2200,13.3900,226935941,2991225051.9200
57,2024-01-31,sh.600860,13.4000,14.0600,9.4500,9.4500,274267564,3435599019.7500
58,2024-02-29,sh.600860,9.4600,12.5300,7.1000,12.5300,265838759,2665825500.1700
59,2024-03-29,sh.600860,13.7800,13.7800,10.3700,10.9400,504832143,5919140961.8600
