,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600909,7.1800,7.9800,6.4400,6.6700,1082452295,7925713786.0000
1,2019-05-31,sh.600909,6.4600,6.5600,5.9800,6.1600,448578266,2802989819.0000
2,2019-06-28,sh.600909,6.1800,6.7400,5.8200,6.5400,511290127,3259370256.0000
3,2019-07-31,sh.600909,6.7100,6.9800,6.4100,6.5400,585710498,3921583719.0000
4,2019-08-30,sh.600909,6.5100,6.8800,5.8600,6.4000,437627511,2785013071.0000
5,2019-09-30,sh.600909,6.4000,7.0200,6.1500,6.1600,502183904,3342775527.0000
6,2019-10-31,sh.600909,6.1900,6.5100,6.1100,6.3000,194902629,1225365268.0000
7,2019-11-29,sh.600909,6.2900,6.4500,5.9000,5.9800,222869508,1367659912.0000
8,2019-12-31,sh.600909,6.0200,7.7200,5.9300,7.3000,1450357680,10314923392.0000
9,2020-01-23,sh.600909,7.4800,7.8800,6.8700,6.9700,1186282146,8777407000.0000
10,2020-02-28,sh.600909,6.2700,8.8000,5.8100,7.7000,2329310802,17790545653.0000
11,2020-03-31,sh.600909,7.8500,9.7800,7.3300,7.7200,2841629166,23862412356.0000
12,2020-04-30,sh.600909,7.6800,7.9800,6.9300,7.2500,1078995015,8076370262.0000
13,2020-05-29,sh.600909,7.1100,7.6300,6.7500,7.1000,546678161,3941899544.0000
14,2020-06-30,sh.600909,7.3100,7.4900,6.3800,6.8300,911396974,6302156539.0000
15,2020-07-31,sh.600909,6.7600,9.6500,6.7400,8.0900,3107620377,26107047415.1300
16,2020-08-31,sh.600909,8.2600,9.4500,7.9900,9.0000,3024866981,26546171639.8600
17,2020-09-30,sh.600909,8.8800,9.5600,7.8500,8.7700,2902517417,25646656770.3900
18,2020-10-30,sh.600909,8.9100,9.2300,7.9200,7.9600,1195632814,10355564441.0300
19,2020-11-30,sh.600909,7.9800,8.5300,7.7800,8.1400,917226977,7521048001.2100
20,2020-12-31,sh.600909,8.1300,8.6300,7.2700,8.0000,969908968,7764314615.4600
21,2021-01-29,sh.600909,8.0500,8.3000,6.6600,6.7300,887717833,6770098306.9200
22,2021-02-26,sh.600909,6.7500,7.0400,6.3500,6.7400,331067672,2213160928.0900
23,2021-03-31,sh.600909,6.7500,6.9300,6.3500,6.3900,469772803,3113870204.0300
24,2021-04-30,sh.600909,6.4000,6.5200,6.0300,6.0900,307107123,1925263650.5200
25,2021-05-31,sh.600909,6.1100,6.5400,5.9100,6.2500,583828077,3651954745.5300
26,2021-06-30,sh.600909,6.2900,6.2900,5.5000,5.5700,617900734,3566606755.2600
27,2021-07-30,sh.600909,5.6100,5.6400,5.0700,5.0800,516127946,2756828452.9300
28,2021-08-31,sh.600909,5.0700,5.5200,4.9900,5.4000,773027445,4086896487.9400
29,2021-09-30,sh.600909,5.3800,5.9300,5.3000,5.3600,997716287,5624119817.3000
30,2021-10-29,sh.600909,5.3900,5.4500,5.0500,5.1100,331249548,1739008894.7100
31,2021-11-30,sh.600909,5.1200,5.2800,4.9900,5.0900,397988139,2044344586.4900
32,2021-12-31,sh.600909,5.0700,5.4400,5.0600,5.4100,734542211,3898467513.1500
33,2022-01-28,sh.600909,5.4100,5.4900,4.9900,5.0100,546580566,2883384038.9100
34,2022-02-28,sh.600909,5.0700,5.2400,4.9000,4.9100,304265250,1546868135.7900
35,2022-03-31,sh.600909,4.9100,5.1000,4.5000,4.9500,609707276,2919427808.1100
36,2022-04-29,sh.600909,4.8900,5.1500,4.1800,4.3700,1543779123,7404217553.1700
37,2022-05-31,sh.600909,4.2800,4.3300,4.0700,4.2800,690688761,2917629349.5400
38,2022-06-30,sh.600909,4.2700,5.1500,4.2300,4.5500,1444185067,6671962805.6500
39,2022-07-29,sh.600909,4.5600,4.5800,4.2700,4.3300,453545251,1999294304.5700
40,2022-08-31,sh.600909,4.3200,5.2800,4.1100,4.9700,1212448626,5749546160.4500
41,2022-09-30,sh.600909,4.9300,5.0200,4.5400,4.5500,798003974,3845472127.7100
42,2022-10-31,sh.600909,4.5500,5.2700,4.3900,4.4100,1078154886,5253727913.0400
43,2022-11-30,sh.600909,4.4200,5.1500,4.3900,4.9300,1190187141,5771405404.7800
44,2022-12-30,sh.600909,4.9900,5.1400,4.4900,4.5900,688534962,3328103815.0500
45,2023-01-31,sh.600909,4.5900,5.1000,4.5000,5.0000,638534737,3092517473.7300
46,2023-02-28,sh.600909,5.0100,5.3200,4.8500,4.9400,848744343,4260519518.1700
47,2023-03-31,sh.600909,4.9200,5.0100,4.6800,4.8200,523313845,2543479652.6200
48,2023-04-28,sh.600909,4.8200,5.0500,4.7100,4.9900,700033980,3440398582.1700
49,2023-05-31,sh.600909,4.9300,5.3100,4.8100,4.9000,711919983,3594330722.1400
50,2023-06-30,sh.600909,4.9000,4.9300,4.5800,4.6700,370078404,1774386339.4900
51,2023-07-31,sh.600909,4.6700,5.7500,4.6400,5.5100,793585361,4077124109.8900
52,2023-08-31,sh.600909,5.4400,6.0300,4.9900,4.9900,3029591438,16826172118.2400
53,2023-09-28,sh.600909,5.0100,5.0300,4.8000,4.8100,924695605,4522480174.9300
54,2023-10-31,sh.600909,4.7900,4.8700,4.5900,4.8300,606420688,2878957055.6400
55,2023-11-30,sh.600909,4.8600,5.1000,4.7600,4.8700,847879815,4200518176.3600
56,2023-12-29,sh.600909,4.8800,4.9400,4.5300,4.8800,528366066,2537065204.1400
57,2024-01-31,sh.600909,4.8800,4.9000,4.2300,4.4800,725132798,3329394656.7000
58,2024-02-29,sh.600909,4.4500,4.8600,4.0400,4.8200,856580607,3913918857.3100
59,2024-03-29,sh.600909,4.8100,4.8500,4.4700,4.5900,655611573,3072809094.9200
