,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600936,5.0500,5.6100,4.5000,4.6000,317801529,1637806539.0000
1,2019-05-31,sh.600936,4.5500,4.7000,4.1200,4.3500,129009375,564338725.0000
2,2019-06-28,sh.600936,4.3400,5.3500,4.2000,4.8500,352337607,1715323881.0000
3,2019-07-31,sh.600936,4.9300,4.9700,4.3500,4.3900,85767089,396181707.0000
4,2019-08-30,sh.600936,4.3900,4.4100,3.8100,4.1000,70886786,291778152.0000
5,2019-09-30,sh.600936,4.0900,4.4800,3.9900,4.0000,73101020,313096336.0000
6,2019-10-31,sh.600936,4.0000,4.1600,3.7500,3.7700,52081634,209431575.0000
7,2019-11-29,sh.600936,3.7700,3.8100,3.4000,3.5200,49765680,179298363.0000
8,2019-12-31,sh.600936,3.5200,4.1000,3.4600,3.8400,122621782,464841034.0000
9,2020-01-23,sh.600936,3.8600,4.1600,3.6600,3.7200,98177903,389821967.0000
10,2020-02-28,sh.600936,3.3500,4.3600,3.2600,3.6600,288564891,1133960970.0000
11,2020-03-31,sh.600936,3.6800,4.2800,3.6500,3.6700,206439970,810763397.0000
12,2020-04-30,sh.600936,3.6600,3.9000,3.4700,3.6000,74838298,280191823.0000
13,2020-05-29,sh.600936,3.5800,4.2300,3.5600,4.1200,244170729,955468896.0000
14,2020-06-30,sh.600936,4.1300,4.3300,3.8100,3.8500,260749206,1046910738.0000
15,2020-07-31,sh.600936,3.8500,4.4500,3.8100,4.1000,261726144,1084392914.7200
16,2020-08-31,sh.600936,4.1100,4.5900,4.0400,4.1600,247751021,1067901314.0300
17,2020-09-30,sh.600936,4.1500,4.1900,3.7600,3.7700,77321805,312115734.9600
18,2020-10-30,sh.600936,3.7900,3.9200,3.5000,3.5200,35268580,132953200.6700
19,2020-11-30,sh.600936,3.5200,3.7600,3.4600,3.6900,72714654,263758633.1800
20,2020-12-31,sh.600936,3.6800,3.7300,3.2500,3.3300,53625051,186780939.2800
21,2021-01-29,sh.600936,3.3300,3.3600,2.8800,2.9200,72299220,223993193.9500
22,2021-02-26,sh.600936,2.9200,3.0500,2.6900,2.9200,49232023,141533614.3300
23,2021-03-31,sh.600936,2.9100,3.1000,2.9000,2.9800,88212529,265224448.5700
24,2021-04-30,sh.600936,2.9500,3.1000,2.8100,2.8200,88211151,261600970.9700
25,2021-05-31,sh.600936,2.8200,3.0600,2.8100,2.9100,81205225,238750817.5900
26,2021-06-30,sh.600936,2.9100,3.0300,2.8500,2.9600,82890172,242759446.1500
27,2021-07-30,sh.600936,2.9700,2.9700,2.5900,2.6100,61535503,173292270.1000
28,2021-08-31,sh.600936,2.6100,2.7200,2.5800,2.6600,78824692,209604063.1100
29,2021-09-30,sh.600936,2.6600,2.8900,2.6500,2.6900,105208347,291547154.8000
30,2021-10-29,sh.600936,2.6900,2.7700,2.5300,2.5900,38880040,103563236.0600
31,2021-11-30,sh.600936,2.5800,2.8200,2.5200,2.6500,79079465,210056697.1900
32,2021-12-31,sh.600936,2.6400,3.5100,2.5900,3.0400,423322300,1273872071.7000
33,2022-01-28,sh.600936,3.0500,3.8000,3.0200,3.1000,751729649,2533829888.7900
34,2022-02-28,sh.600936,3.0500,4.4000,3.0100,3.3300,502610714,1797425811.8700
35,2022-03-31,sh.600936,3.3500,3.8900,3.0000,3.3600,691086547,2344896709.3900
36,2022-04-29,sh.600936,3.3500,4.3900,2.8100,3.0700,1012029001,3721588770.3400
37,2022-05-31,sh.600936,3.0200,3.5100,3.0200,3.2500,442029124,1440273118.7700
38,2022-06-30,sh.600936,3.2500,4.0400,3.2500,3.3100,730308606,2657432167.2000
39,2022-07-29,sh.600936,3.3100,3.6700,3.0700,3.5700,235832628,790723978.4100
40,2022-08-31,sh.600936,3.5500,3.8800,3.2600,3.6900,204282646,722724100.9900
41,2022-09-30,sh.600936,3.6300,3.8400,3.0400,3.0900,197720480,700300350.7900
42,2022-10-31,sh.600936,3.0900,3.2300,2.9700,3.0300,67516808,208781535.9500
43,2022-11-30,sh.600936,3.0300,3.6300,3.0300,3.5600,185472014,637051428.5000
44,2022-12-30,sh.600936,3.5700,3.7200,3.3100,3.6200,141527318,497799427.0600
45,2023-01-31,sh.600936,3.6100,4.5400,3.6100,4.1000,675854972,2803857369.4900
46,2023-02-28,sh.600936,4.1000,4.7400,4.1000,4.2200,622002281,2790450912.7300
47,2023-03-31,sh.600936,4.2000,4.4700,4.1500,4.3500,252699840,1090302743.0400
48,2023-04-28,sh.600936,4.3500,4.4900,3.8700,4.1900,278998918,1161579563.1300
49,2023-05-31,sh.600936,4.1700,4.7600,3.8600,4.0500,358990980,1554939202.8300
50,2023-06-30,sh.600936,4.0500,4.3500,3.7600,3.8300,186695290,772492224.9100
51,2023-07-31,sh.600936,3.8200,5.2300,3.8000,4.9100,793109579,3761024089.9200
52,2023-08-31,sh.600936,4.8400,5.0500,4.1600,4.2300,640680239,2860113981.2100
53,2023-09-28,sh.600936,4.2300,4.2400,3.9100,3.9700,179579045,725622197.5800
54,2023-10-31,sh.600936,3.9400,3.9500,3.5800,3.7500,122006651,460733337.1700
55,2023-11-30,sh.600936,3.7500,4.3000,3.7400,3.9500,296000210,1190968967.6700
56,2023-12-29,sh.600936,3.9300,4.3400,3.6300,3.6700,313646987,1280076232.0700
57,2024-01-31,sh.600936,3.6900,3.7200,2.9900,3.0100,226705968,764651139.1700
58,2024-02-29,sh.600936,3.0000,3.1100,2.1600,2.9000,283165631,744533095.0200
59,2024-03-29,sh.600936,2.9400,3.2300,2.7800,2.8900,268398295,798483750.0800
