,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600939,5.7100,6.9500,5.2100,5.3400,329000355,2043611107.0000
1,2019-05-31,sh.600939,5.0700,5.2500,4.7900,4.9500,68158080,343226258.0000
2,2019-06-28,sh.600939,4.9500,5.1600,4.7500,4.8900,65844127,328900080.0000
3,2019-07-31,sh.600939,4.9500,5.1500,4.5300,4.8500,87374883,428463601.0000
4,2019-08-30,sh.600939,4.8400,4.9200,4.4100,4.5800,64848775,300886918.0000
5,2019-09-30,sh.600939,4.6300,5.1100,4.5900,4.7700,95177321,467420984.0000
6,2019-10-31,sh.600939,4.7300,5.0900,4.6700,4.7600,53008120,260840925.0000
7,2019-11-29,sh.600939,4.7400,4.7400,4.4300,4.5200,58068467,265100570.0000
8,2019-12-31,sh.600939,4.5200,4.9400,4.4400,4.8100,104564066,486688086.0000
9,2020-01-23,sh.600939,4.8100,4.8300,4.4200,4.4500,73212978,342075585.0000
10,2020-02-28,sh.600939,4.0100,4.4400,3.6600,4.2000,101548749,420680458.0000
11,2020-03-31,sh.600939,4.1900,4.7900,3.7000,3.8300,156181667,672739950.0000
12,2020-04-30,sh.600939,3.8200,4.2200,3.8000,3.9200,88692203,352219633.0000
13,2020-05-29,sh.600939,3.8600,3.9900,3.6000,3.6600,56665484,215871028.0000
14,2020-06-30,sh.600939,3.6600,3.7700,3.5600,3.5900,58583630,213834156.0000
15,2020-07-31,sh.600939,3.6000,4.3800,3.5900,3.9900,191565909,766370795.4300
16,2020-08-31,sh.600939,4.0100,4.9000,3.9400,4.0800,253828156,1097089852.2000
17,2020-09-30,sh.600939,4.0900,4.4000,3.8400,3.9200,104970911,434117476.8300
18,2020-10-30,sh.600939,3.9700,4.0600,3.7500,3.7600,29775361,116662365.0600
19,2020-11-30,sh.600939,3.7600,3.9600,3.7200,3.9200,39804952,153579539.4900
20,2020-12-31,sh.600939,3.9100,3.9600,3.6200,3.7000,41306718,156334545.4400
21,2021-01-29,sh.600939,3.6800,3.7800,3.4400,3.4700,39449275,141148142.9800
22,2021-02-26,sh.600939,3.4700,3.5600,3.1700,3.4300,28518966,96392273.5800
23,2021-03-31,sh.600939,3.4300,3.8600,3.4300,3.6500,91090792,330709342.7700
24,2021-04-30,sh.600939,3.6200,3.8500,3.4300,3.5100,73346774,265620881.4900
25,2021-05-31,sh.600939,3.5000,3.6900,3.4800,3.6600,34834393,125239596.7800
26,2021-06-30,sh.600939,3.6600,3.7200,3.4000,3.4300,36313278,129980749.0800
27,2021-07-30,sh.600939,3.4300,3.5300,3.2500,3.2800,37633155,128876932.8100
28,2021-08-31,sh.600939,3.2800,3.4700,3.1900,3.4600,47070721,157670416.4300
29,2021-09-30,sh.600939,3.4600,3.8500,3.4600,3.6200,108200578,395534750.2900
30,2021-10-29,sh.600939,3.6100,3.8200,3.2500,3.3700,69664303,247005379.1700
31,2021-11-30,sh.600939,3.3300,3.4800,3.2700,3.4100,47255824,159879402.4700
32,2021-12-31,sh.600939,3.4100,4.8700,3.4000,4.0900,553610727,2329369756.4800
33,2022-01-28,sh.600939,4.1000,4.7000,3.9400,4.0700,462044630,2002834896.2100
34,2022-02-28,sh.600939,4.1600,6.8800,4.1400,5.1500,1409764567,8291697113.0300
35,2022-03-31,sh.600939,5.2400,5.4900,4.6200,5.2700,1137262021,5724744954.1800
36,2022-04-29,sh.600939,5.1800,5.8500,4.1500,4.8000,987473767,4923486736.6800
37,2022-05-31,sh.600939,4.7400,5.4100,4.3800,4.7300,999448136,4897310187.9900
38,2022-06-30,sh.600939,4.6800,4.9200,4.2900,4.3300,466702677,2121355871.6400
39,2022-07-29,sh.600939,4.3600,4.5600,4.0300,4.0300,285654724,1214862333.4200
40,2022-08-31,sh.600939,4.0200,4.0400,3.6500,3.9900,212820786,821958762.2900
41,2022-09-30,sh.600939,3.9900,4.1600,3.6200,3.6700,201644477,796324896.1000
42,2022-10-31,sh.600939,3.6700,3.7400,3.3900,3.4400,87343057,316501404.8500
43,2022-11-30,sh.600939,3.4600,3.9200,3.4500,3.8500,180902612,671033453.6000
44,2022-12-30,sh.600939,3.8500,3.9200,3.4500,3.4900,161617041,598193679.2200
45,2023-01-31,sh.600939,3.4900,3.7200,3.4400,3.7100,89936525,320735525.2500
46,2023-02-28,sh.600939,3.7100,3.8200,3.6600,3.7500,158382260,593639799.1700
47,2023-03-31,sh.600939,3.7500,3.9800,3.5800,3.6100,242363771,922849600.2000
48,2023-04-28,sh.600939,3.6000,4.0200,3.5400,3.7700,299033280,1125529375.0500
49,2023-05-31,sh.600939,3.7700,3.9600,3.4500,3.5300,252519204,935945757.8700
50,2023-06-30,sh.600939,3.5200,3.5800,3.3000,3.4200,152921478,530592590.5100
51,2023-07-31,sh.600939,3.4200,3.8200,3.3700,3.7800,195839920,704676487.2000
52,2023-08-31,sh.600939,3.7700,3.8800,3.4100,3.4200,273797279,1005700019.6300
53,2023-09-28,sh.600939,3.4200,3.5400,3.3700,3.4200,160052258,549698561.9200
54,2023-10-31,sh.600939,3.4000,3.4100,3.1200,3.3700,158245298,522654929.2000
55,2023-11-30,sh.600939,3.3900,3.4700,3.3300,3.3700,167852744,569983048.0400
56,2023-12-29,sh.600939,3.3700,3.4400,3.1500,3.2800,174116738,577693090.9000
57,2024-01-31,sh.600939,3.2700,3.3700,2.8800,3.0400,226575356,727029213.9700
58,2024-02-29,sh.600939,3.0400,3.0400,2.2700,2.8200,267570415,714255554.8200
59,2024-03-29,sh.600939,2.8200,2.9200,2.6900,2.7600,163265188,457744572.9500
