,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.600987,10.9300,12.7700,10.6300,10.7700,217112995,2541962714.0000
1,2019-05-31,sh.600987,10.4100,10.5900,6.4100,6.6100,85801040,713045690.0000
2,2019-06-28,sh.600987,6.6100,6.8500,6.1900,6.6100,56339130,368119150.0000
3,2019-07-31,sh.600987,6.7000,6.9000,6.3500,6.4200,46066770,304123880.0000
4,2019-08-30,sh.600987,6.4000,6.4800,5.8500,5.9900,85168419,525639355.0000
5,2019-09-30,sh.600987,6.0000,6.6100,5.9700,6.0700,82631368,519988007.0000
6,2019-10-31,sh.600987,6.1300,6.5800,5.9600,6.0400,81106132,506087820.0000
7,2019-11-29,sh.600987,6.0400,6.4600,5.9400,6.0000,95557039,583638950.0000
8,2019-12-31,sh.600987,6.0100,6.4200,5.9200,6.3300,91063105,565329070.0000
9,2020-01-23,sh.600987,6.3500,6.9600,6.2100,6.3000,88603557,595026478.0000
10,2020-02-28,sh.600987,5.6700,6.3100,5.5900,5.9700,125189721,750234323.0000
11,2020-03-31,sh.600987,5.9900,6.8900,5.2700,5.6200,188911900,1143233919.0000
12,2020-04-30,sh.600987,5.5700,5.7600,5.3200,5.4700,54897223,304548811.0000
13,2020-05-29,sh.600987,5.4700,6.1500,5.1600,5.3100,95950367,538289651.0000
14,2020-06-30,sh.600987,5.3100,6.1500,5.2700,5.3500,87565122,483970373.0000
15,2020-07-31,sh.600987,5.3600,6.0500,5.3300,5.7700,180016638,1028061317.5400
16,2020-08-31,sh.600987,5.7700,6.1000,5.6300,5.7700,145003870,844465582.5100
17,2020-09-30,sh.600987,5.7600,5.9400,5.2900,5.3300,76365346,434115583.7900
18,2020-10-30,sh.600987,5.3800,6.1000,5.3000,5.3100,178017172,1009142460.1400
19,2020-11-30,sh.600987,5.3200,5.8800,5.2900,5.5300,170543050,955939122.1300
20,2020-12-31,sh.600987,5.5300,5.7400,5.3600,5.7300,105503372,590690702.8200
21,2021-01-29,sh.600987,5.7000,5.9000,5.3600,5.5700,89003124,499932547.0300
22,2021-02-26,sh.600987,5.5700,6.0400,5.3600,5.5600,68213796,388174454.0100
23,2021-03-31,sh.600987,5.5600,5.6500,5.4000,5.5700,74811796,414929633.3100
24,2021-04-30,sh.600987,5.5500,5.6800,5.4500,5.4600,82107068,455776474.3100
25,2021-05-31,sh.600987,5.4600,5.6800,5.4000,5.4700,82641553,456081347.1200
26,2021-06-30,sh.600987,5.4900,6.0900,5.2000,5.2500,212500770,1157563406.7800
27,2021-07-30,sh.600987,5.2400,5.2700,4.6100,4.6600,72428163,365946225.2800
28,2021-08-31,sh.600987,4.6300,5.1300,4.6100,5.0800,82648384,400791334.0500
29,2021-09-30,sh.600987,5.0700,6.3300,5.0400,5.7100,222757354,1263895517.9400
30,2021-10-29,sh.600987,5.7100,5.7700,5.2400,5.4400,78552105,428419967.4600
31,2021-11-30,sh.600987,5.4400,5.7600,5.2700,5.4100,95620308,530301808.1400
32,2021-12-31,sh.600987,5.4100,5.6000,5.2600,5.5600,93738771,508257672.4000
33,2022-01-28,sh.600987,5.5700,5.8400,5.3300,5.5000,92520743,521892078.5800
34,2022-02-28,sh.600987,5.5500,5.9700,5.4800,5.7300,92142157,530336318.2600
35,2022-03-31,sh.600987,5.7000,5.9700,5.1800,5.4600,146357157,817681088.4500
36,2022-04-29,sh.600987,5.4600,5.6200,4.7100,5.1000,155270368,820448315.4900
37,2022-05-31,sh.600987,5.1000,5.4500,5.0500,5.3900,111527931,585485558.7100
38,2022-06-30,sh.600987,5.4100,5.7500,4.9400,5.3300,244385109,1305720879.1000
39,2022-07-29,sh.600987,5.3300,5.4100,5.1100,5.2700,143928574,756918896.9700
40,2022-08-31,sh.600987,5.2700,6.7800,4.9400,6.3000,384605671,2313507879.4000
41,2022-09-30,sh.600987,6.3000,7.6000,6.2500,6.9700,369122124,2531513539.8900
42,2022-10-31,sh.600987,6.9600,7.8000,6.9600,7.0500,267432451,1989863640.3800
43,2022-11-30,sh.600987,7.0400,7.8000,6.6900,7.2100,343781227,2466877257.6400
44,2022-12-30,sh.600987,7.2300,8.4000,7.0800,7.2500,241152512,1870070895.3300
45,2023-01-31,sh.600987,7.2500,8.1300,7.0300,7.4100,118984947,879762853.6000
46,2023-02-28,sh.600987,7.4100,9.1500,7.3900,9.0700,243365934,2061052812.6100
47,2023-03-31,sh.600987,9.0700,9.1100,8.0800,8.3700,270881903,2285360247.7500
48,2023-04-28,sh.600987,8.4400,8.6500,7.6200,7.9100,156321708,1249238716.5300
49,2023-05-31,sh.600987,7.9300,8.3400,7.4000,7.4700,104027327,823790335.5100
50,2023-06-30,sh.600987,7.4700,8.3600,6.9900,8.2300,158576870,1205891818.6200
51,2023-07-31,sh.600987,8.2500,8.5500,7.9400,8.3100,147807812,1217444011.5300
52,2023-08-31,sh.600987,8.4200,8.8200,7.2200,7.3000,189192089,1517289504.8900
53,2023-09-28,sh.600987,7.2900,7.7200,7.1000,7.5400,118813063,882931980.9300
