,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.601111,11.0500,12.3500,9.7400,10.1500,1431459698,15662034584.0000
1,2019-05-31,sh.601111,9.4500,9.5900,8.1500,8.4600,961543207,8384764691.0000
2,2019-06-28,sh.601111,8.5500,9.8200,8.3200,9.5700,858645611,7772780118.0000
3,2019-07-31,sh.601111,9.8900,10.0000,8.8800,8.9500,603389021,5612832928.0000
4,2019-08-30,sh.601111,8.8900,8.9400,7.5800,7.8900,763959573,6118592151.0000
5,2019-09-30,sh.601111,7.8200,8.7100,7.8100,8.0000,777072452,6462380847.0000
6,2019-10-31,sh.601111,8.0800,8.5600,7.7100,8.3000,585336734,4796057754.0000
7,2019-11-29,sh.601111,8.2700,9.1200,8.0900,8.4500,814234897,7042449994.0000
8,2019-12-31,sh.601111,8.5100,9.8000,8.3900,9.6900,903401561,8123368730.0000
9,2020-01-23,sh.601111,9.8000,9.9800,8.1200,8.2500,1321418442,12020680752.0000
10,2020-02-28,sh.601111,7.4300,8.4900,7.0000,7.4600,1458661728,11441951337.0000
11,2020-03-31,sh.601111,7.4800,8.3900,6.3100,6.5100,1647220595,12157056470.0000
12,2020-04-30,sh.601111,6.5000,7.3700,6.4700,7.2500,878326618,5991630874.0000
13,2020-05-29,sh.601111,7.0000,7.0600,6.3200,6.4700,688526435,4614998152.0000
14,2020-06-30,sh.601111,6.4900,7.4500,6.4700,6.6100,1161470533,7920611727.0000
15,2020-07-31,sh.601111,6.6000,7.7200,6.5500,6.8300,1912268203,13744134091.9600
16,2020-08-31,sh.601111,6.8600,7.5400,6.8500,7.2500,1511605010,10878827068.8700
17,2020-09-30,sh.601111,7.2500,8.2500,7.0200,7.0900,1671734493,12694460111.2300
18,2020-10-30,sh.601111,7.2400,7.3700,6.7600,6.7900,732745619,5196646229.8900
19,2020-11-30,sh.601111,6.7800,8.1500,6.5500,7.8800,1573995202,11996298409.5200
20,2020-12-31,sh.601111,7.8400,8.5400,7.0100,7.4900,1329143444,10153836942.3200
21,2021-01-29,sh.601111,7.4100,7.5200,6.8200,7.2000,1208337326,8625454137.5400
22,2021-02-26,sh.601111,7.0500,8.7000,6.9100,8.0900,1402182588,11064039966.0600
23,2021-03-31,sh.601111,8.1300,9.4200,7.7800,9.0500,1788450983,15444097810.2900
24,2021-04-30,sh.601111,9.0500,9.5300,7.9800,8.1800,792857728,7029433688.1600
25,2021-05-31,sh.601111,8.1000,9.0000,8.0300,8.4100,534336035,4586763966.0300
26,2021-06-30,sh.601111,8.3700,8.6200,7.6800,7.7800,519837155,4272478377.9800
27,2021-07-30,sh.601111,7.8000,7.8500,6.5400,6.5800,777112607,5658825426.1300
28,2021-08-31,sh.601111,6.3500,7.2800,6.2300,7.2400,787703692,5350026325.4900
29,2021-09-30,sh.601111,7.2200,8.1600,7.0900,7.4400,755635992,5690497721.6200
30,2021-10-29,sh.601111,7.7000,8.8000,7.6900,8.5100,856951385,7013692758.7700
31,2021-11-30,sh.601111,8.3000,9.1600,7.6600,7.9800,941366603,8059849295.8800
32,2021-12-31,sh.601111,7.8800,9.4400,7.8500,9.1300,761248142,6565553691.0700
33,2022-01-28,sh.601111,9.1500,10.4100,8.9800,10.0200,998438156,9723839703.0100
34,2022-02-28,sh.601111,10.0000,11.3800,9.5100,9.8800,934890454,9688415128.1300
35,2022-03-31,sh.601111,9.8000,10.5700,8.3300,9.1100,1224001687,11558734160.4600
36,2022-04-29,sh.601111,9.0500,10.5500,8.9000,9.4700,767859528,7537182091.0300
37,2022-05-31,sh.601111,9.4000,10.1000,8.0800,9.6900,956880671,8507665974.6600
38,2022-06-30,sh.601111,9.6700,11.7800,9.0900,11.6100,1062129738,10784180164.7200
39,2022-07-29,sh.601111,11.3200,11.3900,9.5300,9.6500,1123205316,11620823415.3000
40,2022-08-31,sh.601111,9.5900,10.5900,9.2500,10.3100,782617342,7727008558.0800
41,2022-09-30,sh.601111,10.2600,11.2700,9.6700,10.4700,888394733,9312419035.4400
42,2022-10-31,sh.601111,10.6500,10.9200,9.4500,9.6700,699301902,7216542957.3100
43,2022-11-30,sh.601111,9.5400,11.2200,9.2300,10.4600,1490739010,15162570618.6200
44,2022-12-30,sh.601111,10.6100,12.0800,9.8900,10.6000,1640174658,17970067804.8700
45,2023-01-31,sh.601111,10.6000,11.2000,10.2200,10.3300,917134446,9736511668.2700
46,2023-02-28,sh.601111,10.3100,11.1600,9.9500,11.1100,1110787873,11795518161.1100
47,2023-03-31,sh.601111,11.1100,11.5500,10.1600,10.7000,984859505,10655170498.9700
48,2023-04-28,sh.601111,10.7000,11.3300,10.0400,10.6500,1047604966,11313702708.4100
49,2023-05-31,sh.601111,10.5500,10.6000,8.5400,8.7200,1004940528,9505858976.4600
50,2023-06-30,sh.601111,8.7200,8.8200,7.9400,8.2400,1153332686,9573442071.3200
51,2023-07-31,sh.601111,8.2500,9.4500,8.2500,9.3500,1628646175,14301187710.0900
52,2023-08-31,sh.601111,9.4000,9.6000,8.3900,8.6500,1238954465,11146094654.8900
53,2023-09-28,sh.601111,8.6600,8.8000,7.7800,8.0800,948949532,7864620610.9300
54,2023-10-31,sh.601111,8.0500,8.0700,6.9800,8.0200,820485826,6216373780.1100
55,2023-11-30,sh.601111,8.0300,8.3200,7.7000,8.0700,852917149,6827924560.6400
56,2023-12-29,sh.601111,8.0700,8.1100,7.0600,7.3400,810548573,6133799056.9700
57,2024-01-31,sh.601111,7.3100,7.7700,6.8100,7.1100,1294787935,9402394183.8500
58,2024-02-29,sh.601111,7.1000,7.7300,6.8100,7.4800,980030517,7184656943.8200
59,2024-03-29,sh.601111,7.4400,7.7000,7.0700,7.3000,1156623252,8490891537.5500
