,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.601186,11.5700,12.5200,10.7500,10.8400,3092936210,36428908328.0000
1,2019-05-31,sh.601186,10.5800,10.5800,9.2900,9.4000,1239227245,12202032860.0000
2,2019-06-28,sh.601186,9.4200,10.4000,9.3400,9.9500,1028713946,10178598331.0000
3,2019-07-31,sh.601186,10.0600,10.2800,9.5400,9.7100,1085763100,10822066942.0000
4,2019-08-30,sh.601186,9.7100,9.7100,8.8300,9.1000,721399223,6631300431.0000
5,2019-09-30,sh.601186,9.1600,10.4000,9.1500,9.4600,1231386357,12166413156.0000
6,2019-10-31,sh.601186,9.4400,9.8900,9.3500,9.3800,601892987,5824509414.0000
7,2019-11-29,sh.601186,9.3900,10.0200,9.1700,9.6700,975927438,9391324869.0000
8,2019-12-31,sh.601186,9.7300,10.3700,9.5600,10.1400,948263084,9424401929.0000
9,2020-01-23,sh.601186,10.2200,10.4900,9.3500,9.4200,790269057,7977744164.0000
10,2020-02-28,sh.601186,8.4800,9.7600,8.2500,9.5000,1446815876,13210129524.0000
11,2020-03-31,sh.601186,9.6800,11.2400,9.3300,9.8300,3142404796,32321454695.0000
12,2020-04-30,sh.601186,9.8800,10.2500,9.3900,9.7800,1410446890,13810219015.0000
13,2020-05-29,sh.601186,9.7800,10.0300,8.6100,8.6500,966219174,9082386863.0000
14,2020-06-30,sh.601186,8.6700,8.9300,8.3300,8.3800,973708626,8379337061.0000
15,2020-07-31,sh.601186,8.4000,9.9900,8.3600,8.7900,2325995018,21517624431.5100
16,2020-08-31,sh.601186,8.8200,9.3200,8.7000,8.9300,1459555845,13209223246.2200
17,2020-09-30,sh.601186,8.9000,8.9800,8.2600,8.2900,709357467,6144873088.1200
18,2020-10-30,sh.601186,8.3700,8.6400,8.2900,8.3300,459651616,3873808423.4400
19,2020-11-30,sh.601186,8.2700,8.8200,8.1900,8.5900,1129324918,9605066996.4700
20,2020-12-31,sh.601186,8.5800,8.8100,7.8300,7.9000,960860705,7946976972.8000
21,2021-01-29,sh.601186,7.8600,8.7600,7.6800,7.7300,1672858003,13576857478.9700
22,2021-02-26,sh.601186,7.7200,8.1500,7.2800,7.8300,782618623,6083230382.8900
23,2021-03-31,sh.601186,7.8800,8.0800,7.6400,8.0100,1006350264,7913730088.5500
24,2021-04-30,sh.601186,8.0800,8.2000,7.6800,7.7200,837706162,6704821012.4500
25,2021-05-31,sh.601186,7.7800,7.8500,7.6300,7.6400,552460848,4270377645.7700
26,2021-06-30,sh.601186,7.6500,7.6700,7.3700,7.4300,637340439,4790875855.5700
27,2021-07-30,sh.601186,7.4300,7.5000,7.1700,7.3500,705324922,5166941432.6000
28,2021-08-31,sh.601186,7.3300,7.6700,7.2000,7.6300,1227444221,9063876764.5900
29,2021-09-30,sh.601186,7.6800,9.5200,7.6800,7.9000,3453577666,29802254434.9100
30,2021-10-29,sh.601186,8.1200,8.1400,7.3400,7.4400,733013545,5646955007.7500
31,2021-11-30,sh.601186,7.4000,7.5000,7.1500,7.3000,772639259,5655251305.1100
32,2021-12-31,sh.601186,7.2800,8.0500,7.2800,7.8000,1469383021,11406400124.3000
33,2022-01-28,sh.601186,7.8300,8.6000,7.7300,8.0600,1724359924,14207586856.3800
34,2022-02-28,sh.601186,8.2000,8.8800,7.8500,7.9800,1508988805,12786289383.2300
35,2022-03-31,sh.601186,7.9900,8.2800,7.1500,7.6600,1294870381,10002830735.0600
36,2022-04-29,sh.601186,7.6500,8.5900,7.5300,8.4200,1992069289,16208019164.7100
37,2022-05-31,sh.601186,8.4900,8.6100,7.8700,7.9400,1306071033,10797159144.0000
38,2022-06-30,sh.601186,7.9200,8.0800,7.6800,7.9000,1191502786,9354667157.7700
39,2022-07-29,sh.601186,7.9200,8.2100,7.3400,7.3600,975458843,7661584403.1400
40,2022-08-31,sh.601186,7.3400,7.4700,7.0900,7.4300,570027504,4143170341.3200
41,2022-09-30,sh.601186,7.4500,7.6700,6.9000,6.9700,652740156,4799206084.2300
42,2022-10-31,sh.601186,6.9900,7.4500,6.8300,6.8700,536744523,3812416900.2500
43,2022-11-30,sh.601186,6.8700,8.3200,6.8700,8.1100,1687978751,12901029108.3800
44,2022-12-30,sh.601186,8.1300,9.0800,7.6100,7.7300,2551440258,21436345777.9100
45,2023-01-31,sh.601186,7.7100,8.0800,7.5700,7.9100,915037127,7152045013.4400
46,2023-02-28,sh.601186,7.9300,8.2500,7.7800,8.1100,1391883034,11143613116.5700
47,2023-03-31,sh.601186,8.0900,10.3900,8.0900,9.0100,4162900083,38361004155.1800
48,2023-04-28,sh.601186,9.0100,11.9900,9.0000,11.9000,3549292835,37849628462.6800
49,2023-05-31,sh.601186,11.7000,13.0800,9.6500,10.3900,3432866267,38159268756.1700
50,2023-06-30,sh.601186,10.3500,10.7300,9.3200,9.8500,1995362589,20126372591.7800
51,2023-07-31,sh.601186,9.8700,10.9900,9.8200,10.7500,1435498767,14703690320.9700
52,2023-08-31,sh.601186,10.7400,10.9800,8.7300,8.8000,1739748472,17085806112.1000
53,2023-09-28,sh.601186,8.8500,9.1200,8.5600,8.7300,923237995,8135951868.3400
54,2023-10-31,sh.601186,8.7000,8.7300,7.7200,8.0200,939646489,7626592403.8400
55,2023-11-30,sh.601186,8.0100,8.0400,7.4800,7.5900,965431761,7567783116.3900
56,2023-12-29,sh.601186,7.6000,7.7900,7.3200,7.6100,732684650,5537010686.4400
57,2024-01-31,sh.601186,7.6100,9.2900,7.1500,8.6000,2072762835,16898664220.3600
58,2024-02-29,sh.601186,8.4000,8.9500,7.8400,8.6800,2097229014,17700948128.1500
59,2024-03-29,sh.601186,8.6500,8.7000,8.1900,8.5700,1611576682,13645490817.1100
