,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.601238,11.7500,15.0000,11.6200,12.4900,484329570,6461105824.0000
1,2019-05-31,sh.601238,12.2000,12.2400,10.2900,10.8300,226271250,2563731889.0000
2,2019-06-28,sh.601238,11.0400,11.2100,10.4600,10.9300,200440817,2169317344.0000
3,2019-07-31,sh.601238,11.1400,11.9300,10.7300,11.0800,234603782,2655763227.0000
4,2019-08-30,sh.601238,11.0900,12.0800,10.2900,11.7300,168414327,1876295742.0000
5,2019-09-30,sh.601238,11.5200,13.2200,11.1600,12.2700,281776778,3434417706.0000
6,2019-10-31,sh.601238,12.4300,13.4900,11.2500,11.4900,313530699,3889704508.0000
7,2019-11-29,sh.601238,11.4500,12.0600,10.8000,11.8100,245132754,2806195074.0000
8,2019-12-31,sh.601238,11.8300,11.9400,11.1900,11.6900,280736795,3264354717.0000
9,2020-01-23,sh.601238,11.7500,12.4500,10.7800,10.8600,274616138,3260623530.0000
10,2020-02-28,sh.601238,9.8600,11.8900,9.6000,10.8500,413671842,4413621757.0000
11,2020-03-31,sh.601238,10.9400,12.7500,9.9000,10.5500,474973056,5425908055.0000
12,2020-04-30,sh.601238,10.5200,10.6000,9.0400,9.8000,269017496,2682764492.0000
13,2020-05-29,sh.601238,9.7000,10.8500,9.2500,9.2500,223429921,2221006278.0000
14,2020-06-30,sh.601238,9.2900,9.9600,8.9600,9.0000,277855241,2608497357.0000
15,2020-07-31,sh.601238,9.0100,11.1400,8.8800,10.8000,905988850,8929420621.8900
16,2020-08-31,sh.601238,10.8500,11.3300,10.0100,10.3800,500816736,5340371748.7100
17,2020-09-30,sh.601238,10.3200,10.9800,9.4100,9.5200,423208677,4333899601.5100
18,2020-10-30,sh.601238,9.6500,14.2000,9.6500,13.4300,719943855,8404146137.7700
19,2020-11-30,sh.601238,13.7200,15.8000,12.1500,13.6600,1448064130,19873908614.0300
20,2020-12-31,sh.601238,13.6000,14.8900,12.4800,13.2900,1196966198,16150100386.7000
21,2021-01-29,sh.601238,13.0800,13.7700,10.3300,10.5000,1474322343,18036778556.0700
22,2021-02-26,sh.601238,10.4400,11.3300,10.3200,10.5700,528587281,5741210913.0100
23,2021-03-31,sh.601238,10.5800,11.4800,10.0800,10.2100,580173618,6194718108.3100
24,2021-04-30,sh.601238,10.2200,12.4700,10.1500,11.1600,922096999,10282213719.2700
