,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.601366,7.8600,8.2900,6.5900,6.7100,240476459,1861860215.0000
1,2019-05-31,sh.601366,6.5800,6.8500,6.1700,6.3900,76012649,494035183.0000
2,2019-06-28,sh.601366,6.3800,6.5200,6.1900,6.2700,56929358,361954426.0000
3,2019-07-31,sh.601366,6.3800,6.5100,5.9000,5.9600,55310438,342020039.0000
4,2019-08-30,sh.601366,5.9400,5.9600,5.4100,5.5600,50126485,283138681.0000
5,2019-09-30,sh.601366,5.6000,6.5300,5.5800,5.6600,136711809,819819822.0000
6,2019-10-31,sh.601366,5.6900,5.8100,5.5000,5.5300,41040435,232690585.0000
7,2019-11-29,sh.601366,5.5400,5.7200,5.3400,5.3700,35076997,192952599.0000
8,2019-12-31,sh.601366,5.3800,5.8900,5.3400,5.6300,87634855,490901602.0000
9,2020-01-23,sh.601366,5.6600,6.1000,5.5500,5.5800,89376281,515803927.0000
10,2020-02-28,sh.601366,5.0200,5.5500,4.8100,5.2500,115281588,605840427.0000
11,2020-03-31,sh.601366,5.2700,7.2600,5.2700,7.0100,447686635,2907557511.0000
12,2020-04-30,sh.601366,6.5700,6.9100,5.8100,6.2100,317070128,1991615301.0000
13,2020-05-29,sh.601366,6.1600,6.1900,5.4900,5.5600,108428041,629187635.0000
14,2020-06-30,sh.601366,5.5500,6.4500,5.5400,6.1100,139981007,835603299.0000
15,2020-07-31,sh.601366,6.1100,6.7300,6.1100,6.2700,193813901,1232409005.5700
16,2020-08-31,sh.601366,6.2800,8.2600,6.2000,7.1300,432655771,3205474377.9600
17,2020-09-30,sh.601366,7.1200,7.4600,6.6900,6.8600,141487507,987415533.4200
18,2020-10-30,sh.601366,6.9100,7.0400,6.5300,6.6800,58725299,396575955.8300
19,2020-11-30,sh.601366,6.6600,6.9800,6.4200,6.7400,71104372,470882356.8300
20,2020-12-31,sh.601366,6.6000,7.1500,6.2900,6.9600,148093740,999649204.1200
21,2021-01-29,sh.601366,6.9100,6.9700,6.5900,6.6900,84273378,570901242.6500
22,2021-02-26,sh.601366,6.6800,6.7500,6.4300,6.6100,41477216,273288243.2600
23,2021-03-31,sh.601366,6.6100,6.9900,6.1300,6.8500,79131782,511195914.1200
24,2021-04-30,sh.601366,6.8100,6.8300,6.2700,6.4000,42209128,275933300.7100
25,2021-05-31,sh.601366,6.4000,6.4200,6.1300,6.2100,23562307,147089633.0900
26,2021-06-30,sh.601366,6.2200,6.8100,6.1400,6.2600,39142852,246548902.5000
27,2021-07-30,sh.601366,6.2600,6.3600,6.1800,6.2600,43465961,272550958.3300
28,2021-08-31,sh.601366,6.3000,6.6000,6.2800,6.3300,47681343,305735969.4300
29,2021-09-30,sh.601366,6.3300,6.3700,6.1700,6.2000,34052508,214794574.4100
30,2021-10-29,sh.601366,6.2500,6.3800,5.8300,5.9500,19775902,122494231.7000
31,2021-11-30,sh.601366,5.9900,6.3000,5.9100,6.0000,24825123,149216407.0500
32,2021-12-31,sh.601366,5.9800,6.2600,5.9700,6.1900,78537837,479114283.8800
33,2022-01-28,sh.601366,6.1800,6.7100,6.1100,6.6400,159632892,1020960055.0800
34,2022-02-28,sh.601366,6.6800,6.9500,6.3000,6.7900,134483611,904988272.3500
35,2022-03-31,sh.601366,6.7900,6.9900,6.1700,6.3700,105735046,699677791.4000
36,2022-04-29,sh.601366,6.3500,7.1600,6.3400,6.8000,175417363,1170538436.7900
37,2022-05-31,sh.601366,6.7600,7.0200,6.1800,6.3400,152003659,1019804930.9700
38,2022-06-30,sh.601366,6.3300,6.3500,6.1700,6.2400,55999045,350228542.6400
39,2022-07-29,sh.601366,6.2400,6.2600,5.2900,6.0200,39904257,239265422.0000
40,2022-08-31,sh.601366,6.0200,6.2700,5.8800,6.1800,39319831,241311771.9200
41,2022-09-30,sh.601366,6.1800,6.4500,6.0600,6.1900,54503347,344134641.7600
42,2022-10-31,sh.601366,6.2000,6.2000,5.5400,5.5600,22850183,135798410.8500
43,2022-11-30,sh.601366,5.5900,5.9400,5.5800,5.8900,42694938,246915223.2700
44,2022-12-30,sh.601366,5.8500,6.2600,5.8500,6.2600,62465555,379440586.1500
45,2023-01-31,sh.601366,6.2600,6.3300,5.9000,6.0000,30749444,186633395.5500
46,2023-02-28,sh.601366,6.0000,6.0600,5.7500,5.8600,33168022,196173745.4400
47,2023-03-31,sh.601366,5.8600,5.9500,5.5800,5.6800,32778497,188174728.1800
48,2023-04-28,sh.601366,5.6400,5.6800,5.2000,5.4700,27630917,150075643.5800
49,2023-05-31,sh.601366,5.4000,5.7500,5.3200,5.3500,45598246,254601485.1500
50,2023-06-30,sh.601366,5.3600,5.5800,5.2100,5.3500,30468362,164582932.1800
51,2023-07-31,sh.601366,5.3800,5.9000,5.3200,5.9000,45758346,256136198.6300
52,2023-08-31,sh.601366,5.9200,5.9900,5.2900,5.3300,62135170,353700102.5800
53,2023-09-28,sh.601366,5.3400,5.4800,5.2600,5.3900,63444842,340384032.7000
54,2023-10-31,sh.601366,5.3700,5.3800,5.0100,5.3400,45638192,237072578.8400
55,2023-11-30,sh.601366,5.3400,5.7500,5.2800,5.6900,56933484,311815261.4400
56,2023-12-29,sh.601366,5.6500,5.7800,5.3200,5.4600,59996934,335588441.9200
57,2024-01-31,sh.601366,5.4900,5.6300,4.7400,4.8100,100513401,529425749.4800
58,2024-02-29,sh.601366,4.7900,4.8300,3.4000,4.5100,104894712,430352516.6400
59,2024-03-29,sh.601366,4.5300,5.2000,4.4500,5.0300,56236629,276083749.1500
