,date,code,open,high,low,close,volume,amount
0,2020-04-30,sh.601609,7.8600,10.3700,7.6100,8.1000,428625745,3766194521.0000
1,2020-05-29,sh.601609,8.0000,13.9500,7.9500,12.7000,1768490623,19101817106.0000
2,2020-06-30,sh.601609,11.9900,13.1900,10.1300,10.4600,1120838575,12918495628.0000
3,2020-07-31,sh.601609,10.4200,15.6600,10.3900,12.4900,1239208454,16010921382.0300
4,2020-08-31,sh.601609,12.4000,13.8800,10.7800,11.1900,510632659,6389474874.4000
5,2020-09-30,sh.601609,11.1600,11.3500,9.6100,9.7300,200281547,2103834822.8800
6,2020-10-30,sh.601609,9.8600,10.8700,9.6400,9.6600,154456836,1579284550.3500
7,2020-11-30,sh.601609,9.6800,13.7100,9.3700,12.9900,746210436,8642795339.3000
8,2020-12-31,sh.601609,12.5200,13.2500,9.9500,10.1500,524421360,5999642220.6500
9,2021-01-29,sh.601609,10.1500,10.8200,9.3900,9.4700,273725228,2774940189.4600
10,2021-02-26,sh.601609,9.5000,12.1800,9.2500,10.5500,388055840,4231805811.1700
11,2021-03-31,sh.601609,10.5600,11.3900,9.6300,9.6900,342903542,3551095518.8500
12,2021-04-30,sh.601609,9.6600,11.0800,9.2500,9.2900,510071838,5149219530.0500
13,2021-05-31,sh.601609,9.4100,10.5800,8.9500,9.1400,393237608,3741636886.1300
14,2021-06-30,sh.601609,9.1400,9.1700,8.5600,8.6800,185558005,1649078054.6100
15,2021-07-30,sh.601609,8.6900,9.4900,8.3500,8.8400,454396039,4061702009.3000
16,2021-08-31,sh.601609,8.8500,9.6800,8.5200,9.6000,565390387,5171325071.4500
17,2021-09-30,sh.601609,9.6000,10.2500,8.4200,8.5900,675364988,6443650312.0900
18,2021-10-29,sh.601609,8.6700,8.8800,7.8200,8.0200,155705970,1326165151.7800
19,2021-11-30,sh.601609,8.0200,10.1600,7.9000,9.8800,560135364,5212788054.9200
20,2021-12-31,sh.601609,9.8500,9.9500,8.5000,8.6500,388423976,3513885034.1200
21,2022-01-28,sh.601609,8.6600,8.9500,7.9000,8.0200,202816033,1733232913.5400
22,2022-02-28,sh.601609,8.1000,8.7200,8.0700,8.6100,157114247,1336408158.4500
23,2022-03-31,sh.601609,8.6400,8.9500,7.5100,7.8000,223554007,1826746882.1300
24,2022-04-29,sh.601609,7.7800,7.9600,6.4300,6.8400,145401031,1081974143.0200
25,2022-05-31,sh.601609,6.8000,7.5500,6.7100,7.2800,99709078,711308590.9800
26,2022-06-30,sh.601609,7.2800,7.9500,7.1600,7.5100,186562160,1391460566.5400
27,2022-07-29,sh.601609,7.4900,8.2300,7.4000,8.1300,215370815,1682165349.3800
28,2022-08-31,sh.601609,8.2000,8.6400,7.7000,7.7000,291849197,2414839538.3600
29,2022-09-30,sh.601609,7.7000,7.8700,6.8000,6.8900,99632672,728747756.1700
30,2022-10-31,sh.601609,6.8800,7.2500,6.5100,6.5600,91411130,640100826.3700
31,2022-11-30,sh.601609,6.5700,7.3200,6.5100,7.0700,126528477,885109004.9900
32,2022-12-30,sh.601609,7.1200,7.3100,6.5700,6.7600,110300979,772171616.9600
33,2023-01-31,sh.601609,6.7700,7.1900,6.7300,7.1100,65292594,453260872.5300
34,2023-02-28,sh.601609,7.1100,7.3000,6.9500,7.0900,123993604,884815738.4000
35,2023-03-31,sh.601609,7.0900,7.1400,6.6800,6.7600,103001911,711065117.6600
36,2023-04-28,sh.601609,6.7800,6.8800,6.5300,6.7800,94559193,634644304.4600
37,2023-05-31,sh.601609,6.7400,6.8500,6.5000,6.5200,83019195,554686619.1400
38,2023-06-30,sh.601609,6.5500,6.5500,6.2200,6.4900,73700791,472776055.7200
39,2023-07-31,sh.601609,6.5100,6.7900,6.4800,6.7100,124052637,828487967.7500
40,2023-08-31,sh.601609,6.7200,6.8700,6.3600,6.5300,136829465,902174034.2200
41,2023-09-28,sh.601609,6.5700,6.8000,6.5300,6.6700,111522701,748758341.7100
42,2023-10-31,sh.601609,6.6400,6.9000,6.3000,6.8600,120093817,804274419.2400
43,2023-11-30,sh.601609,6.8800,7.0300,6.6400,6.9000,148322251,1018783548.3000
44,2023-12-29,sh.601609,6.8800,6.9500,6.4000,6.7700,118101422,788056989.0100
45,2024-01-31,sh.601609,6.7700,6.9000,5.5700,5.7400,169842747,1076850798.6600
46,2024-02-29,sh.601609,5.6500,6.0100,4.7500,5.8800,179193340,990695389.8900
47,2024-03-29,sh.601609,5.8500,6.2900,5.6500,6.1500,213008613,1268738262.8400
