,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.601615,13.5200,15.1800,11.6200,11.8700,764173548,10420341011.0000
1,2019-05-31,sh.601615,11.3400,12.1600,10.0200,11.5500,531526823,5847662620.0000
2,2019-06-28,sh.601615,11.4500,11.6000,10.0300,10.8400,355791614,3861918134.0000
3,2019-07-31,sh.601615,11.1300,11.3900,9.7800,10.0500,218582124,2323084642.0000
4,2019-08-30,sh.601615,10.0500,11.8500,8.9200,11.1900,443863419,4741152813.0000
5,2019-09-30,sh.601615,11.3500,14.3500,11.3400,12.3800,612063937,7972127314.0000
6,2019-10-31,sh.601615,12.5600,13.1500,11.3500,12.4500,290444134,3613982873.0000
7,2019-11-29,sh.601615,12.3000,12.9700,10.8700,11.3700,194134820,2315897758.0000
8,2019-12-31,sh.601615,11.3300,13.4600,11.0400,12.3000,294413557,3667407083.0000
9,2020-01-23,sh.601615,12.3800,13.7800,12.1000,12.6300,336989773,4330441427.0000
10,2020-02-28,sh.601615,11.3700,12.3400,10.2300,10.7700,349422089,3980641007.0000
11,2020-03-31,sh.601615,10.8200,11.9000,9.6500,10.0400,265922348,2913761355.0000
12,2020-04-30,sh.601615,10.0800,11.6000,9.6600,11.2600,287137639,3084096076.0000
13,2020-05-29,sh.601615,11.3300,12.2800,11.1700,12.0000,304570507,3577841324.0000
14,2020-06-30,sh.601615,12.0500,12.8000,11.6500,12.4500,272234820,3326672960.0000
15,2020-07-31,sh.601615,12.4600,16.3700,12.3500,15.9800,622032847,8929165003.4200
16,2020-08-31,sh.601615,16.1200,17.1400,14.6100,15.8000,431467718,6790923349.2200
17,2020-09-30,sh.601615,15.7800,16.9200,13.1700,16.9200,411913513,6283739878.4100
18,2020-10-30,sh.601615,18.0100,21.1700,15.1600,16.1900,834805720,15207023310.6700
19,2020-11-30,sh.601615,16.3500,18.1200,15.2600,17.0500,818662619,13648161274.2300
20,2020-12-31,sh.601615,17.1000,21.0300,16.0100,18.9800,1024806764,18896724661.6700
21,2021-01-29,sh.601615,19.1600,24.1600,17.5000,20.2000,1181690047,24249896218.7000
22,2021-02-26,sh.601615,20.2500,23.8700,19.5100,20.5100,650170891,13938602974.1200
23,2021-03-31,sh.601615,20.0200,21.4000,16.1100,17.4500,643847493,11934039191.4500
24,2021-04-30,sh.601615,17.5100,17.9500,16.2400,17.7400,391843794,6687816160.9800
25,2021-05-31,sh.601615,17.7900,18.2400,14.6400,15.6800,564726051,8809985065.3900
26,2021-06-30,sh.601615,15.5300,16.9300,13.9500,16.1900,646674795,10029141878.8200
27,2021-07-30,sh.601615,16.1200,22.1400,15.4000,21.5600,1160619364,21630328721.1200
28,2021-08-31,sh.601615,21.9500,22.9000,17.5000,22.4800,1382224760,28391387190.9100
29,2021-09-30,sh.601615,22.0500,28.4800,20.5800,24.9500,1774793919,43357997032.5200
30,2021-10-29,sh.601615,25.4900,31.6500,23.2800,30.9900,1334304406,36996415389.1500
31,2021-11-30,sh.601615,30.2000,36.0300,29.1000,31.8700,1820656977,58918760463.0800
32,2021-12-31,sh.601615,31.4700,31.6400,25.1800,26.1000,1213852930,33531397737.2400
33,2022-01-28,sh.601615,26.1600,26.2200,22.3600,25.5600,1068360887,25627613179.0100
34,2022-02-28,sh.601615,26.1800,26.3000,23.1000,25.7000,869248072,21705374757.1800
