,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.601699,7.9000,8.9700,7.8300,8.2500,969527254,8179865253.0000
1,2019-05-31,sh.601699,8.0400,8.0400,7.4500,7.7100,365159716,2825679475.0000
2,2019-06-28,sh.601699,7.7000,8.5600,7.5200,7.9400,330573011,2692794271.0000
3,2019-07-31,sh.601699,8.0800,8.3900,7.7900,8.2400,281153346,2274147664.0000
4,2019-08-30,sh.601699,8.2300,8.3500,7.1600,7.4100,397909483,3081441581.0000
5,2019-09-30,sh.601699,7.4200,7.9500,7.2000,7.2400,272010107,2065191437.0000
6,2019-10-31,sh.601699,7.2500,7.4900,6.9400,7.0100,143125503,1039124700.0000
7,2019-11-29,sh.601699,6.9900,7.2100,6.5200,6.9200,255292337,1754909927.0000
8,2019-12-31,sh.601699,6.8700,7.2700,6.7200,7.2600,270070946,1883706055.0000
9,2020-01-23,sh.601699,7.3100,7.5000,6.6600,6.7000,241471861,1734354519.0000
10,2020-02-28,sh.601699,6.0300,6.5300,5.8200,6.0600,338560156,2119105334.0000
11,2020-03-31,sh.601699,6.0900,6.5800,5.6200,5.8300,350269219,2141345960.0000
12,2020-04-30,sh.601699,5.7800,5.9600,5.4000,5.6800,185888686,1072696379.0000
13,2020-05-29,sh.601699,5.6600,5.7600,5.4000,5.5500,258075341,1436134174.0000
14,2020-06-30,sh.601699,5.5700,6.0800,5.4000,5.5700,427069220,2448992757.0000
15,2020-07-31,sh.601699,5.5800,7.3800,5.5700,6.3700,1078720382,7114125586.8800
16,2020-08-31,sh.601699,6.4100,6.7000,6.1300,6.3000,422378125,2700873389.9200
17,2020-09-30,sh.601699,6.3400,6.5500,6.0400,6.1000,339497467,2140088494.9800
18,2020-10-30,sh.601699,6.1700,6.7800,5.8600,5.8800,386558373,2477365932.6500
19,2020-11-30,sh.601699,5.9100,6.9200,5.7800,6.5700,637264302,4099655444.8500
20,2020-12-31,sh.601699,6.7000,6.9400,5.9900,6.5000,874487228,5758488675.0100
21,2021-01-29,sh.601699,6.5100,6.7300,5.4400,5.4600,606776835,3726237322.9800
22,2021-02-26,sh.601699,5.4700,6.2400,5.2800,5.7300,354872054,2027546021.4900
23,2021-03-31,sh.601699,5.7700,6.2800,5.7300,6.1300,607901267,3662016056.4700
24,2021-04-30,sh.601699,6.1200,9.4800,6.0100,8.9500,1097826257,8455509667.4200
25,2021-05-31,sh.601699,9.2500,11.6900,8.9500,10.3800,1898763037,19555661971.7500
26,2021-06-30,sh.601699,10.4000,13.9300,10.3400,11.8100,1552082526,19173328606.4900
27,2021-07-30,sh.601699,11.6800,13.5500,10.4700,12.5000,1088320800,13227760269.9300
28,2021-08-31,sh.601699,11.9900,16.0800,11.7000,15.9000,1350429451,18487307000.7000
29,2021-09-30,sh.601699,16.0000,19.6700,13.9900,15.0100,1634946512,26999114069.2000
30,2021-10-29,sh.601699,15.4400,15.9800,12.1200,12.9400,1077807587,15103848298.8600
31,2021-11-30,sh.601699,12.8100,13.4500,10.5400,10.8000,913028060,10559478757.2200
32,2021-12-31,sh.601699,10.8600,12.5500,10.7100,11.3100,937726398,10858486143.5000
33,2022-01-28,sh.601699,11.5800,14.1300,11.3000,12.0900,863344293,10751390591.4800
34,2022-02-28,sh.601699,11.7500,14.8200,11.5000,13.9200,867491282,11524892324.5800
35,2022-03-31,sh.601699,14.0000,17.5000,13.7000,16.6000,1295964993,20609786919.4700
36,2022-04-29,sh.601699,16.4900,19.8000,13.7100,15.4900,946100192,15820336174.7400
37,2022-05-31,sh.601699,15.5500,16.2400,12.9400,15.9300,1112207644,15924190139.3100
38,2022-06-30,sh.601699,15.7300,17.7000,13.4500,14.6200,1157363572,18034175735.0100
39,2022-07-29,sh.601699,14.4100,15.3900,13.3900,13.7700,817791582,11591418458.7500
40,2022-08-31,sh.601699,13.7700,17.6900,12.5900,15.8700,1055307932,16180030208.1300
41,2022-09-30,sh.601699,15.8700,17.2200,15.2400,16.8800,770546396,12695257255.0800
42,2022-10-31,sh.601699,17.1000,17.4500,14.0300,16.7900,666299229,10477972461.1700
43,2022-11-30,sh.601699,16.3600,19.4300,15.7100,19.0700,843913093,14671914103.4200
44,2022-12-30,sh.601699,19.0500,19.5300,16.6000,16.8500,381803874,6941494704.2400
45,2023-01-31,sh.601699,16.7000,21.0800,16.2500,19.8000,410421071,7629973531.9000
46,2023-02-28,sh.601699,19.7300,23.6000,19.2600,22.3000,501826069,10582788969.2500
47,2023-03-31,sh.601699,22.2400,23.1200,19.2000,21.9400,477880399,10063646189.6800
48,2023-04-28,sh.601699,21.9900,22.5600,18.4500,20.1500,530541579,10602658322.9100
