,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.601866,3.0800,3.7800,3.0600,3.1600,1432319758,4820953261.0000
1,2019-05-31,sh.601866,2.9400,3.1500,2.7000,2.8500,592011447,1732890529.0000
2,2019-06-28,sh.601866,2.8500,2.8900,2.5900,2.7200,362969692,985035643.0000
3,2019-07-31,sh.601866,2.7900,3.0400,2.6400,2.6700,675489801,1878105024.0000
4,2019-08-30,sh.601866,2.6600,2.6900,2.4700,2.6400,341929766,882895425.0000
5,2019-09-30,sh.601866,2.6300,2.7900,2.5100,2.5100,487010080,1300144620.0000
6,2019-10-31,sh.601866,2.5100,2.7400,2.4900,2.4900,293075992,761732869.0000
7,2019-11-29,sh.601866,2.4900,2.5500,2.4200,2.5000,206668228,514218911.0000
8,2019-12-31,sh.601866,2.5100,2.6100,2.4700,2.5900,343207645,870812548.0000
9,2020-01-23,sh.601866,2.6000,2.6700,2.4200,2.4300,350334919,892708133.0000
10,2020-02-28,sh.601866,2.1900,2.3500,1.9700,2.1100,670776763,1483807961.0000
11,2020-03-31,sh.601866,2.1100,2.3200,1.9600,2.0300,1362778676,2913984482.0000
12,2020-04-30,sh.601866,2.0200,2.0600,1.8900,1.9300,603225404,1199996307.0000
13,2020-05-29,sh.601866,1.9100,1.9600,1.8200,1.8500,387454691,732350832.0000
14,2020-06-30,sh.601866,1.8500,1.9500,1.8100,1.8400,466420593,882674142.0000
15,2020-07-31,sh.601866,1.8400,2.2700,1.8300,2.0500,1354553789,2863966000.2800
16,2020-08-31,sh.601866,2.0500,2.2700,2.0500,2.1200,1011397959,2185208532.4700
17,2020-09-30,sh.601866,2.1100,2.4200,2.0500,2.0800,1423860529,3184150566.0100
18,2020-10-30,sh.601866,2.1100,2.3000,2.0800,2.0900,612746410,1320883838.2800
19,2020-11-30,sh.601866,2.1100,3.3800,2.1000,2.9700,6185100465,17987774596.8600
20,2020-12-31,sh.601866,2.9700,3.1300,2.7200,2.9700,2562010626,7530199375.6400
21,2021-01-29,sh.601866,2.9800,3.4400,2.7900,2.7900,2539540398,8030997294.5200
22,2021-02-26,sh.601866,2.6900,2.7900,2.2900,2.5900,1707536065,4397950236.2900
23,2021-03-31,sh.601866,2.6000,2.8800,2.4900,2.7700,2148010987,5732229110.0400
24,2021-04-30,sh.601866,2.7300,3.0800,2.6700,2.8500,1847214120,5338338998.9000
25,2021-05-31,sh.601866,2.9800,3.3400,2.9100,2.9500,2174765616,6767999983.1900
26,2021-06-30,sh.601866,2.9600,3.9500,2.9200,3.7500,2761782922,9481198764.4300
27,2021-07-30,sh.601866,3.8100,4.3800,3.2100,3.2900,3244857030,12610631560.7500
28,2021-08-31,sh.601866,3.3400,3.9400,3.3000,3.8500,2323110734,8396447454.1700
29,2021-09-30,sh.601866,3.9000,5.1100,3.7800,3.9000,3266500075,14611645194.6900
30,2021-10-29,sh.601866,3.9600,4.0500,3.3500,3.4700,1021167707,3753217369.9100
31,2021-11-30,sh.601866,3.4900,3.5000,3.0000,3.2300,1600281987,5078371968.5600
32,2021-12-31,sh.601866,3.1900,3.4600,3.1500,3.2500,1869199703,6163385521.5300
33,2022-01-28,sh.601866,3.2600,3.4100,2.8800,2.9500,1044884672,3369443503.5400
34,2022-02-28,sh.601866,2.9900,3.3800,2.9900,3.3300,869495292,2827543638.7600
35,2022-03-31,sh.601866,3.3100,3.4600,2.7700,3.3000,1454593430,4556695694.8800
36,2022-04-29,sh.601866,3.3000,3.5500,2.8000,3.0900,1447889518,4663522646.5500
37,2022-05-31,sh.601866,3.0800,3.2000,2.8400,3.1700,1052042421,3182961850.1200
38,2022-06-30,sh.601866,3.1700,3.2600,2.9200,3.0000,1129022289,3477657560.3400
39,2022-07-29,sh.601866,3.0000,3.1600,2.8000,2.8100,1041940018,3128053352.8100
40,2022-08-31,sh.601866,2.7900,3.1800,2.5800,2.8700,1833996813,5310225734.9800
41,2022-09-30,sh.601866,2.8500,2.8800,2.4500,2.4700,1281650478,3483663913.1300
42,2022-10-31,sh.601866,2.4900,2.7800,2.4200,2.4400,823914241,2112065863.3700
43,2022-11-30,sh.601866,2.4300,2.6400,2.4300,2.6200,992059908,2547218746.9200
44,2022-12-30,sh.601866,2.6300,2.7300,2.4000,2.4200,1052468982,2706892079.3000
45,2023-01-31,sh.601866,2.4300,2.5300,2.4100,2.5100,439256321,1080423857.3800
46,2023-02-28,sh.601866,2.5200,2.5800,2.4900,2.5100,661113097,1676643941.4100
47,2023-03-31,sh.601866,2.5100,2.6600,2.4500,2.4700,1152810315,2966795039.3900
48,2023-04-28,sh.601866,2.4600,2.6400,2.4500,2.6000,894650282,2283222356.4000
49,2023-05-31,sh.601866,2.5800,2.7800,2.4600,2.5000,1212798825,3165021831.9100
50,2023-06-30,sh.601866,2.5000,2.5500,2.4400,2.4700,490126654,1223097749.9200
51,2023-07-31,sh.601866,2.4800,2.5800,2.4600,2.5200,517435212,1297178529.4200
52,2023-08-31,sh.601866,2.5200,2.5600,2.3700,2.3800,777009478,1924779823.1300
53,2023-09-28,sh.601866,2.3800,2.4400,2.3700,2.3800,437431954,1050709133.9100
54,2023-10-31,sh.601866,2.3800,2.4000,2.1500,2.3000,466203564,1066579945.7800
55,2023-11-30,sh.601866,2.3100,2.3400,2.2400,2.3300,478150909,1097437157.3900
56,2023-12-29,sh.601866,2.3300,2.4800,2.3100,2.3400,820212401,1970672948.3600
57,2024-01-31,sh.601866,2.3500,2.4800,2.1600,2.3500,953764088,2270178844.3800
58,2024-02-29,sh.601866,2.3300,2.5400,2.1700,2.4600,941451764,2250933664.0600
59,2024-03-29,sh.601866,2.4600,2.4600,2.2800,2.3300,787842396,1862064606.8000
