,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.601997,13.1000,15.0700,13.0700,13.7600,748166713,10597507144.0000
1,2019-05-31,sh.601997,13.4500,13.7000,12.5900,12.8600,258724365,3361999986.0000
2,2019-06-28,sh.601997,12.8900,13.1100,8.6200,8.6500,264945990,2722319081.0000
3,2019-07-31,sh.601997,8.7600,9.0700,8.6400,8.8800,255457515,2252345149.0000
4,2019-08-30,sh.601997,8.8200,8.8700,7.9000,8.2000,238907818,1972533073.0000
5,2019-09-30,sh.601997,8.2200,8.8000,8.2000,8.5100,229115807,1957619877.0000
6,2019-10-31,sh.601997,8.5300,9.2500,8.4900,9.1400,365130962,3275926802.0000
7,2019-11-29,sh.601997,9.1300,9.7900,8.9600,9.2100,427602212,4003684747.0000
8,2019-12-31,sh.601997,9.2000,9.7600,9.0900,9.5600,316325193,2995564973.0000
9,2020-01-23,sh.601997,9.6600,9.7000,8.8200,8.8700,235914168,2200957015.0000
10,2020-02-28,sh.601997,8.0800,8.9200,7.9900,8.4000,384181573,3280350560.0000
11,2020-03-31,sh.601997,8.4000,8.8400,7.5000,7.6600,534695972,4374343724.0000
12,2020-04-30,sh.601997,7.6800,8.0200,7.5100,7.9000,329108218,2538393452.0000
13,2020-05-29,sh.601997,7.8400,7.9500,7.5700,7.7400,257592697,2000329965.0000
14,2020-06-30,sh.601997,7.7500,7.9400,7.1000,7.1600,390270354,2923102102.0000
15,2020-07-31,sh.601997,7.1400,8.7400,7.1300,7.6400,1030316128,8238675860.0500
16,2020-08-31,sh.601997,7.6700,8.8400,7.6300,8.1900,752815360,6157267402.5700
17,2020-09-30,sh.601997,8.1700,8.3000,7.7100,7.7100,429414289,3429948587.1000
18,2020-10-30,sh.601997,7.7600,8.3500,7.6300,7.6300,644218410,5136871691.2000
19,2020-11-30,sh.601997,7.7000,8.5900,7.5800,8.2200,640256935,5145378132.2600
20,2020-12-31,sh.601997,8.2200,8.8000,7.6800,7.9500,813592726,6640911210.4900
21,2021-01-29,sh.601997,7.9300,7.9900,7.5000,7.8200,678978146,5266656378.7300
22,2021-02-26,sh.601997,7.7900,8.4500,7.7300,8.1000,811358003,6612975071.4400
23,2021-03-31,sh.601997,8.1200,8.6200,8.0200,8.1600,862258076,7159233261.4000
24,2021-04-30,sh.601997,8.1400,8.2500,7.7100,7.7500,412377161,3301908473.1200
25,2021-05-31,sh.601997,7.7300,7.8900,7.6600,7.7700,341877050,2655486657.4100
26,2021-06-30,sh.601997,7.7500,7.7800,7.1400,7.1600,305860587,2308219584.5500
27,2021-07-30,sh.601997,7.1600,7.2400,6.6100,6.6500,302713874,2121500839.2800
28,2021-08-31,sh.601997,6.6200,6.8900,6.5500,6.6100,343448854,2306660521.9400
29,2021-09-30,sh.601997,6.6100,7.0600,6.5500,6.7400,417863498,2836202503.4900
30,2021-10-29,sh.601997,6.7600,6.9100,6.7000,6.7500,225074948,1530030478.2300
31,2021-11-30,sh.601997,6.6700,6.6700,6.4600,6.4800,221364803,1446041266.7600
32,2021-12-31,sh.601997,6.4800,6.6200,6.4700,6.5100,277504301,1810276551.0800
33,2022-01-28,sh.601997,6.5200,6.8500,6.5100,6.5200,392751336,2625864349.7700
