,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603026,29.4000,42.0500,29.2000,33.1900,236947616,8807621495.0000
1,2019-05-31,sh.603026,31.5000,40.6000,29.8500,34.7800,156640092,5459681672.0000
2,2019-06-28,sh.603026,35.2100,38.0400,29.8200,30.2600,146255060,4934197344.0000
3,2019-07-31,sh.603026,30.6000,32.5800,29.8400,30.5500,107494270,3355492963.0000
4,2019-08-30,sh.603026,30.3600,31.9500,26.8100,28.3000,111260559,3303028997.0000
5,2019-09-30,sh.603026,28.5900,37.7300,28.0600,35.8200,169085568,5765534017.0000
6,2019-10-31,sh.603026,35.8000,36.5800,31.8500,34.4800,106836984,3652910048.0000
7,2019-11-29,sh.603026,34.1100,40.2800,33.3600,35.4500,148223151,5578929760.0000
8,2019-12-31,sh.603026,35.5000,37.5000,33.2500,35.0200,170347173,6007504984.0000
9,2020-01-23,sh.603026,35.0200,39.9700,32.9100,34.0300,159705373,5904080160.0000
10,2020-02-28,sh.603026,30.6300,46.6600,27.9000,36.5100,287976751,11163001155.0000
11,2020-03-31,sh.603026,37.3000,39.4800,28.4100,28.5700,133953330,4647340742.0000
12,2020-04-30,sh.603026,28.8600,30.9900,22.8900,25.1600,112888439,3135542696.0000
13,2020-05-29,sh.603026,24.8600,26.7700,23.1300,23.7200,67775410,1709781680.0000
14,2020-06-30,sh.603026,23.8500,26.6900,23.8400,26.6900,85385689,2156151239.0000
15,2020-07-31,sh.603026,27.0000,42.8800,26.2000,34.7400,282604698,9595984526.2500
16,2020-08-31,sh.603026,35.2200,41.4200,34.2700,40.2000,146900522,5520781308.2800
17,2020-09-30,sh.603026,40.9900,58.6800,38.9300,44.2200,261561411,12207381498.8000
18,2020-10-30,sh.603026,45.9600,51.4900,42.5600,45.3400,191366155,9007988619.2600
19,2020-11-30,sh.603026,45.6000,61.8000,45.5900,46.7400,275692848,14672662213.7500
20,2020-12-31,sh.603026,46.1000,54.9800,43.5700,50.4100,222796932,10828969291.3600
21,2021-01-29,sh.603026,50.6700,69.9000,39.0600,65.1500,304382164,16616403151.7900
