,date,code,open,high,low,close,volume,amount
0,2021-11-30,sh.603048,20.8400,36.7200,20.8400,31.1200,138329087,4474466032.2300
1,2021-12-31,sh.603048,31.0000,36.1400,27.3000,29.0000,234675609,7337400177.6800
2,2022-01-28,sh.603048,28.9000,29.1900,21.7500,22.4200,53303898,1388906564.8400
3,2022-02-28,sh.603048,23.0000,26.9000,22.0000,23.9500,48227790,1187617937.9000
4,2022-03-31,sh.603048,24.1300,25.0100,19.1200,20.3300,38420044,837033319.1100
5,2022-04-29,sh.603048,20.6000,21.9000,15.4500,16.6500,59197048,1135559554.4800
6,2022-05-31,sh.603048,16.9700,19.4500,16.5300,18.3300,40842771,736908504.6800
7,2022-06-30,sh.603048,18.4400,23.9600,17.7700,19.8800,105219745,2173515882.1600
8,2022-07-29,sh.603048,19.9200,20.0800,17.6800,19.3200,39040248,744550385.5100
9,2022-08-31,sh.603048,19.2900,20.4200,17.0500,17.2800,39291814,753871223.5600
10,2022-09-30,sh.603048,17.5100,17.9900,15.3200,15.3500,14164096,242723230.4000
11,2022-10-31,sh.603048,15.3200,16.1100,14.7100,15.3000,8962496,139032720.3700
12,2022-11-30,sh.603048,15.3000,16.9300,15.0200,16.5100,17498917,283702105.3900
13,2022-12-30,sh.603048,16.7600,16.7600,14.5700,14.9300,17354093,272068977.5900
14,2023-01-31,sh.603048,14.9300,16.1500,14.8000,16.0100,13130657,201850127.7300
15,2023-02-28,sh.603048,16.0300,17.1600,15.9700,16.3600,21962138,361299794.4200
16,2023-03-31,sh.603048,16.3700,19.0400,16.1900,17.0300,80333301,1405333207.6200
17,2023-04-28,sh.603048,17.0400,17.0400,14.2000,15.0600,21505437,337520531.7500
18,2023-05-31,sh.603048,15.0600,15.8600,14.6000,15.6100,12378252,188789203.0100
19,2023-06-30,sh.603048,15.5900,16.2300,15.0500,16.1000,17321119,271716466.1000
20,2023-07-31,sh.603048,16.2200,20.9800,15.9600,17.2200,138685031,2530769412.1000
21,2023-08-31,sh.603048,17.1000,17.4900,15.6500,17.3300,37849390,635173395.3300
22,2023-09-28,sh.603048,17.3600,17.7900,16.5100,17.2200,29786856,510500482.4000
23,2023-10-31,sh.603048,17.2200,19.6200,16.4500,18.1400,47321814,844201312.7400
24,2023-11-30,sh.603048,18.3500,22.7100,17.9500,20.5000,141346584,2786832040.3300
25,2023-12-29,sh.603048,20.4600,20.5400,17.6000,18.5700,62201683,1176292135.6800
26,2024-01-31,sh.603048,18.5700,21.3900,14.5600,14.6300,90959051,1717168727.7600
27,2024-02-29,sh.603048,14.6200,15.3000,10.4200,14.2400,62272707,827705679.6300
28,2024-03-29,sh.603048,14.3000,16.0000,13.7100,15.4300,43024618,640549293.4400
